context: Passing the Night response:	Ever since I was a baby, there was a shogi board in front of me.
context: Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you. response:	Even at a time like this, you're worrying about other people!
context: I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people! response:	Things like that, no wonder his stomach hurts.
context: He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts. response:	Well this is troublesome. I was about to enjoy some luxurious me time.
context: It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time. response:	I'm sorry! I'll just go to a net cafe! I'm fine!
context: Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine! response:	Don't take me so seriously. I was kidding, so don't be a pain.
context: Listen. Smith is in the hall, so go find him.\Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain. response:	Hey!
context: Okay, goodnight.\- Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey! response:	Incoming Call
context: - Have a good night! - See you.\Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call response:	Hold on a second.
context: Even at a time like this, you're worrying about other people!\Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call\Hold on a second. response:	Yes, hello?
context: Things like that, no wonder his stomach hurts.\Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call\Hold on a second.\Yes, hello? response:	Yeah, how are things over there?
context: Well this is troublesome. I was about to enjoy some luxurious me time.\I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call\Hold on a second.\Yes, hello?\Yeah, how are things over there? response:	Me? I was thinking about turning in.
context: I'm sorry! I'll just go to a net cafe! I'm fine!\Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call\Hold on a second.\Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in. response:	Yeah. Yeah.
context: Don't take me so seriously. I was kidding, so don't be a pain.\Hey!\Incoming Call\Hold on a second.\Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah. response:	And how is it over there? Feeling lonely without me around? No problems?
context: Hey!\Incoming Call\Hold on a second.\Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems? response:	What? Is that right? A healthy appetite, too? Devoured it all, huh?
context: Incoming Call\Hold on a second.\Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh? response:	What was that voice just now?
context: Hold on a second.\Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now? response:	S-Strawberry?
context: Yes, hello?\Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry? response:	How can you make that voice at someone else like that?
context: Yeah, how are things over there?\Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that? response:	Thump-Thump-Thump
context: Me? I was thinking about turning in.\Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump response:	Is that his girlfriend?
context: Yeah. Yeah.\And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend? response:	And she's with someone else? A love triangle?
context: And how is it over there? Feeling lonely without me around? No problems?\What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle? response:	Is it okay for me to be here?
context: What? Is that right? A healthy appetite, too? Devoured it all, huh?\What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here? response:	Lap? On your lap?!
context: What was that voice just now?\S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?! response:	What does that mean?! She hates when I hold her and never sits on my lap!
context: S-Strawberry?\How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap! response:	Gloom
context: How can you make that voice at someone else like that?\Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom response:	U-Um... Mr. Smith?
context: Thump-Thump-Thump\Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith? response:	Fwooo
context: Is that his girlfriend?\And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith?\Fwooo response:	Ah, my kitten... just, ouch.
context: And she's with someone else? A love triangle?\Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch. response:	Kiriyama... I'm going out for a drink.
context: Is it okay for me to be here?\Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink. response:	Can I take the key?
context: Lap? On your lap?!\What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key? response:	Ah, my kitten...
context: What does that mean?! She hates when I hold her and never sits on my lap!\Gloom\U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten... response:	S-See you later...
context: Gloom\U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten...\S-See you later... response:	And as if nothing had happened,
context: U-Um... Mr. Smith?\Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten...\S-See you later...\And as if nothing had happened, response:	the night turned to dawn, and the curtain rose
context: Fwooo\Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten...\S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose response:	on the Lion King Tournament's fourth match.
context: Ah, my kitten... just, ouch.\Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten...\S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match. response:	It is now 9:00, so Lion King Souya, please make the first move.
context: Kiriyama... I'm going out for a drink.\Can I take the key?\Ah, my kitten...\S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move. response:	Let's have a good game.
context: Can I take the key?\Ah, my kitten...\S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game. response:	Mr. Shimada, were you able to sleep some last night?
context: Ah, my kitten...\S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night? response:	He looks grim.
context: S-See you later...\And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim. response:	Is his stomach still bothering him?
context: And as if nothing had happened,\the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him? response:	What should I have done?
context: the night turned to dawn, and the curtain rose\on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him?\What should I have done? response:	Should I have refused to practice and forced him to relax?
context: on the Lion King Tournament's fourth match.\It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax? response:	Regret as I might, the curtain of battle had been cut and dropped.
context: It is now 9:00, so Lion King Souya, please make the first move.\Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped. response:	It was too late for anyone to reach their hand out.
context: Let's have a good game.\Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out. response:	Kyoto (Part 1)
context: Mr. Shimada, were you able to sleep some last night?\He looks grim.\Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1) response:	Next Episode Preview
context: He looks grim.\Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview response:	Episode 20
context: Is his stomach still bothering him?\What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview\Episode 20 response:	What, so suddenly? But it starts in 10 minutes!
context: What should I have done?\Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes! response:	It'll be fine! Fine!
context: Should I have refused to practice and forced him to relax?\Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine! response:	S-Sorry! I did try to contact you, but...
context: Regret as I might, the curtain of battle had been cut and dropped.\It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but... response:	I would've flown there if I hadn't had a match, too.
context: It was too late for anyone to reach their hand out.\Kyoto (Part 1)\Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but...\I would've flown there if I hadn't had a match, too. response:	I even bought new formal wear, too!
context: Kyoto (Part 1)\Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but...\I would've flown there if I hadn't had a match, too.\I even bought new formal wear, too! response:	Let me be on TV!
context: Next Episode Preview\Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but...\I would've flown there if I hadn't had a match, too.\I even bought new formal wear, too!\Let me be on TV! response:	The Lion King Tournament, Mr. Shimada's battle still continues!
context: Episode 20\What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but...\I would've flown there if I hadn't had a match, too.\I even bought new formal wear, too!\Let me be on TV!\The Lion King Tournament, Mr. Shimada's battle still continues! response:	Looks like I have to go over and make more udon noodles.
context: What, so suddenly? But it starts in 10 minutes!\It'll be fine! Fine!\S-Sorry! I did try to contact you, but...\I would've flown there if I hadn't had a match, too.\I even bought new formal wear, too!\Let me be on TV!\The Lion King Tournament, Mr. Shimada's battle still continues!\Looks like I have to go over and make more udon noodles. response:	Please watch the next episode of March Comes in Like a Lion, too.
