context: When I must hide these burning feelings, response:	Did you see that?
context: That's what I wanted to hear!\Five members...\Recruit five members to that incredibly niche club?\Huh?\I just heard something.\From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people? response:	Isn't that impossible?
context: Five members...\Recruit five members to that incredibly niche club?\Huh?\I just heard something.\From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible? response:	A-An emoticon? And it's handwritten...
context: Recruit five members to that incredibly niche club?\Huh?\I just heard something.\From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten... response:	Thirty thousand yen budget!
context: Huh?\I just heard something.\From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget! response:	That's what you care about, Kana-chan?
context: I just heard something.\From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan? response:	Hey, have you heard?
context: From the door.\Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard? response:	The younger sister of
context: Notice: If the Karuta Club does not recruit five new members next year, you will have to return the clubroom. Good luck. ( ; ; ) I was able to increase the club's budget to 30,000 yen. Miyauchi\Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of response:	the model Ayase Chitose is a second-year here!
context: Huh? Five people?\Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here! response:	No way! I'm a fan!
context: Isn't that impossible?\A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan! response:	Okay, let's go check her out!
context: A-An emoticon? And it's handwritten...\Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out! response:	Oh, there she is!
context: Thirty thousand yen budget!\That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is! response:	Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!
context: That's what you care about, Kana-chan?\Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club! response:	Karuta?
context: Hey, have you heard?\The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta? response:	Track pants?
context: The younger sister of\the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants? response:	And look at the belt.
context: the model Ayase Chitose is a second-year here!\No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants?\And look at the belt. response:	Ayase-san!
context: No way! I'm a fan!\Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants?\And look at the belt.\Ayase-san! response:	You're an upperclassman now,
context: Okay, let's go check her out!\Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants?\And look at the belt.\Ayase-san!\You're an upperclassman now, response:	yet you're still embarrassing yourself!
context: Oh, there she is!\Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants?\And look at the belt.\Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself! response:	Right, everyone was saying how she's pretty,
context: Please come see Ayase Chihaya in class 2-9!! Let's start a competitive karuta club!\Karuta?\Track pants?\And look at the belt.\Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty, response:	That's right. You ended up failing your final exams!
context: Karuta?\Track pants?\And look at the belt.\Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams! response:	but it's wasted as soon as she talks or does something.
context: Track pants?\And look at the belt.\Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams!\but it's wasted as soon as she talks or does something. response:	After you were able to ever so slightly improve your grades last year!
context: And look at the belt.\Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams!\but it's wasted as soon as she talks or does something.\After you were able to ever so slightly improve your grades last year! response:	Beauty in vain...
context: Ayase-san!\You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams!\but it's wasted as soon as she talks or does something.\After you were able to ever so slightly improve your grades last year!\Beauty in vain... response:	And Ayase-san.
context: You're an upperclassman now,\yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams!\but it's wasted as soon as she talks or does something.\After you were able to ever so slightly improve your grades last year!\Beauty in vain...\And Ayase-san. response:	Put another one up there!
context: yet you're still embarrassing yourself!\Right, everyone was saying how she's pretty,\That's right. You ended up failing your final exams!\but it's wasted as soon as she talks or does something.\After you were able to ever so slightly improve your grades last year!\Beauty in vain...\And Ayase-san.\Put another one up there! response:	Hey, let's play karuta!
