context: I'm Kinoshita Kazuya, twenty years old, response:	and I'm a college student living by myself in Tokyo.
context: I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion! response:	Sorry... I made you lie for me.
context: But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion!\Sorry... I made you lie for me. response:	It's fine.
context: Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion!\Sorry... I made you lie for me.\It's fine. response:	Lots of clients want to introduce me to their family.
context: Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion!\Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family. response:	Really?
context: I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion!\Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family.\Really? response:	Anyway, it's partly my fault for keeping this job a secret.
context: Here's hoping we go from friends to family when they get married.\Likewise.\Say no to collusion!\Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret. response:	Let's just tell them we broke up.
context: Likewise.\Say no to collusion!\Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up. response:	That's the best option.
context: Say no to collusion!\Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option. response:	Yeah.
context: Sorry... I made you lie for me.\It's fine.\Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option.\Yeah. response:	My family runs a store called Nagomi Sake.
context: It's fine.\Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option.\Yeah.\My family runs a store called Nagomi Sake. response:	It was started in my granddad's time,
context: Lots of clients want to introduce me to their family.\Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option.\Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time, response:	and now my dad and mom run it.
context: Really?\Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option.\Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it. response:	Even after my granddad died early,
context: Anyway, it's partly my fault for keeping this job a secret.\Let's just tell them we broke up.\That's the best option.\Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early, response:	my gran kept it running, despite having debts and my dad to worry about.
context: Let's just tell them we broke up.\That's the best option.\Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about. response:	So, to our family, my gran's like a goddess.
context: That's the best option.\Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess. response:	And it's our goddess's wish that I find someone nice before she dies.
context: Yeah.\My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies. response:	I'm a real grandma's boy, so I want to grant her wish before she goes.
context: My family runs a store called Nagomi Sake.\It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes. response:	I had a girlfriend for a month, recently.
context: It was started in my granddad's time,\and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently. response:	When I asked her to meet my gran, she refused.
context: and now my dad and mom run it.\Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused. response:	And ultimately, she dumped me.
context: Even after my granddad died early,\my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me. response:	It was out of desperation that I pressed that button
context: my gran kept it running, despite having debts and my dad to worry about.\So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button response:	and rented you.
context: So, to our family, my gran's like a goddess.\And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you. response:	Lame as hell, right?
context: And it's our goddess's wish that I find someone nice before she dies.\I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you.\Lame as hell, right? response:	What am I, a rabbit?
context: I'm a real grandma's boy, so I want to grant her wish before she goes.\I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you.\Lame as hell, right?\What am I, a rabbit? response:	One that dies if it gets lonely.
context: I had a girlfriend for a month, recently.\When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you.\Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely. response:	There's no one alive who doesn't get lonely.
context: When I asked her to meet my gran, she refused.\And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you.\Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely. response:	Just a lot of people good at hiding it.
context: And ultimately, she dumped me.\It was out of desperation that I pressed that button\and rented you.\Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it. response:	They all fill the void in their heart with work or significant others.
context: It was out of desperation that I pressed that button\and rented you.\Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others. response:	I'll apologize to my gran...
context: and rented you.\Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran... response:	and introduce a real girlfriend to her someday.
context: Lame as hell, right?\What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday. response:	I'll figure it out myself.
context: What am I, a rabbit?\One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself. response:	After all, there's no way to get your true self on rental.
context: One that dies if it gets lonely.\There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental. response:	Ow...
context: There's no one alive who doesn't get lonely.\Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow... response:	What was that for?!
context: Just a lot of people good at hiding it.\They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow...\What was that for?! response:	That was corny as hell! Gross!
context: They all fill the void in their heart with work or significant others.\I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow...\What was that for?!\That was corny as hell! Gross! response:	Could you please not drag me into your embarrassingly self-absorbed soliloquy?
context: I'll apologize to my gran...\and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow...\What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy? response:	Y-You're one to talk, with the corny act you put on every day!
context: and introduce a real girlfriend to her someday.\I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow...\What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day! response:	Hey, I do it for work. Corny is perfectly fine by me.
context: I'll figure it out myself.\After all, there's no way to get your true self on rental.\Ow...\What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me. response:	Hey, uh... Sorry about everything today.
context: After all, there's no way to get your true self on rental.\Ow...\What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today. response:	And thanks.
context: Ow...\What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks. response:	I'm no different. I want to make my family happy, too.
context: What was that for?!\That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too. response:	But...
context: That was corny as hell! Gross!\Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too.\But... response:	I just can't quit this job right now.
context: Could you please not drag me into your embarrassingly self-absorbed soliloquy?\Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now. response:	I don't want anything like today's date ever again,
context: Y-You're one to talk, with the corny act you put on every day!\Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now.\I don't want anything like today's date ever again, response:	but whenever you find yourself feeling like a rabbit,
context: Hey, I do it for work. Corny is perfectly fine by me.\Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit, response:	feel free to call me.
context: Hey, uh... Sorry about everything today.\And thanks.\I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me. response:	Nah.
context: And thanks.\I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah. response:	I doubt I'll see Mizuhara Chizuru ever again.
context: I'm no different. I want to make my family happy, too.\But...\I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again. response:	I won't turn to her anymore.
context: But...\I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore. response:	I'm done with pretend dating forever.
context: I just can't quit this job right now.\I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever. response:	Aquarium Ladhhhhhhhhhhhhhhhhhh
context: I don't want anything like today's date ever again,\but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh response:	Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh
context: but whenever you find yourself feeling like a rabbit,\feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh response:	That dork.
context: feel free to call me.\Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork. response:	And this is where my real story begins.
context: Nah.\I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins. response:	The story of my precarious,
context: I doubt I'll see Mizuhara Chizuru ever again.\I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins.\The story of my precarious, response:	yet optimistic campus life.
context: I won't turn to her anymore.\I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins.\The story of my precarious,\yet optimistic campus life. response:	Yo, Kazuchin.
context: I'm done with pretend dating forever.\Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins.\The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin. response:	How many times did you jerk it yesterday?
context: Aquarium Ladhhhhhhhhhhhhhhhhhh\Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins.\The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday? response:	The story of my rueful virgin life starts now!
context: Zero complaints! The cutest, hottest, most fashionable, and greatest girlfriend ever!hh\That dork.\And this is where my real story begins.\The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now! response:	Three times!
context: That dork.\And this is where my real story begins.\The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times! response:	Whoa, hardcore!
context: And this is where my real story begins.\The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore! response:	Virgins gonna virgin!
context: The story of my precarious,\yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore!\Virgins gonna virgin! response:	Right back at ya.
context: yet optimistic campus life.\Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore!\Virgins gonna virgin!\Right back at ya. response:	The anime's finally airing, huh, Mizuhara?
context: Yo, Kazuchin.\How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore!\Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara? response:	Right, Kazuya-kun!
context: How many times did you jerk it yesterday?\The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore!\Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun! response:	K-Kazuya-kun?
context: The story of my rueful virgin life starts now!\Three times!\Whoa, hardcore!\Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun? response:	I'm so glad I get do the preview in episode one with you!
context: Three times!\Whoa, hardcore!\Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you! response:	Uh... Are you in rental girlfriend mode right now?
context: Whoa, hardcore!\Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you!\Uh... Are you in rental girlfriend mode right now? response:	Of course. Mind if we get the formalities out of the way?
context: Virgins gonna virgin!\Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you!\Uh... Are you in rental girlfriend mode right now?\Of course. Mind if we get the formalities out of the way? response:	You'll have to pay the base fee, the choice fee,
context: Right back at ya.\The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you!\Uh... Are you in rental girlfriend mode right now?\Of course. Mind if we get the formalities out of the way?\You'll have to pay the base fee, the choice fee, response:	and an extra fee for a 30-second preview, totaling
context: The anime's finally airing, huh, Mizuhara?\Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you!\Uh... Are you in rental girlfriend mode right now?\Of course. Mind if we get the formalities out of the way?\You'll have to pay the base fee, the choice fee,\and an extra fee for a 30-second preview, totaling response:	Ex-Girlfriend...
context: Right, Kazuya-kun!\K-Kazuya-kun?\I'm so glad I get do the preview in episode one with you!\Uh... Are you in rental girlfriend mode right now?\Of course. Mind if we get the formalities out of the way?\You'll have to pay the base fee, the choice fee,\and an extra fee for a 30-second preview, totaling\Ex-Girlfriend... response:	You've sure got it rough, Kazu-kun.
