context: CCG Base to 203, response:	trespassers reported in the 20th Ward at the Aqua Building.
context: You'll have to cut deeper than that!\Will I?\Can I go even harder next time?\Take your corpse with you, beansprout.\You want this?\You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize. response:	Why weren't you eaten? Then again...
context: Will I?\Can I go even harder next time?\Take your corpse with you, beansprout.\You want this?\You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again... response:	your eye...
context: Can I go even harder next time?\Take your corpse with you, beansprout.\You want this?\You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye... response:	Please help me...!
context: Take your corpse with you, beansprout.\You want this?\You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye...\Please help me...! response:	I know you may not believe this, but I'm human. And yet...
context: You want this?\You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet... response:	I want to eat that...
context: You're not eating?\Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that... response:	I want to eat it so bad I can't help it...
context: Then again, only one of your eyes is different...\You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it... response:	But if I do...
context: You're the one who was with Rize.\Why weren't you eaten? Then again...\your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it...\But if I do... response:	I won't be human anymore!
context: Why weren't you eaten? Then again...\your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore! response:	If you're in that much pain, then eat.
context: your eye...\Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore!\If you're in that much pain, then eat. response:	No way!
context: Please help me...!\I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore!\If you're in that much pain, then eat.\No way! response:	No way! No way! No way! No way! No way! No way!
context: I know you may not believe this, but I'm human. And yet...\I want to eat that...\I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore!\If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way! response:	There's no way I can eat something like that, right?
context: I want to eat that...\I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore!\If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right? response:	What is this? What is it to be a ghoul?
context: I want to eat it so bad I can't help it...\But if I do...\I won't be human anymore!\If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul? response:	Killing people... killing each other...
context: But if I do...\I won't be human anymore!\If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other... response:	I'm not like that!
context: I won't be human anymore!\If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that! response:	I'm... human!
context: If you're in that much pain, then eat.\No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that!\I'm... human! response:	I'm... human!
context: No way!\No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that!\I'm... human!\I'm... human! response:	This is ridiculous. Why not give in already?
context: No way! No way! No way! No way! No way! No way!\There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that!\I'm... human!\I'm... human!\This is ridiculous. Why not give in already? response:	If you don't have the nerve to eat...
context: There's no way I can eat something like that, right?\What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that!\I'm... human!\I'm... human!\This is ridiculous. Why not give in already?\If you don't have the nerve to eat... response:	then I'll give you a hand!
context: What is this? What is it to be a ghoul?\Killing people... killing each other...\I'm not like that!\I'm... human!\I'm... human!\This is ridiculous. Why not give in already?\If you don't have the nerve to eat...\then I'll give you a hand! response:	Next Time Incubation
