context: Akiteru, how long are you able to stay? response:	I have to go back to work on the 14th,
context: Push it, push it, push it, push it, Seijoh!\With Intense Force Shiratorizawa Academy\Shiratorizawa!\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji response:	We're up next!
context: With Intense Force Shiratorizawa Academy\Shiratorizawa!\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next! response:	Let's go!
context: Shiratorizawa!\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next!\Let's go! response:	Yeah!
context: Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next!\Let's go!\Yeah! response:	All right...
context: The Iron Wall of Date\The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next!\Let's go!\Yeah!\All right... response:	We're gonna play more than anyone else here!
context: The first match has Seijoh on the B Court,\and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next!\Let's go!\Yeah!\All right...\We're gonna play more than anyone else here! response:	Yahoo!
context: and Shiratorizawa on the A Court.\Karasuno Johzenji\We're up next!\Let's go!\Yeah!\All right...\We're gonna play more than anyone else here!\Yahoo! response:	Wha?
context: Karasuno Johzenji\We're up next!\Let's go!\Yeah!\All right...\We're gonna play more than anyone else here!\Yahoo!\Wha? response:	There they are, the party team.
context: We're up next!\Let's go!\Yeah!\All right...\We're gonna play more than anyone else here!\Yahoo!\Wha?\There they are, the party team. response:	Johzenji!
context: Let's go!\Yeah!\All right...\We're gonna play more than anyone else here!\Yahoo!\Wha?\There they are, the party team.\Johzenji! response:	Curse that playboy from Johzenji!
context: Yeah!\All right...\We're gonna play more than anyone else here!\Yahoo!\Wha?\There they are, the party team.\Johzenji!\Curse that playboy from Johzenji! response:	We're gonna have to switch to 24-hour surveillance.
context: All right...\We're gonna play more than anyone else here!\Yahoo!\Wha?\There they are, the party team.\Johzenji!\Curse that playboy from Johzenji!\We're gonna have to switch to 24-hour surveillance. response:	We'll protect Kiyoko-san, even if it means our lives!
context: We're gonna play more than anyone else here!\Yahoo!\Wha?\There they are, the party team.\Johzenji!\Curse that playboy from Johzenji!\We're gonna have to switch to 24-hour surveillance.\We'll protect Kiyoko-san, even if it means our lives! response:	Tanaka and Nishinoya are saying something again...
context: Yahoo!\Wha?\There they are, the party team.\Johzenji!\Curse that playboy from Johzenji!\We're gonna have to switch to 24-hour surveillance.\We'll protect Kiyoko-san, even if it means our lives!\Tanaka and Nishinoya are saying something again... response:	Episode 15: Place to Play
context: Wha?\There they are, the party team.\Johzenji!\Curse that playboy from Johzenji!\We're gonna have to switch to 24-hour surveillance.\We'll protect Kiyoko-san, even if it means our lives!\Tanaka and Nishinoya are saying something again...\Episode 15: Place to Play response:	Next time on Haikyu!! : Place to Play.
