context: Miku, what is it you wanted to talk to me about? response:	We don't need to be equals.
context: Hey.\Are you feeling better now?\Yeah.\I need to make up for the time I spent hospitalized.\You can keep that for a little longer.\Did you say something?\Nothing.\Stop eating already, Itsuki. response:	I get hungry in the mornings.
context: Are you feeling better now?\Yeah.\I need to make up for the time I spent hospitalized.\You can keep that for a little longer.\Did you say something?\Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings. response:	I know.
context: Yeah.\I need to make up for the time I spent hospitalized.\You can keep that for a little longer.\Did you say something?\Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings.\I know. response:	To celebrate Futaro coming back to health,
context: I need to make up for the time I spent hospitalized.\You can keep that for a little longer.\Did you say something?\Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health, response:	we should all go to the crepe shop after school...
context: You can keep that for a little longer.\Did you say something?\Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school... response:	We're studying, right?
context: Did you say something?\Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right? response:	Futaro, I hope you help us lots with studying.
context: Nothing.\Stop eating already, Itsuki.\I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying. response:	Studying together, huh?
context: Stop eating already, Itsuki.\I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh? response:	Let's do this.
context: I get hungry in the mornings.\I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this. response:	Hey, I never agreed.
context: I know.\To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this.\Hey, I never agreed. response:	Everyone besides you, then, Nino.
context: To celebrate Futaro coming back to health,\we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino. response:	I never said I wouldn't join.
context: we should all go to the crepe shop after school...\We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join. response:	Uesugi-kun, we'll be in your care.
context: We're studying, right?\Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care. response:	Right.
context: Futaro, I hope you help us lots with studying.\Studying together, huh?\Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care.\Right. response:	The finals are coming up, so I'm going to work you all hard.
context: Studying together, huh?\Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care.\Right.\The finals are coming up, so I'm going to work you all hard. response:	U-Um...
context: Let's do this.\Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care.\Right.\The finals are coming up, so I'm going to work you all hard.\U-Um... response:	You'd better be prepared, all of you!
context: Hey, I never agreed.\Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care.\Right.\The finals are coming up, so I'm going to work you all hard.\U-Um...\You'd better be prepared, all of you! response:	Run!
context: Everyone besides you, then, Nino.\I never said I wouldn't join.\Uesugi-kun, we'll be in your care.\Right.\The finals are coming up, so I'm going to work you all hard.\U-Um...\You'd better be prepared, all of you!\Run! response:	Episode 12: Legend of Fate Day 2000
