context: I have gathered you all here today for one reason. response:	I want all of us to overcome...
context: Ayano told me it wasn't.\You can get rid of it.\What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga. response:	Don't put your clothes on.
context: You can get rid of it.\What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on. response:	What?
context: What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on.\What? response:	We're going to keep going.
context: It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on.\What?\We're going to keep going. response:	Hey, wait.
context: New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on.\What?\We're going to keep going.\Hey, wait. response:	What more do you have planned for me?
context: Redraw it?\Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on.\What?\We're going to keep going.\Hey, wait.\What more do you have planned for me? response:	I won't let you sleep tonight.
context: Are you going to apply for the new artist award again?\You must really like drawing manga.\Don't put your clothes on.\What?\We're going to keep going.\Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight. response:	Try to sound a little sexier when you say that!
context: You must really like drawing manga.\Don't put your clothes on.\What?\We're going to keep going.\Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that! response:	I won't let you sleep tonight.
context: Don't put your clothes on.\What?\We're going to keep going.\Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight. response:	That sounded exactly the same!
context: What?\We're going to keep going.\Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same! response:	Sakura Hall
context: We're going to keep going.\Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall response:	Good morning.
context: Hey, wait.\What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall\Good morning. response:	You sure had fun last night.
context: What more do you have planned for me?\I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall\Good morning.\You sure had fun last night. response:	I didn't have fun at all!
context: I won't let you sleep tonight.\Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall\Good morning.\You sure had fun last night.\I didn't have fun at all! response:	Senpai, did you manage to get Jin-san to eat that cabbage?
context: Try to sound a little sexier when you say that!\I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall\Good morning.\You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage? response:	That's what you choose to ask about, kouhai-kun?
context: I won't let you sleep tonight.\That sounded exactly the same!\Sakura Hall\Good morning.\You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun? response:	Uh... I'll go take out the garbage.
context: That sounded exactly the same!\Sakura Hall\Good morning.\You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage. response:	I don't really understand their relationship...
context: Sakura Hall\Good morning.\You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship... response:	Hey, you're early.
context: Good morning.\You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early. response:	Are you on your way to work?
context: You sure had fun last night.\I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early.\Are you on your way to work? response:	Y-Yeah. Good work today, Kanda-kun!
context: I didn't have fun at all!\Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun! response:	What? You're not angry anymore?
context: Senpai, did you manage to get Jin-san to eat that cabbage?\That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore? response:	I-I wasn't angry in the first place.
context: That's what you choose to ask about, kouhai-kun?\Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place. response:	Huh? But... Aoyama, you speak...
context: Uh... I'll go take out the garbage.\I don't really understand their relationship...\Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak... response:	in Kansai dialect when you're angry, so...
context: I don't really understand their relationship...\Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so... response:	I-I-I just told you I ain't angry!
context: Hey, you're early.\Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry! response:	That girl I met yesterday is pretty weird, isn't she?
context: Are you on your way to work?\Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she? response:	She's an art student, isn't she?
context: Y-Yeah. Good work today, Kanda-kun!\What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she? response:	You mean Shiina?
context: What? You're not angry anymore?\I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina? response:	Yeah, she wants to be a manga artist.
context: I-I wasn't angry in the first place.\Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist. response:	She's good at drawing, but her work's a little strange.
context: Huh? But... Aoyama, you speak...\in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange. response:	She works hard, though.
context: in Kansai dialect when you're angry, so...\I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though. response:	I guess you could say...
context: I-I-I just told you I ain't angry!\That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say... response:	she makes me want to cheer her on...
context: That girl I met yesterday is pretty weird, isn't she?\She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say...\she makes me want to cheer her on... response:	Same goes for you, too.
context: She's an art student, isn't she?\You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say...\she makes me want to cheer her on...\Same goes for you, too. response:	Working so early in the morning so you can become a voice actor...
context: You mean Shiina?\Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say...\she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor... response:	is pretty amazing.
context: Yeah, she wants to be a manga artist.\She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say...\she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing. response:	I respect that.
context: She's good at drawing, but her work's a little strange.\She works hard, though.\I guess you could say...\she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that. response:	W-Well, anyway, I've got to go!
context: She works hard, though.\I guess you could say...\she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that.\W-Well, anyway, I've got to go! response:	See you at school.
context: I guess you could say...\she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that.\W-Well, anyway, I've got to go!\See you at school. response:	Yeah!
context: she makes me want to cheer her on...\Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that.\W-Well, anyway, I've got to go!\See you at school.\Yeah! response:	They really are amazing.
context: Same goes for you, too.\Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that.\W-Well, anyway, I've got to go!\See you at school.\Yeah!\They really are amazing. response:	Both Aoyama and Shiina.
context: Working so early in the morning so you can become a voice actor...\is pretty amazing.\I respect that.\W-Well, anyway, I've got to go!\See you at school.\Yeah!\They really are amazing.\Both Aoyama and Shiina. response:	They've both found something they can be absorbed in.
context: is pretty amazing.\I respect that.\W-Well, anyway, I've got to go!\See you at school.\Yeah!\They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in. response:	I might not be as good as Misaki-senpai...
context: I respect that.\W-Well, anyway, I've got to go!\See you at school.\Yeah!\They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai... response:	and the others, but...
context: W-Well, anyway, I've got to go!\See you at school.\Yeah!\They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but... response:	Still, I wonder if I'll be able to find something someday.
context: See you at school.\Yeah!\They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday. response:	She left her stuff out.
context: Yeah!\They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out. response:	That's a beautiful drawing.
context: They really are amazing.\Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing. response:	Thank you.
context: Both Aoyama and Shiina.\They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing.\Thank you. response:	Why are you thanking me?
context: They've both found something they can be absorbed in.\I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing.\Thank you.\Why are you thanking me? response:	Because I drew that.
context: I might not be as good as Misaki-senpai...\and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing.\Thank you.\Why are you thanking me?\Because I drew that. response:	What?
context: and the others, but...\Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing.\Thank you.\Why are you thanking me?\Because I drew that.\What? response:	What? You mean you didn't know?
context: Still, I wonder if I'll be able to find something someday.\She left her stuff out.\That's a beautiful drawing.\Thank you.\Why are you thanking me?\Because I drew that.\What?\What? You mean you didn't know? response:	Jin-san?
context: She left her stuff out.\That's a beautiful drawing.\Thank you.\Why are you thanking me?\Because I drew that.\What?\What? You mean you didn't know?\Jin-san? response:	Look at the cover.
context: That's a beautiful drawing.\Thank you.\Why are you thanking me?\Because I drew that.\What?\What? You mean you didn't know?\Jin-san?\Look at the cover. response:	Chihiro-chan must not have told you.
context: Thank you.\Why are you thanking me?\Because I drew that.\What?\What? You mean you didn't know?\Jin-san?\Look at the cover.\Chihiro-chan must not have told you. response:	I'm sure you must've at least seen her face on TV or in magazines.
context: Why are you thanking me?\Because I drew that.\What?\What? You mean you didn't know?\Jin-san?\Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines. response:	Shiina Mashiro
context: Because I drew that.\What?\What? You mean you didn't know?\Jin-san?\Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro response:	After all, Shiina Mashiro is...
context: What?\What? You mean you didn't know?\Jin-san?\Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is... response:	Special Exhibition: Contemporary Artist, Shiina Mashiro
context: What? You mean you didn't know?\Jin-san?\Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro response:	The prodigal girl who has descended upon the world of contemporary art...
context: Jin-san?\Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art... response:	Something she can be absorbed in? What was I thinking?
context: Look at the cover.\Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking? response:	She isn't on Misaki-senpai or Jin-san's level.
context: Chihiro-chan must not have told you.\I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level. response:	Shiina is...
context: I'm sure you must've at least seen her face on TV or in magazines.\Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is... response:	Suffer more, little one.
context: Shiina Mashiro\After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one. response:	Mashiro-chan, come eat some
context: After all, Shiina Mashiro is...\Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some response:	Is it good?
context: Special Exhibition: Contemporary Artist, Shiina Mashiro\The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some\Is it good? response:	Cabbage!
context: The prodigal girl who has descended upon the world of contemporary art...\Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some\Is it good?\Cabbage! response:	I'm going to give away the ribbon...
context: Something she can be absorbed in? What was I thinking?\She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some\Is it good?\Cabbage!\I'm going to give away the ribbon... response:	03 So Close And Yet So Far...
context: She isn't on Misaki-senpai or Jin-san's level.\Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some\Is it good?\Cabbage!\I'm going to give away the ribbon...\03 So Close And Yet So Far... response:	(There is no actual prize for our viewers.)
context: Shiina is...\Suffer more, little one.\Mashiro-chan, come eat some\Is it good?\Cabbage!\I'm going to give away the ribbon...\03 So Close And Yet So Far...\(There is no actual prize for our viewers.) response:	I used to wrap myself up as a prize to our viewers!
context: Suffer more, little one.\Mashiro-chan, come eat some\Is it good?\Cabbage!\I'm going to give away the ribbon...\03 So Close And Yet So Far...\(There is no actual prize for our viewers.)\I used to wrap myself up as a prize to our viewers! response:	Write to us at...
