context: One Bowl of Tea on Rice response:	One bowl of tea on rice...
context: What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere. response:	Yeah, I may be better off eaten by a tiger...
context: The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger... response:	We'll make him one of us.
context: Dazai Osamu\Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us. response:	Nice!
context: Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice! response:	Are you serious?
context: I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice!\Are you serious? response:	Dazai, you are an idiot.
context: They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice!\Are you serious?\Dazai, you are an idiot. response:	What gives you the right to decide that?
context: And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice!\Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that? response:	There, there.
context: No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice!\Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that?\There, there. response:	Wake up, boy!
context: Yeah, I may be better off eaten by a tiger...\We'll make him one of us.\Nice!\Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that?\There, there.\Wake up, boy! response:	Here, in a city teeming with the supernatural...
context: We'll make him one of us.\Nice!\Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that?\There, there.\Wake up, boy!\Here, in a city teeming with the supernatural... response:	Here, in a detective agency teeming with eccentrics...
context: Nice!\Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that?\There, there.\Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics... response:	A strange tale is about to unfold.
context: Are you serious?\Dazai, you are an idiot.\What gives you the right to decide that?\There, there.\Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold. response:	This is only a sign of things to come... A premonition, if you will.
context: Dazai, you are an idiot.\What gives you the right to decide that?\There, there.\Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will. response:	Now...
context: What gives you the right to decide that?\There, there.\Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now... response:	Huh?
context: There, there.\Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now...\Huh? response:	Atsushi-kun.
context: Wake up, boy!\Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now...\Huh?\Atsushi-kun. response:	Do you remember nothing at all from when you were transformed?
context: Here, in a city teeming with the supernatural...\Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now...\Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed? response:	What are you talking about?
context: Here, in a detective agency teeming with eccentrics...\A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now...\Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about? response:	Oh.
context: A strange tale is about to unfold.\This is only a sign of things to come... A premonition, if you will.\Now...\Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh. response:	But your right hand's still there.
context: This is only a sign of things to come... A premonition, if you will.\Now...\Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh.\But your right hand's still there. response:	Right hand?
context: Now...\Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh.\But your right hand's still there.\Right hand? response:	What?!
context: Huh?\Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh.\But your right hand's still there.\Right hand?\What?! response:	Nakajima Atsushi
context: Atsushi-kun.\Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh.\But your right hand's still there.\Right hand?\What?!\Nakajima Atsushi response:	Ability: Beast Beneath The Moonlight
context: Do you remember nothing at all from when you were transformed?\What are you talking about?\Oh.\But your right hand's still there.\Right hand?\What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight response:	What the?
context: What are you talking about?\Oh.\But your right hand's still there.\Right hand?\What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the? response:	What's this?
context: Oh.\But your right hand's still there.\Right hand?\What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the?\What's this? response:	What the hell?!
context: But your right hand's still there.\Right hand?\What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the?\What's this?\What the hell?! response:	Nakajima Atsushi!
context: Right hand?\What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the?\What's this?\What the hell?!\Nakajima Atsushi! response:	You'll become one of us.
context: What?!\Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the?\What's this?\What the hell?!\Nakajima Atsushi!\You'll become one of us. response:	From this day forth, you'll be a member of the Armed Detective Agency.
context: Nakajima Atsushi\Ability: Beast Beneath The Moonlight\What the?\What's this?\What the hell?!\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency. response:	Huh?
context: Ability: Beast Beneath The Moonlight\What the?\What's this?\What the hell?!\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh? response:	It's been a long time since I've slept on a futon.
context: What the?\What's this?\What the hell?!\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon. response:	I feel reborn...
context: What's this?\What the hell?!\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon.\I feel reborn... response:	Hey, brat.
context: What the hell?!\Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat. response:	There's an emergency.
context: Nakajima Atsushi!\You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat.\There's an emergency. response:	Hightail it over to the detective agency.
context: You'll become one of us.\From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat.\There's an emergency.\Hightail it over to the detective agency. response:	An emergency?
context: From this day forth, you'll be a member of the Armed Detective Agency.\Huh?\It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat.\There's an emergency.\Hightail it over to the detective agency.\An emergency? response:	A bomber's taken a hostage and holed himself up in our office.
context: Huh?\It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat.\There's an emergency.\Hightail it over to the detective agency.\An emergency?\A bomber's taken a hostage and holed himself up in our office. response:	I don't want to go!
context: It's been a long time since I've slept on a futon.\I feel reborn...\Hey, brat.\There's an emergency.\Hightail it over to the detective agency.\An emergency?\A bomber's taken a hostage and holed himself up in our office.\I don't want to go! response:	Episode 2: A Certain Bomb
context: I feel reborn...\Hey, brat.\There's an emergency.\Hightail it over to the detective agency.\An emergency?\A bomber's taken a hostage and holed himself up in our office.\I don't want to go!\Episode 2: A Certain Bomb response:	A Certain Bomb.
context: Hey, brat.\There's an emergency.\Hightail it over to the detective agency.\An emergency?\A bomber's taken a hostage and holed himself up in our office.\I don't want to go!\Episode 2: A Certain Bomb\A Certain Bomb. response:	Ability: Doppo Poet.
context: There's an emergency.\Hightail it over to the detective agency.\An emergency?\A bomber's taken a hostage and holed himself up in our office.\I don't want to go!\Episode 2: A Certain Bomb\A Certain Bomb.\Ability: Doppo Poet. response:	Wire Gun
