context: I swear I'll save you, so wait for me, Rohan! response:	So it learned my scent?
context: Eh?\Can you move?\You can, right?\Your wounds are all healed up, aren't they?\Th-They are...\Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it? response:	Yuya Fungami continues his hospital stay.
context: Can you move?\You can, right?\Your wounds are all healed up, aren't they?\Th-They are...\Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay. response:	If he ever tries to use Highway Go Go again to try to heal himself,
context: You can, right?\Your wounds are all healed up, aren't they?\Th-They are...\Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself, response:	Josuke threatens to kick his ass over and over.
context: Your wounds are all healed up, aren't they?\Th-They are...\Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over. response:	I feel so refreshed.
context: Th-They are...\Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed. response:	I feel like it's New Year's morning
context: Right.\I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning response:	after I just put on a fresh pair of underwear.
context: I figured if I fixed you up first,\it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear. response:	Yu!
context: it wouldn't be cowardly at all, would it?\Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu! response:	However, it's rather enviable that he gets to be nursed
context: Yuya Fungami continues his hospital stay.\If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed response:	back to health by his fangirls.
context: If he ever tries to use Highway Go Go again to try to heal himself,\Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls. response:	Meanwhile, Rohan...
context: Josuke threatens to kick his ass over and over.\I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan... response:	Josuke Higashikata...
context: I feel so refreshed.\I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata... response:	U-Um, look, Rohan-sensei,
context: I feel like it's New Year's morning\after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei, response:	a lot's happened, but I, uh...
context: after I just put on a fresh pair of underwear.\Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh... response:	Why did you heal me?
context: Yu!\However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me? response:	Huh?
context: However, it's rather enviable that he gets to be nursed\back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me?\Huh? response:	You meddlesome brat.
context: back to health by his fangirls.\Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me?\Huh?\You meddlesome brat. response:	I would have rather die than be saved by you.
context: Meanwhile, Rohan...\Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me?\Huh?\You meddlesome brat.\I would have rather die than be saved by you. response:	Not to mention, you stepped into the enemy's trap after I told you to run.
context: Josuke Higashikata...\U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me?\Huh?\You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run. response:	How stupid can you be?
context: U-Um, look, Rohan-sensei,\a lot's happened, but I, uh...\Why did you heal me?\Huh?\You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be? response:	Wha
context: a lot's happened, but I, uh...\Why did you heal me?\Huh?\You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha response:	Just so you know, I don't consider this a favor I need to return.
context: Why did you heal me?\Huh?\You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return. response:	Also...
context: Huh?\You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return.\Also... response:	After all this happened, Koichi Hirose took his dog for a walk.
context: You meddlesome brat.\I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk. response:	Hi
context: I would have rather die than be saved by you.\Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi response:	Hig
context: Not to mention, you stepped into the enemy's trap after I told you to run.\How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig response:	High
context: How stupid can you be?\Wha\Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig\High response:	Highw
context: Wha\Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig\High\Highw response:	Highwa
context: Just so you know, I don't consider this a favor I need to return.\Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig\High\Highw\Highwa response:	Highway
context: Also...\After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig\High\Highw\Highwa\Highway response:	Highway G
context: After all this happened, Koichi Hirose took his dog for a walk.\Hi\Hig\High\Highw\Highwa\Highway\Highway G response:	Highway Go
context: Hi\Hig\High\Highw\Highwa\Highway\Highway G\Highway Go response:	Highway Go G
context: Hig\High\Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G response:	Highway Go Go
context: High\Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go response:	Yu
context: Highw\Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Yu response:	Yuya
context: Highwa\Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Yu\Yuya response:	Yuya Fun
context: Highway\Highway G\Highway Go\Highway Go G\Highway Go Go\Yu\Yuya\Yuya Fun response:	Yuya Fungami
context: Highway G\Highway Go\Highway Go G\Highway Go Go\Yu\Yuya\Yuya Fun\Yuya Fungami response:	Ah, that cat's a British Blue.
context: Highway Go\Highway Go G\Highway Go Go\Yu\Yuya\Yuya Fun\Yuya Fungami\Ah, that cat's a British Blue. response:	Where'd you come from, little kitty?
context: Highway Go G\Highway Go Go\Yu\Yuya\Yuya Fun\Yuya Fungami\Ah, that cat's a British Blue.\Where'd you come from, little kitty? response:	Episode 30 Cats Love Yoshikage Kira
context: Highway Go Go\Yu\Yuya\Yuya Fun\Yuya Fungami\Ah, that cat's a British Blue.\Where'd you come from, little kitty?\Episode 30 Cats Love Yoshikage Kira response:	Episode 30 Cats Lo ve Yoshikage Kira
