context: Seven Goodbyes Part 1 response:	One more week until the final.
context: It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives!\She's right.\It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful.\They don't need me. response:	There you go, getting bummed out again.
context: No, in fact...\You should never have come into our lives!\She's right.\It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful.\They don't need me.\There you go, getting bummed out again. response:	You haven't changed, have you...
context: You should never have come into our lives!\She's right.\It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful.\They don't need me.\There you go, getting bummed out again.\You haven't changed, have you... response:	Uesugi Futaro-kun?
context: She's right.\It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful.\They don't need me.\There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun? response:	It's been a while.
context: It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful.\They don't need me.\There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while. response:	Uesugi-san?
context: All I've been doing is studying.\I can't make myself useful.\They don't need me.\There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while.\Uesugi-san? response:	What are you doing here?
context: I can't make myself useful.\They don't need me.\There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while.\Uesugi-san?\What are you doing here? response:	Yotsuba.
context: They don't need me.\There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while.\Uesugi-san?\What are you doing here?\Yotsuba. response:	U-Uh...
context: There you go, getting bummed out again.\You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while.\Uesugi-san?\What are you doing here?\Yotsuba.\U-Uh... response:	Sorry, I'm in the middle of practice.
context: You haven't changed, have you...\Uesugi Futaro-kun?\It's been a while.\Uesugi-san?\What are you doing here?\Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice. response:	Please take care of Nino and Itsuki for me.
context: Uesugi Futaro-kun?\It's been a while.\Uesugi-san?\What are you doing here?\Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me. response:	Right.
context: It's been a while.\Uesugi-san?\What are you doing here?\Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right. response:	Nino.
context: Uesugi-san?\What are you doing here?\Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right.\Nino. response:	That's as far as you go.
context: What are you doing here?\Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right.\Nino.\That's as far as you go. response:	He's back again!
context: Yotsuba.\U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right.\Nino.\That's as far as you go.\He's back again! response:	Please, turn back.
context: U-Uh...\Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right.\Nino.\That's as far as you go.\He's back again!\Please, turn back. response:	How many times do we have to tell you?
context: Sorry, I'm in the middle of practice.\Please take care of Nino and Itsuki for me.\Right.\Nino.\That's as far as you go.\He's back again!\Please, turn back.\How many times do we have to tell you? response:	Creep.
context: Please take care of Nino and Itsuki for me.\Right.\Nino.\That's as far as you go.\He's back again!\Please, turn back.\How many times do we have to tell you?\Creep. response:	We're never going to let you in!
context: Right.\Nino.\That's as far as you go.\He's back again!\Please, turn back.\How many times do we have to tell you?\Creep.\We're never going to let you in! response:	He'd better knock it off.
context: Nino.\That's as far as you go.\He's back again!\Please, turn back.\How many times do we have to tell you?\Creep.\We're never going to let you in!\He'd better knock it off. response:	I need to tell him off.
context: That's as far as you go.\He's back again!\Please, turn back.\How many times do we have to tell you?\Creep.\We're never going to let you in!\He'd better knock it off.\I need to tell him off. response:	How many times do I have to turn him away?
context: He's back again!\Please, turn back.\How many times do we have to tell you?\Creep.\We're never going to let you in!\He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away? response:	He just keeps coming back.
context: Please, turn back.\How many times do we have to tell you?\Creep.\We're never going to let you in!\He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back. response:	He doesn't know when to stop.
context: How many times do we have to tell you?\Creep.\We're never going to let you in!\He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop. response:	If the other guests see you walking around looking like a bum, they'll think you're an eyesore.
context: Creep.\We're never going to let you in!\He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop.\If the other guests see you walking around looking like a bum, they'll think you're an eyesore. response:	You're being a bother.
context: We're never going to let you in!\He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop.\If the other guests see you walking around looking like a bum, they'll think you're an eyesore.\You're being a bother. response:	Come to my room.
context: He'd better knock it off.\I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop.\If the other guests see you walking around looking like a bum, they'll think you're an eyesore.\You're being a bother.\Come to my room. response:	Episode 3
context: I need to tell him off.\How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop.\If the other guests see you walking around looking like a bum, they'll think you're an eyesore.\You're being a bother.\Come to my room.\Episode 3 response:	Seven Goodbyes Part 2
context: How many times do I have to turn him away?\He just keeps coming back.\He doesn't know when to stop.\If the other guests see you walking around looking like a bum, they'll think you're an eyesore.\You're being a bother.\Come to my room.\Episode 3\Seven Goodbyes Part 2 response:	Seven Goodbyes, Part 2.
