context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: Grr\Grr\Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami. response:	I will tear this cage to shreds and...
context: Grr\Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and... response:	It's no use. This is Brother Jirou's barrier prison.
context: Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison. response:	Spirit powers are of absolutely no use in here.
context: Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here. response:	We'll have to devise some way to escape.
context: I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape. response:	Finding Nanami and the others is of critical importance.
context: Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance. response:	We may not be able to save your old man.
context: If Nanami has been caught, that changes the plan!\At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man. response:	I don't really care about my sire.
context: At any rate, I am going to Nanami.\I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire. response:	I've barely even spoken to the man.
context: I will tear this cage to shreds and...\It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man. response:	That weirdo said Nanami and her group were put in the underground dungeon.
context: It's no use. This is Brother Jirou's barrier prison.\Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon. response:	We'll have to go rescue them somehow.
context: Spirit powers are of absolutely no use in here.\We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow. response:	Next part coming
context: We'll have to devise some way to escape.\Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming response:	right up
context: Finding Nanami and the others is of critical importance.\We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming\right up response:	right up
context: We may not be able to save your old man.\I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming\right up\right up response:	right up
context: I don't really care about my sire.\I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming\right up\right up\right up response:	right up
context: I've barely even spoken to the man.\That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming\right up\right up\right up\right up response:	right up
context: That weirdo said Nanami and her group were put in the underground dungeon.\We'll have to go rescue them somehow.\Next part coming\right up\right up\right up\right up\right up response:	Next part starting
context: We'll have to go rescue them somehow.\Next part coming\right up\right up\right up\right up\right up\Next part starting response:	Next part starting
context: Next part coming\right up\right up\right up\right up\right up\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\right up\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting response:	Huh?
context: right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\Huh? response:	Th-This place...
context: right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\Huh?\Th-This place... response:	Oh!
context: Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\Huh?\Th-This place...\Oh! response:	Botanmaru! Wake up! Wake up!
context: Next part starting\Next part starting\Next part starting\Next part starting\Huh?\Th-This place...\Oh!\Botanmaru! Wake up! Wake up! response:	Here are the rats, Master Jirou.
context: Next part starting\Next part starting\Next part starting\Huh?\Th-This place...\Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou. response:	To think that these stinking brats got the better of me...
context: Next part starting\Next part starting\Huh?\Th-This place...\Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me... response:	Jirou...
context: Next part starting\Huh?\Th-This place...\Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou... response:	I had my suspicions that Shinjurou was up to something,
context: Huh?\Th-This place...\Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something, response:	but I never imagined that we had a traitor in our midst.
context: Th-This place...\Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst. response:	Botanmaru!
context: Oh!\Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru! response:	Botanmaru!
context: Botanmaru! Wake up! Wake up!\Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru! response:	You cursed weakling!
context: Here are the rats, Master Jirou.\To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru!\You cursed weakling! response:	Botanmaru! Botanmaru!
context: To think that these stinking brats got the better of me...\Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru! response:	Now talk! What are you after?!
context: Jirou...\I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?! response:	Raising your hand against such a small child...
context: I had my suspicions that Shinjurou was up to something,\but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child... response:	How can you even talk about becoming the fourth Soujoubou?!
context: but I never imagined that we had a traitor in our midst.\Botanmaru!\Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?! response:	The way to avoid pain is strength. That is all.
context: Botanmaru!\Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all. response:	His weakness is to blame.
context: Botanmaru!\You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame. response:	That is why he cannot fly even though he is already seven.
context: You cursed weakling!\Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven. response:	If you cannot live without someone's coddling,
context: Botanmaru! Botanmaru!\Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling, response:	death is the only solution.
context: Now talk! What are you after?!\Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution. response:	Why?
context: Raising your hand against such a small child...\How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution.\Why? response:	It doesn't matter how strong you are. No one can go through life all on their own.
context: How can you even talk about becoming the fourth Soujoubou?!\The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own. response:	Not even you.
context: The way to avoid pain is strength. That is all.\His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you. response:	It's not like you lived on the mountain by yourself without any help all these years.
context: His weakness is to blame.\That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years. response:	Boy! You dare talk as if you know?!
context: That is why he cannot fly even though he is already seven.\If you cannot live without someone's coddling,\death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?! response:	I do know.
context: If you cannot live without someone's coddling,\death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know. response:	Even about how you stole Soujoubou's soul from him.
context: death is the only solution.\Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him. response:	His soul?
context: Why?\It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him.\His soul? response:	What are you talking about?
context: It doesn't matter how strong you are. No one can go through life all on their own.\Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about? response:	What?
context: Not even you.\It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about?\What? response:	Now, now, Master Jirou.
context: It's not like you lived on the mountain by yourself without any help all these years.\Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about?\What?\Now, now, Master Jirou. response:	Enough with the interrogation.
context: Boy! You dare talk as if you know?!\I do know.\Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about?\What?\Now, now, Master Jirou.\Enough with the interrogation. response:	Leave the rest to Yatori here.
context: I do know.\Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about?\What?\Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here. response:	You can go deal with Master Shinjurou and the fox that you captured.
context: Even about how you stole Soujoubou's soul from him.\His soul?\What are you talking about?\What?\Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured. response:	Tomoe and Kurama?!
context: His soul?\What are you talking about?\What?\Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?! response:	And try not to let lustful thoughts sidetrack you this time.
context: What are you talking about?\What?\Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time. response:	Damn...
context: What?\Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn... response:	I will be counting on you!
context: Now, now, Master Jirou.\Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you! response:	The way he reacted...
context: Enough with the interrogation.\Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you!\The way he reacted... response:	It wasn't Jirou who extracted Soujoubou's soul?
context: Leave the rest to Yatori here.\You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul? response:	Then who did?
context: You can go deal with Master Shinjurou and the fox that you captured.\Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did? response:	Now...
context: Tomoe and Kurama?!\And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now... response:	I was certain the master's condition would never be discovered.
context: And try not to let lustful thoughts sidetrack you this time.\Damn...\I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now...\I was certain the master's condition would never be discovered. response:	I pegged you as a simple crow, but clearly, you had me fooled.
context: Damn...\I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled. response:	So you're the one who did it?!
context: I will be counting on you!\The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?! response:	Why?!
context: The way he reacted...\It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?! response:	Let me think.
context: It wasn't Jirou who extracted Soujoubou's soul?\Then who did?\Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?!\Let me think. response:	I suppose I could tell you before you die.
context: Then who did?\Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?!\Let me think.\I suppose I could tell you before you die. response:	Okay, so there's this guy I know who trusted me to get him an obedient army.
context: Now...\I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?!\Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army. response:	And Kurama here fit the bill to a T.
context: I was certain the master's condition would never be discovered.\I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?!\Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T. response:	As long as the boss gives the okay, the rest brainlessly follow his lead.
context: I pegged you as a simple crow, but clearly, you had me fooled.\So you're the one who did it?!\Why?!\Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead. response:	Closed Off
context: So you're the one who did it?!\Why?!\Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off response:	Closed Off
context: Why?!\Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off response:	A closed off and simple vertical society.
context: Let me think.\I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off\A closed off and simple vertical society. response:	Simple Vertical Society
context: I suppose I could tell you before you die.\Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off\A closed off and simple vertical society.\Simple Vertical Society response:	Simple Vertical Society
context: Okay, so there's this guy I know who trusted me to get him an obedient army.\And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off\A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society response:	Nothing could fit my needs better!
context: And Kurama here fit the bill to a T.\As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off\A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better! response:	Why, you! How did you do that to Master Soujoubou?!
context: As long as the boss gives the okay, the rest brainlessly follow his lead.\Closed Off\Closed Off\A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?! response:	How, you ask?
context: Closed Off\Closed Off\A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask? response:	It is a letter from your son.
context: Closed Off\A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son. response:	I was asked to avoid being seen and deliver this to you in person.
context: A closed off and simple vertical society.\Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person. response:	How you must have worried for your only son's safety!
context: Simple Vertical Society\Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety! response:	Yatori, was it?
context: Simple Vertical Society\Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it? response:	Oh, yes?
context: Nothing could fit my needs better!\Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes? response:	I consider all the crows of this mountain to be my children.
context: Why, you! How did you do that to Master Soujoubou?!\How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children. response:	I purposefully drew a distinction between them and my own son, Shinjurou...
context: How, you ask?\It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou... response:	but I treasure them all equally.
context: It is a letter from your son.\I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally. response:	Yes.
context: I was asked to avoid being seen and deliver this to you in person.\How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes. response:	He left himself completely open.
context: How you must have worried for your only son's safety!\Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes.\He left himself completely open. response:	Even I never imagined that such a cheap trick would bring him down.
context: Yatori, was it?\Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down. response:	You bastard!
context: Oh, yes?\I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard! response:	This is the part where we conclude our chitchat.
context: I consider all the crows of this mountain to be my children.\I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat. response:	I will tell Master Jirou that, having failed your mission, you all took your own lives.
context: I purposefully drew a distinction between them and my own son, Shinjurou...\but I treasure them all equally.\Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives. response:	M-My feet!
context: but I treasure them all equally.\Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet! response:	You will quietly die here...
context: Yes.\He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here... response:	Just try it.
context: He left himself completely open.\Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here...\Just try it. response:	I dare you!
context: Even I never imagined that such a cheap trick would bring him down.\You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here...\Just try it.\I dare you! response:	Evil deeds must not go unpunished!
context: You bastard!\This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here...\Just try it.\I dare you!\Evil deeds must not go unpunished! response:	Mamoru!
context: This is the part where we conclude our chitchat.\I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here...\Just try it.\I dare you!\Evil deeds must not go unpunished!\Mamoru! response:	Th-This is not happening!
context: I will tell Master Jirou that, having failed your mission, you all took your own lives.\M-My feet!\You will quietly die here...\Just try it.\I dare you!\Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening! response:	H-How can you be...
context: M-My feet!\You will quietly die here...\Just try it.\I dare you!\Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening!\H-How can you be... response:	Barrier against evil!
context: You will quietly die here...\Just try it.\I dare you!\Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening!\H-How can you be...\Barrier against evil! response:	I will get stronger.
context: Just try it.\I dare you!\Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening!\H-How can you be...\Barrier against evil!\I will get stronger. response:	Much stronger.
context: I dare you!\Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening!\H-How can you be...\Barrier against evil!\I will get stronger.\Much stronger. response:	I'm taller than the others, and my back and legs are sturdy,
context: Evil deeds must not go unpunished!\Mamoru!\Th-This is not happening!\H-How can you be...\Barrier against evil!\I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy, response:	so when I grow up, I'm sure I'll have the biggest wings of anyone.
context: Mamoru!\Th-This is not happening!\H-How can you be...\Barrier against evil!\I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone. response:	That's what the brothers said.
context: Th-This is not happening!\H-How can you be...\Barrier against evil!\I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said. response:	If I train even harder,
context: H-How can you be...\Barrier against evil!\I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder, response:	I might become number one.
context: Barrier against evil!\I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder,\I might become number one. response:	Jirou.
context: I will get stronger.\Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder,\I might become number one.\Jirou. response:	Jirou.
context: Much stronger.\I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder,\I might become number one.\Jirou.\Jirou. response:	Admirable of you to stay behind alone to train.
context: I'm taller than the others, and my back and legs are sturdy,\so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder,\I might become number one.\Jirou.\Jirou.\Admirable of you to stay behind alone to train. response:	Master Soujoubou!
context: so when I grow up, I'm sure I'll have the biggest wings of anyone.\That's what the brothers said.\If I train even harder,\I might become number one.\Jirou.\Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou! response:	I hear you won brilliantly for the first time in the sword-fighting competition yesterday.
context: That's what the brothers said.\If I train even harder,\I might become number one.\Jirou.\Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday. response:	My nose swells with pride. Just look at how big it is.
context: If I train even harder,\I might become number one.\Jirou.\Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is. response:	Just kidding.
context: I might become number one.\Jirou.\Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding. response:	You should not push yourself too hard and jeopardize your health, so go on back to your room for today.
context: Jirou.\Jirou.\Admirable of you to stay behind alone to train.\Master Soujoubou!\I hear you won brilliantly for the first time in the sword-fighting competition yesterday.\My nose swells with pride. Just look at how big it is.\Just kidding.\You should not push yourself too hard and jeopardize your health, so go on back to your room for today. response:	Yes, sir!
