context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: Why only Nodame is out of the photos?!!\Oi Nodame, will this be okay?\Is everybody perfectly included?\Perfectly!\Take it beautifully, OK?\Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style! response:	Vienna Phil...
context: Oi Nodame, will this be okay?\Is everybody perfectly included?\Perfectly!\Take it beautifully, OK?\Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil... response:	OK, I'll take it now!
context: Is everybody perfectly included?\Perfectly!\Take it beautifully, OK?\Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now! response:	Let's start practising now!
context: Perfectly!\Take it beautifully, OK?\Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now!\Let's start practising now! response:	Oi!!
context: Take it beautifully, OK?\Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now!\Let's start practising now!\Oi!! response:	You too, you have to practice!
context: Of course!\I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now!\Let's start practising now!\Oi!!\You too, you have to practice! response:	Ehh??
context: I'll take it now...\Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now!\Let's start practising now!\Oi!!\You too, you have to practice!\Ehh?? response:	Gyabo!!
context: Next, let's pose the Vienna Philharmonic style!\Vienna Phil...\OK, I'll take it now!\Let's start practising now!\Oi!!\You too, you have to practice!\Ehh??\Gyabo!! response:	Nodame...
context: Vienna Phil...\OK, I'll take it now!\Let's start practising now!\Oi!!\You too, you have to practice!\Ehh??\Gyabo!!\Nodame... response:	do your best!
context: OK, I'll take it now!\Let's start practising now!\Oi!!\You too, you have to practice!\Ehh??\Gyabo!!\Nodame...\do your best! response:	I'll be waiting for you in Paris!
context: Let's start practising now!\Oi!!\You too, you have to practice!\Ehh??\Gyabo!!\Nodame...\do your best!\I'll be waiting for you in Paris! response:	Paris?
context: Oi!!\You too, you have to practice!\Ehh??\Gyabo!!\Nodame...\do your best!\I'll be waiting for you in Paris!\Paris? response:	Sarasate
context: You too, you have to practice!\Ehh??\Gyabo!!\Nodame...\do your best!\I'll be waiting for you in Paris!\Paris?\Sarasate response:	A fantasy piece from Carmen
context: Ehh??\Gyabo!!\Nodame...\do your best!\I'll be waiting for you in Paris!\Paris?\Sarasate\A fantasy piece from Carmen response:	It was composed by putting together famous melodies from the opera Carmen.
context: Gyabo!!\Nodame...\do your best!\I'll be waiting for you in Paris!\Paris?\Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen. response:	It's a difficult piece that requires transcendent artmanship.
context: Nodame...\do your best!\I'll be waiting for you in Paris!\Paris?\Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship. response:	however..
context: do your best!\I'll be waiting for you in Paris!\Paris?\Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however.. response:	because it's Kiyora, I can entrust it to her with peace of mind.
context: I'll be waiting for you in Paris!\Paris?\Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind. response:	I want to make an orchestra, with Chiaki-kun
context: Paris?\Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun response:	Huh?
context: Sarasate\A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh? response:	Won't you make an orchestra with me, and perform together?
context: A fantasy piece from Carmen\It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together? response:	She made this orchestra together with me.
context: It was composed by putting together famous melodies from the opera Carmen.\It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me. response:	She created a place for me.
context: It's a difficult piece that requires transcendent artmanship.\however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me. response:	Nodame!
context: however..\because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me.\Nodame! response:	We really worried for you!!
context: because it's Kiyora, I can entrust it to her with peace of mind.\I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me.\Nodame!\We really worried for you!! response:	And what's that? Studying abroad?
context: I want to make an orchestra, with Chiaki-kun\Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me.\Nodame!\We really worried for you!!\And what's that? Studying abroad? response:	I was really surprised, you know!
context: Huh?\Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me.\Nodame!\We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know! response:	That's true!
context: Won't you make an orchestra with me, and perform together?\She made this orchestra together with me.\She created a place for me.\Nodame!\We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know!\That's true! response:	Despite always taking other people's lunch box!!
context: She made this orchestra together with me.\She created a place for me.\Nodame!\We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!! response:	This girl!!
context: She created a place for me.\Nodame!\We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!!\This girl!! response:	Nodame!!
context: Nodame!\We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!!\This girl!!\Nodame!! response:	Maki-chan!!
context: We really worried for you!!\And what's that? Studying abroad?\I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!!\This girl!!\Nodame!!\Maki-chan!! response:	Nodame, do your best, okay!!
context: And what's that? Studying abroad?\I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!!\This girl!!\Nodame!!\Maki-chan!!\Nodame, do your best, okay!! response:	Reina-chan!!
context: I was really surprised, you know!\That's true!\Despite always taking other people's lunch box!!\This girl!!\Nodame!!\Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!! response:	Noda-kun...
context: That's true!\Despite always taking other people's lunch box!!\This girl!!\Nodame!!\Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!!\Noda-kun... response:	well, various interesting happened, right?
context: Despite always taking other people's lunch box!!\This girl!!\Nodame!!\Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!!\Noda-kun...\well, various interesting happened, right? response:	No, various scary things happened!
context: This girl!!\Nodame!!\Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!!\Noda-kun...\well, various interesting happened, right?\No, various scary things happened! response:	I couldn't do anything for her.
context: Nodame!!\Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!!\Noda-kun...\well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her. response:	No. That Fart Exercise choreography was excellent!
context: Maki-chan!!\Nodame, do your best, okay!!\Reina-chan!!\Noda-kun...\well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent! response:	Moreover, whether you really couldn't do anything or not,
context: Nodame, do your best, okay!!\Reina-chan!!\Noda-kun...\well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not, response:	we don't know it yet, now.
context: Reina-chan!!\Noda-kun...\well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now. response:	We'll be able to know it perhaps 10 years later, or 20 years later...
context: Noda-kun...\well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later... response:	or perhaps even more than that...
context: well, various interesting happened, right?\No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that... response:	Yes, it's true...
context: No, various scary things happened!\I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true... response:	Suntory Hall Christmas Concert 2006 R.S Orchestra
context: I couldn't do anything for her.\No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra response:	Bravo!
context: No. That Fart Exercise choreography was excellent!\Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo! response:	Wonderful!
context: Moreover, whether you really couldn't do anything or not,\we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful! response:	As expected of Miki Kiyora!
context: we don't know it yet, now.\We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful!\As expected of Miki Kiyora! response:	No, the new members too!
context: We'll be able to know it perhaps 10 years later, or 20 years later...\or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful!\As expected of Miki Kiyora!\No, the new members too! response:	Yes, it's as Chiaki-kun said...
context: or perhaps even more than that...\Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful!\As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said... response:	This Oke is really evolving!!
context: Yes, it's true...\Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful!\As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!! response:	From now, we'll have 20 minutes break.
context: Suntory Hall Christmas Concert 2006 R.S Orchestra\Bravo!\Wonderful!\As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break. response:	Alright, the other piece will be...
context: Bravo!\Wonderful!\As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be... response:	Beethoven Symphony no 7!
context: Wonderful!\As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7! response:	This is the first piece you conducted, in S-Oke!
context: As expected of Miki Kiyora!\No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke! response:	This is the piece Stresemann said your conducting was no good!
context: No, the new members too!\Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good! response:	You failed! right?
context: Yes, it's as Chiaki-kun said...\This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right? response:	This is really the last, isn't it...
context: This Oke is really evolving!!\From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it... response:	Honestly, although I was mad at you all the time,
context: From now, we'll have 20 minutes break.\Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time, response:	but now it was a good memory.
context: Alright, the other piece will be...\Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory. response:	Had there were no Spartan way of practising,
context: Beethoven Symphony no 7!\This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising, response:	we wouldn't have been here now, would we?
context: This is the first piece you conducted, in S-Oke!\This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we? response:	Me too...
context: This is the piece Stresemann said your conducting was no good!\You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too... response:	I would've just taken over my family's bakery,
context: You failed! right?\This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery, response:	and would have forgotten about music...I think.
context: This is really the last, isn't it...\Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think. response:	I would've never realized that I loved music this much, and ended it then and there.
context: Honestly, although I was mad at you all the time,\but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there. response:	Us too...
context: but now it was a good memory.\Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too... response:	we thought that orchestra and professional debut was just a dream in a dream...
context: Had there were no Spartan way of practising,\we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream... response:	so we graduated while giving it all up.
context: we wouldn't have been here now, would we?\Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up. response:	Chiaki-Sama, even when you are abroad, we'll always support you,
context: Me too...\I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you, response:	please don't forget us, okay?
context: I would've just taken over my family's bakery,\and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay? response:	Okay.
context: and would have forgotten about music...I think.\I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay. response:	You'll be doing your best for us, right?
context: I would've never realized that I loved music this much, and ended it then and there.\Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay.\You'll be doing your best for us, right? response:	Me too, although I feel bad to my father in inaka... (=small town, village)
context: Us too...\we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village) response:	I will do my best for a little more here!
context: we thought that orchestra and professional debut was just a dream in a dream...\so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here! response:	Even after I marry, even after I have kids, I will keep doing music!
context: so we graduated while giving it all up.\Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music! response:	Please contact us when you return to Japan, okay?
context: Chiaki-Sama, even when you are abroad, we'll always support you,\please don't forget us, okay?\Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay? response:	Chiaki-Senpai,
context: please don't forget us, okay?\Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai, response:	definitely I'll continue playing Contrabass,
context: Okay.\You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass, response:	and definitely I'll enter Vienna Philharmonic,
context: You'll be doing your best for us, right?\Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic, response:	therefore please wait for me in Europe, okay?
context: Me too, although I feel bad to my father in inaka... (=small town, village)\I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay? response:	Chiaki-kun,
context: I will do my best for a little more here!\Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun, response:	Because it's you, I believe that even abroad, you will certainly succeed.
context: Even after I marry, even after I have kids, I will keep doing music!\Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed. response:	Let's meet again in spring!
context: Please contact us when you return to Japan, okay?\Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring! response:	Sure!
context: Chiaki-Senpai,\definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure! response:	Ah, be careful with your relationships with women,
context: definitely I'll continue playing Contrabass,\and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women, response:	because the ladies over there are quite passionate in many things, you know!
context: and definitely I'll enter Vienna Philharmonic,\therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know! response:	Please let me know when you make a professional debut,
context: therefore please wait for me in Europe, okay?\Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut, response:	you can consult with me concerning accounting matters.
context: Chiaki-kun,\Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters. response:	Really, it had been a while since I last met a stimulating friend like you.
context: Because it's you, I believe that even abroad, you will certainly succeed.\Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you. response:	Somehow it sounds like a graduation ceremony, doesn't it?
context: Let's meet again in spring!\Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it? response:	I love this orchestra
context: Sure!\Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra response:	I also love Matsuda-san (=the new conductor)
context: Ah, be careful with your relationships with women,\because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor) response:	But...
context: because the ladies over there are quite passionate in many things, you know!\Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor)\But... response:	I love Chiaki-kun...the BEST!
context: Please let me know when you make a professional debut,\you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST! response:	Chiaki-Sama!
context: you can consult with me concerning accounting matters.\Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST!\Chiaki-Sama! response:	Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)
context: Really, it had been a while since I last met a stimulating friend like you.\Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese) response:	and also...
context: Somehow it sounds like a graduation ceremony, doesn't it?\I love this orchestra\I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also... response:	sincerely, thank you for everything.
context: I love this orchestra\I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything. response:	I'll treasure those many memories in my heart...
context: I also love Matsuda-san (=the new conductor)\But...\I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart... response:	From Chiaki-Sama, today Okuyama Masumi will gra...
context: But...\I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra... response:	No, as I thought, I can't graduate from you!!!
context: I love Chiaki-kun...the BEST!\Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!! response:	Thanks!
context: Chiaki-Sama!\Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks! response:	I'm reaaally glad that I met Chiaki-kun.
context: Would you please pardon me, for my numerous impoliteness thus far. (he's using high and polite Japanese)\and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun. response:	No, it's for me to say..
context: and also...\sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say.. response:	Some day in the future..
context: sincerely, thank you for everything.\I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future.. response:	in order to be entrusted again as the Concert Master by Chiaki-kun,
context: I'll treasure those many memories in my heart...\From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun, response:	I'll grow to be better too.
context: From Chiaki-Sama, today Okuyama Masumi will gra...\No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too. response:	Let's do our best together.
context: No, as I thought, I can't graduate from you!!!\Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together. response:	Yup!
context: Thanks!\I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together.\Yup! response:	Definitely...
context: I'm reaaally glad that I met Chiaki-kun.\No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together.\Yup!\Definitely... response:	with these same members, let's do an Oke again!
