context: The Old Year response:	After all my matches were over for the year,
context: Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already? response:	- Hina, would you give Momo a bath? - Okay.
context: from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay. response:	I'll wash the dishes.
context: I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes. response:	And so, Kiriyama...
context: I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama... response:	We're going to use this space, so would you go upstairs?
context: But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs? response:	Use this space?
context: Well, thank you for dinner.\I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space? response:	Yes. This is the first time you've seen it,
context: I'll come again. Let's have another great year together.\Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it, response:	but the Kawamoto bath is...
context: Oh no, it's this late already?\- Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is... response:	Open the living room door and suddenly a bath!
context: - Hina, would you give Momo a bath? - Okay.\I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath! response:	What?
context: I'll wash the dishes.\And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What? response:	EEEk!
context: And so, Kiriyama...\We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What?\EEEk! response:	And no changing room!
context: We're going to use this space, so would you go upstairs?\Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What?\EEEk!\And no changing room! response:	Before, we didn't have a tub, so we went to a public bath.
context: Use this space?\Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What?\EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath. response:	But the family got bigger, so they made this bathroom addition to the yard.
context: Yes. This is the first time you've seen it,\but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What?\EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard. response:	We're all girls, and I'd like to add a changing room,
context: but the Kawamoto bath is...\Open the living room door and suddenly a bath!\What?\EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room, response:	but if we did that, it would take up more yard space and cost money.
context: Open the living room door and suddenly a bath!\What?\EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money. response:	Here
context: What?\EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here response:	But it's troublesome when a guest comes over.
context: EEEk!\And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over. response:	Sorry, Rei.
context: And no changing room!\Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over.\Sorry, Rei. response:	Don't look, Rei.
context: Before, we didn't have a tub, so we went to a public bath.\But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei. response:	Change of Clothes
context: But the family got bigger, so they made this bathroom addition to the yard.\We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei.\Change of Clothes response:	Bath towel
context: We're all girls, and I'd like to add a changing room,\but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei.\Change of Clothes\Bath towel response:	No, I apologize!
context: but if we did that, it would take up more yard space and cost money.\Here\But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei.\Change of Clothes\Bath towel\No, I apologize! response:	G-Goodnight...
context: Here\But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei.\Change of Clothes\Bath towel\No, I apologize!\G-Goodnight... response:	Goodnight!
context: But it's troublesome when a guest comes over.\Sorry, Rei.\Don't look, Rei.\Change of Clothes\Bath towel\No, I apologize!\G-Goodnight...\Goodnight! response:	Th-Th-That really surprised me.
context: Sorry, Rei.\Don't look, Rei.\Change of Clothes\Bath towel\No, I apologize!\G-Goodnight...\Goodnight!\Th-Th-That really surprised me. response:	I-I had no idea...
context: Don't look, Rei.\Change of Clothes\Bath towel\No, I apologize!\G-Goodnight...\Goodnight!\Th-Th-That really surprised me.\I-I had no idea... response:	What an unusual house.
context: Change of Clothes\Bath towel\No, I apologize!\G-Goodnight...\Goodnight!\Th-Th-That really surprised me.\I-I had no idea...\What an unusual house. response:	Alright...
context: Bath towel\No, I apologize!\G-Goodnight...\Goodnight!\Th-Th-That really surprised me.\I-I had no idea...\What an unusual house.\Alright... response:	I took the medicine...
context: No, I apologize!\G-Goodnight...\Goodnight!\Th-Th-That really surprised me.\I-I had no idea...\What an unusual house.\Alright...\I took the medicine... response:	This string is convenient.
context: G-Goodnight...\Goodnight!\Th-Th-That really surprised me.\I-I had no idea...\What an unusual house.\Alright...\I took the medicine...\This string is convenient. response:	It's kind of strange.
context: Goodnight!\Th-Th-That really surprised me.\I-I had no idea...\What an unusual house.\Alright...\I took the medicine...\This string is convenient.\It's kind of strange. response:	How can I sleep like it's normal at the house of a family I've only known for a little bit?
context: Th-Th-That really surprised me.\I-I had no idea...\What an unusual house.\Alright...\I took the medicine...\This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit? response:	Why do I feel so at peace when I'm here?
context: I-I had no idea...\What an unusual house.\Alright...\I took the medicine...\This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here? response:	Why did I have a dream about those days?
context: What an unusual house.\Alright...\I took the medicine...\This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days? response:	Why...
context: Alright...\I took the medicine...\This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why... response:	I see.
context: I took the medicine...\This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why...\I see. response:	That's what it is.
context: This string is convenient.\It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why...\I see.\That's what it is. response:	This old house...
context: It's kind of strange.\How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why...\I see.\That's what it is.\This old house... response:	had time, everyone, everything, even me,
context: How can I sleep like it's normal at the house of a family I've only known for a little bit?\Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why...\I see.\That's what it is.\This old house...\had time, everyone, everything, even me, response:	all gently embraced together, and then dozed away.
context: Why do I feel so at peace when I'm here?\Why did I have a dream about those days?\Why...\I see.\That's what it is.\This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away. response:	Then I fell asleep.
context: Why did I have a dream about those days?\Why...\I see.\That's what it is.\This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep. response:	It was the kind of deep, peaceful sleep that I hadn't had in such a long time.
context: Why...\I see.\That's what it is.\This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time. response:	The New Year
context: I see.\That's what it is.\This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year response:	Next Episode Preview
context: That's what it is.\This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview response:	Episode 12
context: This old house...\had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview\Episode 12 response:	Let's go get it, Kiriyama.
context: had time, everyone, everything, even me,\all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview\Episode 12\Let's go get it, Kiriyama. response:	I know this feeling.
context: all gently embraced together, and then dozed away.\Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview\Episode 12\Let's go get it, Kiriyama.\I know this feeling. response:	How much money am I saving from the food budget?
context: Then I fell asleep.\It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview\Episode 12\Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget? response:	Momo...
context: It was the kind of deep, peaceful sleep that I hadn't had in such a long time.\The New Year\Next Episode Preview\Episode 12\Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget?\Momo... response:	There's a match that I really need to win.
context: The New Year\Next Episode Preview\Episode 12\Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget?\Momo...\There's a match that I really need to win. response:	Rei, good luck!
context: Next Episode Preview\Episode 12\Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget?\Momo...\There's a match that I really need to win.\Rei, good luck! response:	I'm so busy! I can even borrow some cat paws!
context: Episode 12\Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget?\Momo...\There's a match that I really need to win.\Rei, good luck!\I'm so busy! I can even borrow some cat paws! response:	I'm just so busy!
context: Let's go get it, Kiriyama.\I know this feeling.\How much money am I saving from the food budget?\Momo...\There's a match that I really need to win.\Rei, good luck!\I'm so busy! I can even borrow some cat paws!\I'm just so busy! response:	I'll do it instead. Please watch the next episode of
context: I know this feeling.\How much money am I saving from the food budget?\Momo...\There's a match that I really need to win.\Rei, good luck!\I'm so busy! I can even borrow some cat paws!\I'm just so busy!\I'll do it instead. Please watch the next episode of response:	Busy, busy, busy!
context: How much money am I saving from the food budget?\Momo...\There's a match that I really need to win.\Rei, good luck!\I'm so busy! I can even borrow some cat paws!\I'm just so busy!\I'll do it instead. Please watch the next episode of\Busy, busy, busy! response:	March Comes in Like a Lion meow.
