context: Thanks for gathering here today. response:	I mean, this is our home...
context: It's not the other four, though.\It's the other three. Right, Miku?\Hey!\You came... did... you?\Sengoku Warlord Exam Problems\You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro response:	Uesugi Futaro
context: It's the other three. Right, Miku?\Hey!\You came... did... you?\Sengoku Warlord Exam Problems\You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro\Uesugi Futaro response:	Just maybe, I can do a little bit better, too.
context: Hey!\You came... did... you?\Sengoku Warlord Exam Problems\You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too. response:	Uesugi Futaro
context: You came... did... you?\Sengoku Warlord Exam Problems\You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro response:	So...
context: Sengoku Warlord Exam Problems\You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro\So... response:	You'd better take responsibility.
context: You put this idea in my head, Futaro.\That maybe...\Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro\So...\You'd better take responsibility. response:	I got this.
context: That maybe...\Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro\So...\You'd better take responsibility.\I got this. response:	Eureka
context: Uesugi Futaro\Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro\So...\You'd better take responsibility.\I got this.\Eureka response:	Is it Uesugi-san that you like?
context: Uesugi Futaro\Just maybe, I can do a little bit better, too.\Uesugi Futaro\So...\You'd better take responsibility.\I got this.\Eureka\Is it Uesugi-san that you like? response:	No way.
context: Just maybe, I can do a little bit better, too.\Uesugi Futaro\So...\You'd better take responsibility.\I got this.\Eureka\Is it Uesugi-san that you like?\No way. response:	Huh?
context: Uesugi Futaro\So...\You'd better take responsibility.\I got this.\Eureka\Is it Uesugi-san that you like?\No way.\Huh? response:	Next Time on The Quintessential Quintuplets
context: So...\You'd better take responsibility.\I got this.\Eureka\Is it Uesugi-san that you like?\No way.\Huh?\Next Time on The Quintessential Quintuplets response:	Quintuplet Trivia!
context: You'd better take responsibility.\I got this.\Eureka\Is it Uesugi-san that you like?\No way.\Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia! response:	Who has the best grades of the five of us?
context: I got this.\Eureka\Is it Uesugi-san that you like?\No way.\Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us? response:	Miku!
context: Eureka\Is it Uesugi-san that you like?\No way.\Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us?\Miku! response:	The brains of the quintuplets.
context: Is it Uesugi-san that you like?\No way.\Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us?\Miku!\The brains of the quintuplets. response:	The strategist.
context: No way.\Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us?\Miku!\The brains of the quintuplets.\The strategist. response:	What's a strategist?
context: Huh?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us?\Miku!\The brains of the quintuplets.\The strategist.\What's a strategist? response:	Someone who used their intellect to plan for Sengoku battles.
context: Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Who has the best grades of the five of us?\Miku!\The brains of the quintuplets.\The strategist.\What's a strategist?\Someone who used their intellect to plan for Sengoku battles. response:	She won't stop talking!
