context: The news was not of some severe situation response:	that would cause people to frown, or at all serious in nature.
context: But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink.\Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is. response:	It's worse than the spam mail I get from dating sites.
context: always stand staring at each other and things don't quite work out.\Let's drink.\Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites. response:	Oh, sorry.
context: Let's drink.\Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry. response:	It's okay.
context: Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay. response:	To be safe, I told everyone that it's your pet dog.
context: You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog. response:	I really am sorry. I keep causing you trouble.
context: I just sent her a secret message.\I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble. response:	If you had never gotten involved with me,
context: I'm getting all kinds of email\from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me, response:	you would likely have had a more peaceful life.
context: from people wanting to know what Hachiko is.\It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life. response:	It's okay. I'm doing this because I want to.
context: It's worse than the spam mail I get from dating sites.\Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to. response:	I guess I'm living in a story
context: Oh, sorry.\It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story response:	where I'm at the mercy of women named Nana.
context: It's okay.\To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana. response:	What story is that?
context: To be safe, I told everyone that it's your pet dog.\I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that? response:	The story of Nobuo!
context: I really am sorry. I keep causing you trouble.\If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo! response:	Then the name of the next woman appearing in that story will also be Nana.
context: If you had never gotten involved with me,\you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana. response:	Please spare me from that.
context: you would likely have had a more peaceful life.\It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that. response:	I'm sorry, but I can't erase Hachi from my story.
context: It's okay. I'm doing this because I want to.\I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story. response:	She's not likely to disappear from my story either.
context: I guess I'm living in a story\where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either. response:	But I'm probably long gone from Hachi's story.
context: where I'm at the mercy of women named Nana.\What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story. response:	Hey, Jun-chan, look. Such a beautiful moon.
context: What story is that?\The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon. response:	Putting that aside, are you planning on staying here?
context: The story of Nobuo!\Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here? response:	But it's not round. I wonder when the next full moon is.
context: Then the name of the next woman appearing in that story will also be Nana.\Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is. response:	If you're planning on staying over, I'll tell Kyosuke to stay at...
context: Please spare me from that.\I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at... response:	You know, Jun-chan, that night of the full moon
context: I'm sorry, but I can't erase Hachi from my story.\She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon response:	was probably the happiest moment of my life.
context: She's not likely to disappear from my story either.\But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life. response:	Which night?
context: But I'm probably long gone from Hachi's story.\Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night? response:	I felt that I had everything I wanted.
context: Hey, Jun-chan, look. Such a beautiful moon.\Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted. response:	My heart was filled with hopes and dreams,
context: Putting that aside, are you planning on staying here?\But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams, response:	and my future appeared to be shining brightly.
context: But it's not round. I wonder when the next full moon is.\If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly. response:	I don't think I'll ever be covered in such pure happiness again.
context: If you're planning on staying over, I'll tell Kyosuke to stay at...\You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again. response:	I thought I could do anything for Hachi.
context: You know, Jun-chan, that night of the full moon\was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi. response:	But in the end, when I was challenged,
context: was probably the happiest moment of my life.\Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged, response:	I couldn't do anything. I am pathetic.
context: Which night?\I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic. response:	She is really the worst kind of woman, so why can't I give her up?
context: I felt that I had everything I wanted.\My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up? response:	There's no need to give her up. There's still hope.
context: My heart was filled with hopes and dreams,\and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope. response:	Where?!
context: and my future appeared to be shining brightly.\I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?! response:	You just need to go along with my plan.
context: I don't think I'll ever be covered in such pure happiness again.\I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan. response:	What plan is that?
context: I thought I could do anything for Hachi.\But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan.\What plan is that? response:	The plan to get Hachiko back.
context: But in the end, when I was challenged,\I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back. response:	Once she's back in our yard, you can copulate with her again.
context: I couldn't do anything. I am pathetic.\She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again. response:	You're still talking about her as if she's a dog.
context: She is really the worst kind of woman, so why can't I give her up?\There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog. response:	Stop grumbling! If you're a man, fight!
context: There's no need to give her up. There's still hope.\Where?!\You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight! response:	I don't need you telling me. Sure I'll fight!
context: Where?!\You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight! response:	My plan is simple. Keep showing Hachi sweet dreams.
context: You just need to go along with my plan.\What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams. response:	We, BLAST, just have to keep appearing in Hachi's story
context: What plan is that?\The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story response:	as the really cool band.
context: The plan to get Hachiko back.\Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band. response:	NANA OSAKI
context: Once she's back in our yard, you can copulate with her again.\You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI response:	NANA OSAKI Then, eventually, she will return for sure.
context: You're still talking about her as if she's a dog.\Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure. response:	NANA OSAKI
context: Stop grumbling! If you're a man, fight!\I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI response:	NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her
context: I don't need you telling me. Sure I'll fight!\My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her response:	NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.
context: My plan is simple. Keep showing Hachi sweet dreams.\We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled. response:	NANA OSAKI
context: We, BLAST, just have to keep appearing in Hachi's story\as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI response:	CONTRACT
context: as the really cool band.\NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT response:	CONTRACT We plan to use all our company resources to promote you.
context: NANA OSAKI\NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you. response:	CONTRACT
context: NANA OSAKI Then, eventually, she will return for sure.\NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT response:	CONTRACT We have high hopes for you.
context: NANA OSAKI\NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you. response:	CONTRACT
context: NANA OSAKI That cold-hearted man who's always shoving the cruel reality onto her\NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you.\CONTRACT response:	CONTRACT Let's do our best together.
context: NANA OSAKI cannot bring happiness to a woman like Hachi who loves to be spoiled.\NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together. response:	Nana!
context: NANA OSAKI\CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together.\Nana! response:	We plan to hit number one with our first release.
context: CONTRACT\CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release. response:	We look forward to working with you.
context: CONTRACT We plan to use all our company resources to promote you.\CONTRACT\CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release.\We look forward to working with you. response:	Ren!
context: CONTRACT\CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release.\We look forward to working with you.\Ren! response:	Have a look.
context: CONTRACT We have high hopes for you.\CONTRACT\CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release.\We look forward to working with you.\Ren!\Have a look. response:	- Big boobs! - No, not the big boobs.
context: CONTRACT\CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release.\We look forward to working with you.\Ren!\Have a look.\- Big boobs! - No, not the big boobs. response:	Beautiful woman?
context: CONTRACT Let's do our best together.\Nana!\We plan to hit number one with our first release.\We look forward to working with you.\Ren!\Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman? response:	The title has no class but the content is just as bad.
context: Nana!\We plan to hit number one with our first release.\We look forward to working with you.\Ren!\Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad. response:	They probably instigated the party.
context: We plan to hit number one with our first release.\We look forward to working with you.\Ren!\Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party. response:	They must really like your woman.
context: We look forward to working with you.\Ren!\Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman. response:	Well, even I fell for her.
context: Ren!\Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman.\Well, even I fell for her. response:	And Gaia eagerly supports this. I have a bad feeling.
context: Have a look.\- Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling. response:	What?
context: - Big boobs! - No, not the big boobs.\Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What? response:	Are you returning this?
context: Beautiful woman?\The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this? response:	Nana?
context: The title has no class but the content is just as bad.\They probably instigated the party.\They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this?\Nana? response:	Long time no see Mr. Nakamura.
context: They probably instigated the party.\They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this?\Nana?\Long time no see Mr. Nakamura. response:	You weren't here when I came to rent it,
context: They must really like your woman.\Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this?\Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it, response:	so I thought you had quit.
context: Well, even I fell for her.\And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this?\Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit. response:	I'm glad to see you looking well.
context: And Gaia eagerly supports this. I have a bad feeling.\What?\Are you returning this?\Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well. response:	Did you come back because you missed me?
context: What?\Are you returning this?\Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me? response:	NANA REALLY HAS A THING FOR ME Did you come back because you missed me?
context: Are you returning this?\Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me? response:	NANA REALLY HAS A THING FOR ME
context: Nana?\Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME response:	NANA REALLY HAS A THING FOR ME Can you overlook my late fee?
context: Long time no see Mr. Nakamura.\You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee? response:	Sure.
context: You weren't here when I came to rent it,\so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure. response:	Lucky me!
context: so I thought you had quit.\I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me! response:	I'm feeling great today.
context: I'm glad to see you looking well.\Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me!\I'm feeling great today. response:	Maybe I'll drop by the beauty salon near the station.
context: Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station. response:	I wonder if it's still there.
context: NANA REALLY HAS A THING FOR ME Did you come back because you missed me?\NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there. response:	Hello, Miss Hachiko? BLAST's debut date has been decided!
context: NANA REALLY HAS A THING FOR ME\NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided! response:	Really?! When?!
context: NANA REALLY HAS A THING FOR ME Can you overlook my late fee?\Sure.\Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?! response:	Say, Mari.
context: Sure.\Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari. response:	When's the release date for our next single?
context: Lucky me!\I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari.\When's the release date for our next single? response:	October 31st.
context: I'm feeling great today.\Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari.\When's the release date for our next single?\October 31st. response:	BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER
context: Maybe I'll drop by the beauty salon near the station.\I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari.\When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER response:	Yes, yes.
context: I wonder if it's still there.\Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari.\When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes. response:	DIE NANA
context: Hello, Miss Hachiko? BLAST's debut date has been decided!\Really?! When?!\Say, Mari.\When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA response:	You know Hachi.
context: Really?! When?!\Say, Mari.\When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA\You know Hachi. response:	I can no longer be the hero in your story,
context: Say, Mari.\When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA\You know Hachi.\I can no longer be the hero in your story, response:	but the name of the heroine in my story is still Nana.
context: When's the release date for our next single?\October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA\You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana. response:	The super cute Nana. You.
context: October 31st.\BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA\You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You. response:	I can't count how many nights
context: BLACK STONES DEBUT SINGLE OCTOBER 31 (WEDNESDAY) FIRST PRESS EDITION INCLUDES POSTER AND STICKER\Yes, yes.\DIE NANA\You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights response:	I wished tomorrow would never come
context: Yes, yes.\DIE NANA\You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights\I wished tomorrow would never come response:	To live as I am without being fake
context: DIE NANA\You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake response:	What do I need
context: You know Hachi.\I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need response:	If I don't believe in myself, what can I believe in
context: I can no longer be the hero in your story,\but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in response:	The answer is too close to see
context: but the name of the heroine in my story is still Nana.\The super cute Nana. You.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see response:	Black tears are falling down
