context: Operation: Ares response:	Did you call for me?
context: Not everything turned out great.\Huh?\What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red! response:	Do whatever you can to avoid Code: Dead End!
context: Huh?\What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End! response:	Roger!
context: What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger! response:	Get the coolant!
context: The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant! response:	It's hot! I'm dying...
context: It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant!\It's hot! I'm dying... response:	Kitty, I'm sure you can take it.
context: The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it. response:	We'll be sure to save you!
context: The emergency hatch is broken!\Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you! response:	Okay! I'll hang in there!
context: Damn it! We're in Condition: Triple Red!\Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there! response:	This should do it!
context: Do whatever you can to avoid Code: Dead End!\Roger!\Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there!\This should do it! response:	Are you all right?
context: Roger!\Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there!\This should do it!\Are you all right? response:	Who could that be...?
context: Get the coolant!\It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there!\This should do it!\Are you all right?\Who could that be...? response:	Is it Master Siegfried? Master Guiliano?
context: It's hot! I'm dying...\Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there!\This should do it!\Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano? response:	Or could it be...
context: Kitty, I'm sure you can take it.\We'll be sure to save you!\Okay! I'll hang in there!\This should do it!\Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be... response:	Thank goodness!
context: We'll be sure to save you!\Okay! I'll hang in there!\This should do it!\Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness! response:	We did it, Bro!
context: Okay! I'll hang in there!\This should do it!\Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness!\We did it, Bro! response:	Thank you.
context: This should do it!\Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness!\We did it, Bro!\Thank you. response:	We successfully retrieved the data.
context: Are you all right?\Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness!\We did it, Bro!\Thank you.\We successfully retrieved the data. response:	Analyze it with all due haste.
context: Who could that be...?\Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness!\We did it, Bro!\Thank you.\We successfully retrieved the data.\Analyze it with all due haste. response:	Roger.
context: Is it Master Siegfried? Master Guiliano?\Or could it be...\Thank goodness!\We did it, Bro!\Thank you.\We successfully retrieved the data.\Analyze it with all due haste.\Roger. response:	If we knew where their gate was...
context: Or could it be...\Thank goodness!\We did it, Bro!\Thank you.\We successfully retrieved the data.\Analyze it with all due haste.\Roger.\If we knew where their gate was... response:	Secret Mission
