context: All of the various economic response:	powers are hastily preparing to launch their forces.
context: Izuru, please go to the bridge.\Huh?\You are on standby.\Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei? response:	Is something the matter?
context: Huh?\You are on standby.\Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei?\Is something the matter? response:	If it's about Izuru, he'll be fine.
context: You are on standby.\Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei?\Is something the matter?\If it's about Izuru, he'll be fine. response:	I'll make sure he doesn't get sent out.
context: Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei?\Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out. response:	Asagi...
context: You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei?\Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi... response:	I'll do my best to make sure he doesn't have to fight.
context: The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours.\Kei?\Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight. response:	You can count us in on that, too!
context: The designated time for launch will be in 12 hours.\Kei?\Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too! response:	All of us will do our best out there!
context: Kei?\Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there! response:	I will do the very best I possibly can.
context: Is something the matter?\If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can. response:	Ange...
context: If it's about Izuru, he'll be fine.\I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can.\Ange... response:	I'm counting on you, Ange.
context: I'll make sure he doesn't get sent out.\Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can.\Ange...\I'm counting on you, Ange. response:	Right!
context: Asagi...\I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can.\Ange...\I'm counting on you, Ange.\Right! response:	Guys, we've got to strive to become heroes!
context: I'll do my best to make sure he doesn't have to fight.\You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can.\Ange...\I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes! response:	And amazing enough to make Izuru green with envy!
context: You can count us in on that, too!\All of us will do our best out there!\I will do the very best I possibly can.\Ange...\I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy! response:	Asagi,
context: All of us will do our best out there!\I will do the very best I possibly can.\Ange...\I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi, response:	don't push yourself too hard.
context: I will do the very best I possibly can.\Ange...\I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard. response:	Right.
context: Ange...\I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard.\Right. response:	Make sure to take some antacids.
context: I'm counting on you, Ange.\Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard.\Right.\Make sure to take some antacids. response:	Actually, I don't need antacids anymore!
context: Right!\Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard.\Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore! response:	You still have the residual airs of a failure...
context: Guys, we've got to strive to become heroes!\And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard.\Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure... response:	True enough!
context: And amazing enough to make Izuru green with envy!\Asagi,\don't push yourself too hard.\Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough! response:	Seriously!
context: Asagi,\don't push yourself too hard.\Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough!\Seriously! response:	Shut up!
context: don't push yourself too hard.\Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough!\Seriously!\Shut up! response:	I am hereby transferring all authority of command
context: Right.\Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough!\Seriously!\Shut up!\I am hereby transferring all authority of command response:	over the current operation to the following individual,
context: Make sure to take some antacids.\Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough!\Seriously!\Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual, response:	Simon Gato of the MJP.
context: Actually, I don't need antacids anymore!\You still have the residual airs of a failure...\True enough!\Seriously!\Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP. response:	I am Simon Gato.
context: You still have the residual airs of a failure...\True enough!\Seriously!\Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato. response:	I will be issuing all commands from the Star Rose.
context: True enough!\Seriously!\Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose. response:	The Star Rose?!
context: Seriously!\Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?! response:	Operation: Heaven's Gate, activate!
context: Shut up!\I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate! response:	Cables, purge!
context: I am hereby transferring all authority of command\over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge! response:	The Star Rose will carry all of the fleets' ships!
context: over the current operation to the following individual,\Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships! response:	Captain Amane, it's from Supreme Commander Simon.
context: Simon Gato of the MJP.\I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon. response:	Upon retrieval of the fleets' vessels, I will take off.
context: I am Simon Gato.\I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off. response:	Sir, how are you navigating the Star Rose?
context: I will be issuing all commands from the Star Rose.\The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose? response:	The Star Rose's core is a
context: The Star Rose?!\Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose?\The Star Rose's core is a response:	refined version of the Wulgaru ship that Teoria used to fly here.
context: Operation: Heaven's Gate, activate!\Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose?\The Star Rose's core is a\refined version of the Wulgaru ship that Teoria used to fly here. response:	We will use the Star Rose as the energy source for the Straggle Laser.
context: Cables, purge!\The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose?\The Star Rose's core is a\refined version of the Wulgaru ship that Teoria used to fly here.\We will use the Star Rose as the energy source for the Straggle Laser. response:	Have the troops advance!
context: The Star Rose will carry all of the fleets' ships!\Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose?\The Star Rose's core is a\refined version of the Wulgaru ship that Teoria used to fly here.\We will use the Star Rose as the energy source for the Straggle Laser.\Have the troops advance! response:	Star Rose, blast off!
context: Captain Amane, it's from Supreme Commander Simon.\Upon retrieval of the fleets' vessels, I will take off.\Sir, how are you navigating the Star Rose?\The Star Rose's core is a\refined version of the Wulgaru ship that Teoria used to fly here.\We will use the Star Rose as the energy source for the Straggle Laser.\Have the troops advance!\Star Rose, blast off! response:	Operation: Heaven's Gate
