context: I'm doing great! They decided to serialize my manga! response:	Yes, Hattori-san just told us. Congratulations!
context: PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?!\This is our chance to fight!\Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now! response:	What's going on...
context: Color pages?!\Seriously?!\This is our chance to fight!\Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on... response:	Niizuma-kun and Akina-kun both agree...
context: Seriously?!\This is our chance to fight!\Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree... response:	Could they be getting married?
context: This is our chance to fight!\Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married? response:	Niizuma-kun and Akina-kun?
context: Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun? response:	The two of them as a couple... that's tough to buy.
context: Okay!\We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy. response:	So you want us to stop them?
context: We have to make our manga amazing for issue 26!\I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them? response:	I didn't say that.
context: I'll start working on the color pages now!\What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that. response:	Does Niizuma-kun agree?
context: What's going on...\Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree? response:	Honestly, it seems like Akina-kun pressured him into it.
context: Niizuma-kun and Akina-kun both agree...\Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it. response:	But Niizuma-kun seemed pretty sure about it afterward.
context: Could they be getting married?\Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward. response:	I see. Then there's no problem.
context: Niizuma-kun and Akina-kun?\The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem. response:	T-thank you!
context: The two of them as a couple... that's tough to buy.\So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you! response:	Takahama-san's new series is pretty interesting.
context: So you want us to stop them?\I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting. response:	Yeah, the courtroom battle idea really works as a shonen manga.
context: I didn't say that.\Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga. response:	Alright! Road Racer Giri!
context: Does Niizuma-kun agree?\Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri! response:	My champion idea...
context: Honestly, it seems like Akina-kun pressured him into it.\But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea... response:	I can win with this!
context: But Niizuma-kun seemed pretty sure about it afterward.\I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea...\I can win with this! response:	Fukuda-san is amazing...
context: I see. Then there's no problem.\T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea...\I can win with this!\Fukuda-san is amazing... response:	This is pretty impressive.
context: T-thank you!\Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea...\I can win with this!\Fukuda-san is amazing...\This is pretty impressive. response:	Takahama-san's representation of a courtroom is great!
context: Takahama-san's new series is pretty interesting.\Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea...\I can win with this!\Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great! response:	He must have studied hard.
context: Yeah, the courtroom battle idea really works as a shonen manga.\Alright! Road Racer Giri!\My champion idea...\I can win with this!\Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard. response:	Ally of Justice started in first place. But the second chapter really dropped.
context: Alright! Road Racer Giri!\My champion idea...\I can win with this!\Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped. response:	We really took it up a notch.
context: My champion idea...\I can win with this!\Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch. response:	With all these new serializations, NANDE!? could fall to 11th.
context: I can win with this!\Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th. response:	The wording at the end has the same feeling as +Natural.
context: Fukuda-san is amazing...\This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural. response:	Fukuda-san and Takahama-san really have a chance.
context: This is pretty impressive.\Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance. response:	Well, with all these new series starting up...
context: Takahama-san's representation of a courtroom is great!\He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up... response:	Whatever you think, there's only one thing to do.
context: He must have studied hard.\Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do. response:	That's right, we have to do it.
context: Ally of Justice started in first place. But the second chapter really dropped.\We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it. response:	We'll make the best manuscript yet!
context: We really took it up a notch.\With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet! response:	Hattori-san?
context: With all these new serializations, NANDE!? could fall to 11th.\The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san? response:	We've been had.
context: The wording at the end has the same feeling as +Natural.\Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san?\We've been had. response:	H-have a look.
context: Fukuda-san and Takahama-san really have a chance.\Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san?\We've been had.\H-have a look. response:	Something on the center page?
context: Well, with all these new series starting up...\Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san?\We've been had.\H-have a look.\Something on the center page? response:	It's +Natural.
context: Whatever you think, there's only one thing to do.\That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san?\We've been had.\H-have a look.\Something on the center page?\It's +Natural. response:	Eh?! +Natural...
context: That's right, we have to do it.\We'll make the best manuscript yet!\Hattori-san?\We've been had.\H-have a look.\Something on the center page?\It's +Natural.\Eh?! +Natural... response:	W-what is this?
context: We'll make the best manuscript yet!\Hattori-san?\We've been had.\H-have a look.\Something on the center page?\It's +Natural.\Eh?! +Natural...\W-what is this? response:	Why is Crow here...
context: Hattori-san?\We've been had.\H-have a look.\Something on the center page?\It's +Natural.\Eh?! +Natural...\W-what is this?\Why is Crow here... response:	When I struggle toward my dream
context: We've been had.\H-have a look.\Something on the center page?\It's +Natural.\Eh?! +Natural...\W-what is this?\Why is Crow here...\When I struggle toward my dream response:	Those are the moments I love the most
context: H-have a look.\Something on the center page?\It's +Natural.\Eh?! +Natural...\W-what is this?\Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most response:	I can feel our bond and will to fight
context: Something on the center page?\It's +Natural.\Eh?! +Natural...\W-what is this?\Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight response:	Our views overlap and electrify us
context: It's +Natural.\Eh?! +Natural...\W-what is this?\Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us response:	Let's improve ourselves, become what we should be
context: Eh?! +Natural...\W-what is this?\Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be response:	You can see the future in our path
context: W-what is this?\Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path response:	My comrades don't agree with me
context: Why is Crow here...\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me response:	Our pride clashes
context: When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes response:	I can't let it go, I'll follow my heart from now on
context: Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on response:	I'm prepared
context: I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared response:	I'll charge right in
context: Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in response:	Unstoppable Pride
context: Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride response:	There's no other choice, this is what I love and this is what I'll do
context: You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do response:	I don't know what tomorrow will bring
context: My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring response:	But I know once again (just to get by),
context: Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by), response:	We'll do our best
context: I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best response:	I know you're working hard, but is PCP ok?
context: I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\I know you're working hard, but is PCP ok? response:	Don't worry, Ashirogi-kun is always exceeding expectations.
context: I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\I know you're working hard, but is PCP ok?\Don't worry, Ashirogi-kun is always exceeding expectations. response:	I've outdone myself.
context: Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\I know you're working hard, but is PCP ok?\Don't worry, Ashirogi-kun is always exceeding expectations.\I've outdone myself. response:	Next Time: Last and Cipher
context: There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\I know you're working hard, but is PCP ok?\Don't worry, Ashirogi-kun is always exceeding expectations.\I've outdone myself.\Next Time: Last and Cipher response:	Think of a way to fulfill the dream.
