context: The old man's missing? response:	What happened here?
context: No, it's probably because, after Ana froze me,\you punished me with your own ability.\What shall we do?\I'll have to go.\You'll come with me, of course.\You want me to go?\This will be a long journey.\Invitation response:	You want to summon everyone so you can show off your power, huh?
context: you punished me with your own ability.\What shall we do?\I'll have to go.\You'll come with me, of course.\You want me to go?\This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh? response:	Sounds like that old man's...
context: What shall we do?\I'll have to go.\You'll come with me, of course.\You want me to go?\This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's... response:	Fine. Let's see...
context: I'll have to go.\You'll come with me, of course.\You want me to go?\This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see... response:	To the capitol.
context: You'll come with me, of course.\You want me to go?\This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see...\To the capitol. response:	Ana, what are you doing? Hurry up.
context: You want me to go?\This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up. response:	No. He just walked by.
context: This will be a long journey.\Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by. response:	What?
context: Invitation\You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by.\What? response:	Ana, Saizo, what are you doing?
context: You want to summon everyone so you can show off your power, huh?\Sounds like that old man's...\Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by.\What?\Ana, Saizo, what are you doing? response:	The party's getting started...
context: Sounds like that old man's...\Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by.\What?\Ana, Saizo, what are you doing?\The party's getting started... response:	Isanami, calm down and walk
context: Fine. Let's see...\To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by.\What?\Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk response:	Why is this hallway so slippery?!
context: To the capitol.\Ana, what are you doing? Hurry up.\No. He just walked by.\What?\Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk\Why is this hallway so slippery?! response:	I told you he seemed slimy.
context: Ana, what are you doing? Hurry up.\No. He just walked by.\What?\Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk\Why is this hallway so slippery?!\I told you he seemed slimy. response:	Seikai, wipe down the floor!
context: No. He just walked by.\What?\Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk\Why is this hallway so slippery?!\I told you he seemed slimy.\Seikai, wipe down the floor! response:	The next episode of Brave 10 is Sword and Fan.”
context: What?\Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk\Why is this hallway so slippery?!\I told you he seemed slimy.\Seikai, wipe down the floor!\The next episode of Brave 10 is Sword and Fan.” response:	Sword and Fan
context: Ana, Saizo, what are you doing?\The party's getting started...\Isanami, calm down and walk\Why is this hallway so slippery?!\I told you he seemed slimy.\Seikai, wipe down the floor!\The next episode of Brave 10 is Sword and Fan.”\Sword and Fan response:	Bring it on!
