context: TL Note: This is a pun on Souieba (being told that) and Souireba (dentures). response:	Pyramid-text: Guy forcing tributes Woman Guy who pays tribute Out of the question
context: It's just that I...\I wonder what it could be!\It's unusual for them to fall out!\Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover! response:	Hey Sempai, what are you saying?
context: I wonder what it could be!\It's unusual for them to fall out!\Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying? response:	It's just that I...
context: It's unusual for them to fall out!\Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I... response:	I'd love to hear the following words!
context: Isn't it?\The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words! response:	Vice president, even you?!
context: The two did come to school together.\Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words!\Vice president, even you?! response:	We're just kidding.
context: Maybe Daitetsu-kun stay over at Jin's house last night.\I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words!\Vice president, even you?!\We're just kidding. response:	Nagi-tan is there, so it's not like they were alone together.
context: I guess something must have happened during that time...\Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words!\Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together. response:	Even if they were alone together, that would be impossible!
context: Young boys! The two of them! Sleepover!\Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words!\Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible! response:	Can't we just ask them directly?
context: Hey Sempai, what are you saying?\It's just that I...\I'd love to hear the following words!\Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly? response:	But someone like me can't...
context: It's just that I...\I'd love to hear the following words!\Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly?\But someone like me can't... response:	I won't surrender Jin to you!
context: I'd love to hear the following words!\Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly?\But someone like me can't...\I won't surrender Jin to you! response:	A god does not approve of a man such as you!
context: Vice president, even you?!\We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly?\But someone like me can't...\I won't surrender Jin to you!\A god does not approve of a man such as you! response:	Huh?
context: We're just kidding.\Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly?\But someone like me can't...\I won't surrender Jin to you!\A god does not approve of a man such as you!\Huh? response:	Oh my.
context: Nagi-tan is there, so it's not like they were alone together.\Even if they were alone together, that would be impossible!\Can't we just ask them directly?\But someone like me can't...\I won't surrender Jin to you!\A god does not approve of a man such as you!\Huh?\Oh my. response:	Next time on Kannagi is... oops.
