context: Come on, bring it! response:	It went up!
context: They haven't stopped him at all.\Got it!\Chance ball!\Nice kill, Ohira!\Ohira!\Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go! response:	Shirabu-san, nice receive!
context: Got it!\Chance ball!\Nice kill, Ohira!\Ohira!\Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive! response:	He aimed right for the center.
context: Chance ball!\Nice kill, Ohira!\Ohira!\Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive!\He aimed right for the center. response:	Wakatoshi!
context: Nice kill, Ohira!\Ohira!\Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi! response:	Cage him in!
context: Ohira!\Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi!\Cage him in! response:	What's important is the block's width and timing!
context: Karasuno Shiratorizawa\Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi!\Cage him in!\What's important is the block's width and timing! response:	Imagine a wall!
context: Kawanishi, nice serve!\Here I go!\Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi!\Cage him in!\What's important is the block's width and timing!\Imagine a wall! response:	Here we go. Please take it slow.
context: Here I go!\Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi!\Cage him in!\What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow. response:	Ready...
context: Shirabu-san, nice receive!\He aimed right for the center.\Wakatoshi!\Cage him in!\What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow.\Ready... response:	Now!
context: He aimed right for the center.\Wakatoshi!\Cage him in!\What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow.\Ready...\Now! response:	And the destination where it breaks through...
context: Wakatoshi!\Cage him in!\What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow.\Ready...\Now!\And the destination where it breaks through... response:	is our super libero!
context: Cage him in!\What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow.\Ready...\Now!\And the destination where it breaks through...\is our super libero! response:	All their plays
context: What's important is the block's width and timing!\Imagine a wall!\Here we go. Please take it slow.\Ready...\Now!\And the destination where it breaks through...\is our super libero!\All their plays response:	are connected!
context: Imagine a wall!\Here we go. Please take it slow.\Ready...\Now!\And the destination where it breaks through...\is our super libero!\All their plays\are connected! response:	We're in the final part of this set...
context: Here we go. Please take it slow.\Ready...\Now!\And the destination where it breaks through...\is our super libero!\All their plays\are connected!\We're in the final part of this set... response:	They finally got this important receive up...
context: Ready...\Now!\And the destination where it breaks through...\is our super libero!\All their plays\are connected!\We're in the final part of this set...\They finally got this important receive up... response:	It's gotta be... over here!
context: Now!\And the destination where it breaks through...\is our super libero!\All their plays\are connected!\We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here! response:	Seriously?
context: And the destination where it breaks through...\is our super libero!\All their plays\are connected!\We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here!\Seriously? response:	All right!
context: is our super libero!\All their plays\are connected!\We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here!\Seriously?\All right! response:	Yeah!
context: All their plays\are connected!\We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here!\Seriously?\All right!\Yeah! response:	They finally got a clean one in.
context: are connected!\We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here!\Seriously?\All right!\Yeah!\They finally got a clean one in. response:	Total defense.
context: We're in the final part of this set...\They finally got this important receive up...\It's gotta be... over here!\Seriously?\All right!\Yeah!\They finally got a clean one in.\Total defense. response:	Now...
context: They finally got this important receive up...\It's gotta be... over here!\Seriously?\All right!\Yeah!\They finally got a clean one in.\Total defense.\Now... response:	Karasuno Shiratorizawa
context: It's gotta be... over here!\Seriously?\All right!\Yeah!\They finally got a clean one in.\Total defense.\Now...\Karasuno Shiratorizawa response:	It's finally begun!
context: Seriously?\All right!\Yeah!\They finally got a clean one in.\Total defense.\Now...\Karasuno Shiratorizawa\It's finally begun! response:	Keep on breaking them!
context: All right!\Yeah!\They finally got a clean one in.\Total defense.\Now...\Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them! response:	What, you say? Their hearts!
context: Yeah!\They finally got a clean one in.\Total defense.\Now...\Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them!\What, you say? Their hearts! response:	Keep on shattering them! What, you say?
context: They finally got a clean one in.\Total defense.\Now...\Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them!\What, you say? Their hearts!\Keep on shattering them! What, you say? response:	Their spirits, right?
context: Total defense.\Now...\Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them!\What, you say? Their hearts!\Keep on shattering them! What, you say?\Their spirits, right? response:	Nah, their will!
context: Now...\Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them!\What, you say? Their hearts!\Keep on shattering them! What, you say?\Their spirits, right?\Nah, their will! response:	They both mean the same thing!
context: Karasuno Shiratorizawa\It's finally begun!\Keep on breaking them!\What, you say? Their hearts!\Keep on shattering them! What, you say?\Their spirits, right?\Nah, their will!\They both mean the same thing! response:	Episode 04: The Halo Around the Moon
context: It's finally begun!\Keep on breaking them!\What, you say? Their hearts!\Keep on shattering them! What, you say?\Their spirits, right?\Nah, their will!\They both mean the same thing!\Episode 04: The Halo Around the Moon response:	Next time on Haikyu!! : The Halo Around the Moon.
