context: That day, my world was all white. response:	My hands and feet felt numb from the cold.
context: Somebody who can't help with big brother's fervent wish isn't his wife.\You can run faster than Ku but you don't do anything!\So you are not big brother's wife anymore!\Wow! It's the perfect star-filled sky for the escape!\Now everybody, let's go!\Right!\Tsukiumi... never came out...\Sahashi, we really owe you. response:	Don't worry about it.
context: You can run faster than Ku but you don't do anything!\So you are not big brother's wife anymore!\Wow! It's the perfect star-filled sky for the escape!\Now everybody, let's go!\Right!\Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it. response:	And... about what I said yesterday...
context: So you are not big brother's wife anymore!\Wow! It's the perfect star-filled sky for the escape!\Now everybody, let's go!\Right!\Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday... response:	For right now, the success of the plan is the top priority.
context: Wow! It's the perfect star-filled sky for the escape!\Now everybody, let's go!\Right!\Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority. response:	You're right.
context: Now everybody, let's go!\Right!\Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right. response:	Okay then, Operation: Escape from the Capital...
context: Right!\Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital... response:	Yo, baby girls! Get ready now!
context: Tsukiumi... never came out...\Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now! response:	This is renai no shinansho
context: Sahashi, we really owe you.\Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho response:	Don't let it go, aserazu so
context: Don't worry about it.\And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so response:	Without furaingu de show time
context: And... about what I said yesterday...\For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time response:	Get the funky beat!
context: For right now, the success of the plan is the top priority.\You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat! response:	Hayai mono gachi?
context: You're right.\Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat!\Hayai mono gachi? response:	Kono bayai wa kankei nai nai
context: Okay then, Operation: Escape from the Capital...\Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai response:	Nozomu tokoro yo
context: Yo, baby girls! Get ready now!\This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo response:	Soudatsusen boppatsu
context: This is renai no shinansho\Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu response:	Onna desu mono, maketerareya shinai nai
context: Don't let it go, aserazu so\Without furaingu de show time\Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai response:	Fukuramu kimochi
context: Without furaingu de show time\Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi response:	No mou daibouhatsu
context: Get the funky beat!\Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu response:	Dame yo, yuuwaku shicha
context: Hayai mono gachi?\Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha response:	Doite, kare no osoba
context: Kono bayai wa kankei nai nai\Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba response:	Watashi dokidoki natte ippai ippai
context: Nozomu tokoro yo\Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai response:	Naisho, nukekake shite
context: Soudatsusen boppatsu\Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite response:	Daiseikou, kare to futari
context: Onna desu mono, maketerareya shinai nai\Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari response:	Amaku mekurumeku night
context: Fukuramu kimochi\No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night response:	Honto wa ne, watashi dake wo
context: No mou daibouhatsu\Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo response:	Dakishimete hoshii no
context: Dame yo, yuuwaku shicha\Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no response:	Hitorijime mura mura
context: Doite, kare no osoba\Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura response:	Furagu tatechau no ari kashira?
context: Watashi dokidoki natte ippai ippai\Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira? response:	Yappari ne, yowaki, dou shiyou
context: Naisho, nukekake shite\Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou response:	Yasashisugite shou ga nai
context: Daiseikou, kare to futari\Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai response:	Sonna toko daisuki yo
context: Amaku mekurumeku night\Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo response:	Dakara watashitachi tsukushimasu
context: Honto wa ne, watashi dake wo\Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu response:	Dear Sweet Heart!
context: Dakishimete hoshii no\Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart! response:	I am happy I met Minato-san.
context: Hitorijime mura mura\Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart!\I am happy I met Minato-san. response:	Musubi-chan...
context: Furagu tatechau no ari kashira?\Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart!\I am happy I met Minato-san.\Musubi-chan... response:	I fight for Minato-san.
context: Yappari ne, yowaki, dou shiyou\Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart!\I am happy I met Minato-san.\Musubi-chan...\I fight for Minato-san. response:	No! That isn't... that isn't...
context: Yasashisugite shou ga nai\Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart!\I am happy I met Minato-san.\Musubi-chan...\I fight for Minato-san.\No! That isn't... that isn't... response:	Musubi-chan!
context: Sonna toko daisuki yo\Dakara watashitachi tsukushimasu\Dear Sweet Heart!\I am happy I met Minato-san.\Musubi-chan...\I fight for Minato-san.\No! That isn't... that isn't...\Musubi-chan! response:	Feather 11: The Sekirei Symbol Disappears Please favor us again next time...
