context: Once upon a time, there was a girl who loved flowers more than anyone. response:	She prayed every day for the whole town to be filled with beautiful flowers.
context: Now there's one less thing you don't know.\But would it have been better to stay ignorant?\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura? response:	Ahiru is? With who?
context: But would it have been better to stay ignorant?\I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who? response:	A feeling that gets across even when you don't speak it...
context: I am someone who is qualified to be a true prince, someone who loves everyone and is loved by everyone!\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it... response:	That's the mime for I love you!
context: I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you! response:	Crime and Punishment
context: I just can't believe that.\Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment response:	All you children who love stories, come gather around.
context: Because I get this feeling you're Rue-chan.\Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: Love only me. Regard all others with hatred.\When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: When they say at school that Ahiru goes well together and is lovey-dovey and it's good, what do they mean zura?\Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Ahiru is? With who?\A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: A feeling that gets across even when you don't speak it...\That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: That's the mime for I love you!\Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: Crime and Punishment\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
