context: Here he comes! response:	The one we've been waiting for!
context: I was someone special who had the power to protect the masses.\The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist... response:	Even if the Hero Association didn't exist...
context: The fact that I was a real hero fulfilled my spirit.\But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist... response:	There'd still be someone else to defeat the monsters.
context: But over time, I began to see reality a bit clearer.\There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters. response:	If anything, this man definitely doesn't seem like he'd need me to protect him.
context: There were creatures out there I couldn't defeat, no matter how much I struggled.\There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him. response:	That Max guy earlier had a little more oomph.
context: There were even nameless civilians out there that I couldn't defeat.\Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph. response:	Why do you just keep dodging? Why not attack?
context: Are pro heroes actually necessary?\I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack? response:	I wanted to at least confirm your abilities.
context: I find myself asking that a lot lately.\Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities. response:	Class A heroes get a pretty high salary, don't they?
context: Maybe even if I didn't exist...\Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they? response:	If someone at your level can do it, it might be a decent job.
context: Even if the Hero Association didn't exist...\There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job. response:	Just kidding. I'd just want the money.
context: There'd still be someone else to defeat the monsters.\If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money. response:	Why are you so strong?
context: If anything, this man definitely doesn't seem like he'd need me to protect him.\That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong? response:	You're frivolous and lack all ambition.
context: That Max guy earlier had a little more oomph.\Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition. response:	Maybe it's just pure talent.
context: Why do you just keep dodging? Why not attack?\I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent. response:	You really piss me off.
context: I wanted to at least confirm your abilities.\Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off. response:	When I was training, I'd just randomly spar with my master.
context: Class A heroes get a pretty high salary, don't they?\If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master. response:	But I haven't even trained the last couple of years.
context: If someone at your level can do it, it might be a decent job.\Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years. response:	Why do you bother being a hero? I mean, at your skill level...
context: Just kidding. I'd just want the money.\Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level... response:	Wh-What?!
context: Why are you so strong?\You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?! response:	There are many more powerful monsters lately.
context: You're frivolous and lack all ambition.\Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately. response:	Is there even a reason for you to try anymore?
context: Maybe it's just pure talent.\You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore? response:	Even if there weren't any heroes, the people who could survive would still survive.
context: You really piss me off.\When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive. response:	The weak are weeded out, whether we have monsters or not.
context: When I was training, I'd just randomly spar with my master.\But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not. response:	That's how nature works.
context: But I haven't even trained the last couple of years.\Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works. response:	So you're saying that we should just let the monsters kill people?!
context: Why do you bother being a hero? I mean, at your skill level...\Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?! response:	What's going on?!
context: Wh-What?!\There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?! response:	Is this part of the show?
context: There are many more powerful monsters lately.\Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show? response:	Monsters!
context: Is there even a reason for you to try anymore?\Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show?\Monsters! response:	Hero Association Hospital
context: Even if there weren't any heroes, the people who could survive would still survive.\The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show?\Monsters!\Hero Association Hospital response:	Inside the hospital?!
context: The weak are weeded out, whether we have monsters or not.\That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show?\Monsters!\Hero Association Hospital\Inside the hospital?! response:	We'll hold them back! Everyone, get to the roof!
context: That's how nature works.\So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show?\Monsters!\Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof! response:	Bottom of Foot
context: So you're saying that we should just let the monsters kill people?!\What's going on?!\Is this part of the show?\Monsters!\Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot response:	Despite that, we survive.
context: What's going on?!\Is this part of the show?\Monsters!\Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive. response:	What the hell does a monster want at a jail?
context: Is this part of the show?\Monsters!\Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail? response:	The boss escaped from jail to defeat some monsters!
context: Monsters!\Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters! response:	So Puri-Puri Prisoner isn't here?
context: Hero Association Hospital\Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here? response:	Oh, well.
context: Inside the hospital?!\We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well. response:	Who are you saying will survive?
context: We'll hold them back! Everyone, get to the roof!\Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive? response:	The strong.
context: Bottom of Foot\Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive?\The strong. response:	Super big
context: Despite that, we survive.\What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive?\The strong.\Super big response:	Big winner!!
context: What the hell does a monster want at a jail?\The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive?\The strong.\Super big\Big winner!! response:	What
context: The boss escaped from jail to defeat some monsters!\So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive?\The strong.\Super big\Big winner!!\What response:	This is what I'm talking about.
context: So Puri-Puri Prisoner isn't here?\Oh, well.\Who are you saying will survive?\The strong.\Super big\Big winner!!\What\This is what I'm talking about. response:	Sounds exciting out there.
context: Oh, well.\Who are you saying will survive?\The strong.\Super big\Big winner!!\What\This is what I'm talking about.\Sounds exciting out there. response:	Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?
context: Who are you saying will survive?\The strong.\Super big\Big winner!!\What\This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc? response:	Yes. We've lost some, but it appears that we still remain dominant.
context: The strong.\Super big\Big winner!!\What\This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant. response:	The Hero Association is panicking.
context: Super big\Big winner!!\What\This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking. response:	What is Goketsu doing?
context: Big winner!!\What\This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing? response:	It seems he's heading toward an event venue where
context: What\This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where response:	there's a martial arts tournament going on.
context: This is what I'm talking about.\Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where\there's a martial arts tournament going on. response:	So far, our big victories include Demon Cyborg, Metal Bat, and Metal Knight.
context: Sounds exciting out there.\Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where\there's a martial arts tournament going on.\So far, our big victories include Demon Cyborg, Metal Bat, and Metal Knight. response:	And we still have our main forces on standby.
context: Well, Gyoro-Gyoro, are the monsters we sent forth wreaking havoc?\Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where\there's a martial arts tournament going on.\So far, our big victories include Demon Cyborg, Metal Bat, and Metal Knight.\And we still have our main forces on standby. response:	Victory is certain for the Monster Association,
context: Yes. We've lost some, but it appears that we still remain dominant.\The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where\there's a martial arts tournament going on.\So far, our big victories include Demon Cyborg, Metal Bat, and Metal Knight.\And we still have our main forces on standby.\Victory is certain for the Monster Association, response:	Monster King Orochi.
context: The Hero Association is panicking.\What is Goketsu doing?\It seems he's heading toward an event venue where\there's a martial arts tournament going on.\So far, our big victories include Demon Cyborg, Metal Bat, and Metal Knight.\And we still have our main forces on standby.\Victory is certain for the Monster Association,\Monster King Orochi. response:	Class S Heroes
