context: May BLAST have their professional debut response:	May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.
context: You're the one who does the musical arrangements\for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great. response:	How do you manage to make
context: for all the Trapnest songs, right Takumi?\That's right.\And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make response:	such fancy music outta Ren's dark, twisted songs?
context: That's right.\And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs? response:	Excuse me for writing dark, twisted songs.
context: And you also produced your latest album, right?\Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs. response:	Shochu!
context: Well, yeah.\So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu! response:	But it's all possible because of Ren's songs.
context: So that's why it's so much better than the first one.\Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs. response:	How do you manage to get on everyone's good side?!
context: Oh? You're cute. How about for two hundred thousand yen?\But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?! response:	By the way, Takumi. Could you sign an autograph for me, too?
context: But you're seriously great.\How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too? response:	Sure. But do you have autograph paper?
context: How do you manage to make\such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper? response:	No I don't. Just give me one of those.
context: such fancy music outta Ren's dark, twisted songs?\Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those. response:	But these are for an important sponsor.
context: Excuse me for writing dark, twisted songs.\Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor. response:	Give me a break But these are for an important sponsor.
context: Shochu!\But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor. response:	Give me a break What do I care?
context: But it's all possible because of Ren's songs.\How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care? response:	Give me a break He's just like Nana.
context: How do you manage to get on everyone's good side?!\By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana. response:	He's just like Nana.
context: By the way, Takumi. Could you sign an autograph for me, too?\Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana. response:	To who?
context: Sure. But do you have autograph paper?\No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana.\To who? response:	- Hachiko. - Huh?
context: No I don't. Just give me one of those.\But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana.\To who?\- Hachiko. - Huh? response:	Ren, if it's for Hachi,
context: But these are for an important sponsor.\Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana.\To who?\- Hachiko. - Huh?\Ren, if it's for Hachi, response:	why not do the favor of having him write out her full name?
context: Give me a break But these are for an important sponsor.\Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana.\To who?\- Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name? response:	What is her full name?
context: Give me a break What do I care?\Give me a break He's just like Nana.\He's just like Nana.\To who?\- Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name? response:	Hachi...
context: Give me a break He's just like Nana.\He's just like Nana.\To who?\- Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name?\Hachi... response:	Where have I heard that before?
context: He's just like Nana.\To who?\- Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name?\Hachi...\Where have I heard that before? response:	You met her a while ago, Takumi.
context: To who?\- Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name?\Hachi...\Where have I heard that before?\You met her a while ago, Takumi. response:	At the mahjongg tournament. Nana Komatsu.
context: - Hachiko. - Huh?\Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name?\Hachi...\Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu. response:	Oh, yes, Nana.
context: Ren, if it's for Hachi,\why not do the favor of having him write out her full name?\What is her full name?\Hachi...\Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana. response:	She may no longer want an autograph from me.
context: why not do the favor of having him write out her full name?\What is her full name?\Hachi...\Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me. response:	Huh? But she said she wanted one.
context: What is her full name?\Hachi...\Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one. response:	- When? - The day of the mahjongg game.
context: Hachi...\Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game. response:	Then there's no need. We did it the next day.
context: Where have I heard that before?\You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day. response:	Where did Take go?
context: You met her a while ago, Takumi.\At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go? response:	Wait. What do you mean, You did it.?
context: At the mahjongg tournament. Nana Komatsu.\Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.? response:	What? You want me to explain it to you?
context: Oh, yes, Nana.\She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you? response:	She's my girl's best friend.
context: She may no longer want an autograph from me.\Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend. response:	It's one thing to fool around with women but you've gone too far.
context: Huh? But she said she wanted one.\- When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far. response:	Know your limits.
context: - When? - The day of the mahjongg game.\Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits. response:	Don't get all worked up.
context: Then there's no need. We did it the next day.\Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up. response:	It's not as if I forced myself onto her. She agreed to it.
context: Where did Take go?\Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it. response:	She was wagging her tail looking all pleased.
context: Wait. What do you mean, You did it.?\What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased. response:	Hey, you!
context: What? You want me to explain it to you?\She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you! response:	Take, it's nothing. They're just fooling around.
context: She's my girl's best friend.\It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around. response:	If you wanna fight, let's take it outside.
context: It's one thing to fool around with women but you've gone too far.\Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside. response:	It's a party for all the tour staff. Don't spoil it.
context: Know your limits.\Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it. response:	- Nobu... - I'm going home.
context: Don't get all worked up.\It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home. response:	You're going home?
context: It's not as if I forced myself onto her. She agreed to it.\She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home? response:	Takumi...
context: She was wagging her tail looking all pleased.\Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home?\Takumi... response:	Good job.
context: Hey, you!\Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home?\Takumi...\Good job. response:	The autographs!
context: Take, it's nothing. They're just fooling around.\If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home?\Takumi...\Good job.\The autographs! response:	Are you all right, Takumi?
context: If you wanna fight, let's take it outside.\It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home?\Takumi...\Good job.\The autographs!\Are you all right, Takumi? response:	Shin is so awesome!
context: It's a party for all the tour staff. Don't spoil it.\- Nobu... - I'm going home.\You're going home?\Takumi...\Good job.\The autographs!\Are you all right, Takumi?\Shin is so awesome! response:	Don't laugh, Reira.
context: - Nobu... - I'm going home.\You're going home?\Takumi...\Good job.\The autographs!\Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira. response:	Don't get all upset, Takumi. You're the one at fault.
context: You're going home?\Takumi...\Good job.\The autographs!\Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault. response:	I was just telling the truth! What's wrong with that?!
context: Takumi...\Good job.\The autographs!\Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?! response:	You think you did absolutely nothing wrong?
context: Good job.\The autographs!\Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong? response:	I'm going home too.
context: The autographs!\Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too. response:	You can't leave Takumi. We've still got the third party to go to.
context: Are you all right, Takumi?\Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to. response:	Continue without me.
context: Shin is so awesome!\Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me. response:	Takumi, the autographs...
context: Don't laugh, Reira.\Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs... response:	I'll redo them tomorrow and send them to you.
context: Don't get all upset, Takumi. You're the one at fault.\I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you. response:	Thanks to this, I just remembered something important that I must do.
context: I was just telling the truth! What's wrong with that?!\You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do. response:	What? A woman thing again?
context: You think you did absolutely nothing wrong?\I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again? response:	When you see Nobu tell him.
context: I'm going home too.\You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him. response:	He cannot reach my level even in a hundred years.
context: You can't leave Takumi. We've still got the third party to go to.\Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years. response:	He doesn't have the guts to make a woman his, so stop fussing.
context: Continue without me.\Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing. response:	I agree with the second half.
context: Takumi, the autographs...\I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half. response:	I'll give him the message.
context: I'll redo them tomorrow and send them to you.\Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message. response:	What is it at this time of night?
context: Thanks to this, I just remembered something important that I must do.\What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message.\What is it at this time of night? response:	Hey, Hachi...
context: What? A woman thing again?\When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message.\What is it at this time of night?\Hey, Hachi... response:	Hey, Nana...
context: When you see Nobu tell him.\He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message.\What is it at this time of night?\Hey, Hachi...\Hey, Nana... response:	Why are having a dream come true and achieving happiness
context: He cannot reach my level even in a hundred years.\He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message.\What is it at this time of night?\Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness response:	two different things?
context: He doesn't have the guts to make a woman his, so stop fussing.\I agree with the second half.\I'll give him the message.\What is it at this time of night?\Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness\two different things? response:	I still don't get it, even now.
context: I agree with the second half.\I'll give him the message.\What is it at this time of night?\Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now. response:	May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.
context: I'll give him the message.\What is it at this time of night?\Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now. response:	May Hachiko find a boyfriend. (long haired) Nana
context: What is it at this time of night?\Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana response:	I reached into the sky
context: Hey, Hachi...\Hey, Nana...\Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky response:	But I couldn't reach what I wanted
context: Hey, Nana...\Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: Why are having a dream come true and achieving happiness\two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: two different things?\I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: May Hachiko find a boyfriend. (long haired) Nana I still don't get it, even now.\May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: May Hachiko find a boyfriend. (long haired) Nana\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
