context: Spring... response:	A warm breeze stirs the cherry tree branches, and tickles my hair.
context: Of course I am! He saw my underwear again! That's twice, you know?\So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is... response:	I guess in a word, it's how he can be so sweet.
context: So unbelievable! I'm never gonna forgive that guy!\I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet. response:	What? What part of that guy is...
context: I hate myself for even thinking for a second that he was nice!\You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is... response:	Let's see. For example...
context: You don't have to go that far...\Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example... response:	He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.
context: Ichijo is a nice person, you know.\Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by. response:	He stops caring instantly what's going to happen to him, and...
context: Sure, maybe today you didn't happen to see it, but...\I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and... response:	If it makes that person happy, he can be happy right along with her from the bottom of his heart...
context: I don't get it. What makes you think he's a good person?\Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart... response:	That's the kind of person he is... Ichijo.
context: Well, I'm not sure that I can explain what it is...\I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo. response:	You know, I never asked you, what is it that you love about him?
context: I guess in a word, it's how he can be so sweet.\What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him? response:	So anyway! I really think you and Ichijo could get to be good friends.
context: What? What part of that guy is...\Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends. response:	Oh, I think I'll pass. I have no interest in him!
context: Let's see. For example...\He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him! response:	What?
context: He's always thinking about other people, and if he sees someone in trouble, he can't just stand by.\He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What? response:	Sister, you're just too nice... that's why you can't see him for what he is.
context: He stops caring instantly what's going to happen to him, and...\If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is. response:	Just as I thought, I'll have to protect you...
context: If it makes that person happy, he can be happy right along with her from the bottom of his heart...\That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you... response:	By the way, what was that you said on our way home about a prince?
context: That's the kind of person he is... Ichijo.\You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince? response:	Huh? Oh, right!
context: You know, I never asked you, what is it that you love about him?\So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right! response:	You'll never guess, Sister...
context: So anyway! I really think you and Ichijo could get to be good friends.\Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister... response:	Today, I had a fateful encounter, you see!
context: Oh, I think I'll pass. I have no interest in him!\What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see! response:	What?
context: What?\Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What? response:	Jeez. What a fiasco that was today.
context: Sister, you're just too nice... that's why you can't see him for what he is.\Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today. response:	Who knew she'd start to hate me that much... Guess I'm out of luck.
context: Just as I thought, I'll have to protect you...\By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck. response:	Today I'm just gonna take a bath and crash.
context: By the way, what was that you said on our way home about a prince?\Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash. response:	I wonder if I'll see that prince again? I wonder what grade he's in?
context: Huh? Oh, right!\You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in? response:	He was tall, so maybe he's a third-year?
context: You'll never guess, Sister...\Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year? response:	I wonder what kind of person he is...
context: Today, I had a fateful encounter, you see!\What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is... response:	Gentle, and someone you can count on...
context: What?\Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on... response:	Haru!
context: Jeez. What a fiasco that was today.\Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru! response:	I just hope I can find him somehow...
context: Who knew she'd start to hate me that much... Guess I'm out of luck.\Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow... response:	Hey, that reminds me! I almost forgot that I had a precious clue!
context: Today I'm just gonna take a bath and crash.\I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue! response:	Ouch, ouch, ouch...
context: I wonder if I'll see that prince again? I wonder what grade he's in?\He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch... response:	Another bruise there?
context: He was tall, so maybe he's a third-year?\I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there? response:	Damn that Chitoge, for God's sake... Huh?
context: I wonder what kind of person he is...\Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh? response:	Huh?
context: Gentle, and someone you can count on...\Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh? response:	- Whoa! What is it? Young Master?
context: Haru!\I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh?\- Whoa! What is it? Young Master? response:	- Young Master? What's the matter?
context: I just hope I can find him somehow...\Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh?\- Whoa! What is it? Young Master?\- Young Master? What's the matter? response:	- What's going on, Young Master? Young Master!
context: Hey, that reminds me! I almost forgot that I had a precious clue!\Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh?\- Whoa! What is it? Young Master?\- Young Master? What's the matter?\- What's going on, Young Master? Young Master! response:	My prince... I hope I can find you!
context: Ouch, ouch, ouch...\Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh?\- Whoa! What is it? Young Master?\- Young Master? What's the matter?\- What's going on, Young Master? Young Master!\My prince... I hope I can find you! response:	A few days later, Raku found out the truth.
context: Another bruise there?\Damn that Chitoge, for God's sake... Huh?\Huh?\- Whoa! What is it? Young Master?\- Young Master? What's the matter?\- What's going on, Young Master? Young Master!\My prince... I hope I can find you!\A few days later, Raku found out the truth. response:	H-Huh? Paula?
