context: Master. response:	I cleaned up the elixir cauldron chamber.
context: We can't tell them.\Why not?\Yan Zhi, have you wondered who should seal him back up\if Father breaks out of the bell?\It would have to be High God Mo Yuan.\The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again. response:	Think it through carefully.
context: Why not?\Yan Zhi, have you wondered who should seal him back up\if Father breaks out of the bell?\It would have to be High God Mo Yuan.\The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully. response:	If A-Yin knows that Mo Yuan has to seal the bell again
context: Yan Zhi, have you wondered who should seal him back up\if Father breaks out of the bell?\It would have to be High God Mo Yuan.\The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again response:	will she allow her mentor to be vanquished once again?
context: if Father breaks out of the bell?\It would have to be High God Mo Yuan.\The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again? response:	She will surely risk her life to protect her mentor.
context: It would have to be High God Mo Yuan.\The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor. response:	She is about to get married.
context: The Bell of the East Emperor was created by Mo Yuan himself.\70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married. response:	I don't want anything to happen to her.
context: 70,000 years ago, he had him sealed up in the bell.\He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her. response:	But...
context: He would have to do it again.\Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her.\But... response:	As the Ghost Lord for 70,000 years...
context: Think it through carefully.\If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years... response:	I've never done anything for the welfare of my people or the Ghost Realm.
context: If A-Yin knows that Mo Yuan has to seal the bell again\will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm. response:	All I've done is search the Mortal Realm for Si Yin.
context: will she allow her mentor to be vanquished once again?\She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin. response:	Now that it has come to this
context: She will surely risk her life to protect her mentor.\She is about to get married.\I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this response:	if I still don't do anything constructive
context: She is about to get married.\I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive response:	then I really am fatuous scum.
context: I don't want anything to happen to her.\But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum. response:	Li Jing...
context: But...\As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum.\Li Jing... response:	What are you talking about?
context: As the Ghost Lord for 70,000 years...\I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum.\Li Jing...\What are you talking about? response:	What are you doing, Li Jing?
context: I've never done anything for the welfare of my people or the Ghost Realm.\All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum.\Li Jing...\What are you talking about?\What are you doing, Li Jing? response:	Get up quickly!
context: All I've done is search the Mortal Realm for Si Yin.\Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum.\Li Jing...\What are you talking about?\What are you doing, Li Jing?\Get up quickly! response:	Yan Zhi...
context: Now that it has come to this\if I still don't do anything constructive\then I really am fatuous scum.\Li Jing...\What are you talking about?\What are you doing, Li Jing?\Get up quickly!\Yan Zhi... response:	I entrust my child to you.
context: if I still don't do anything constructive\then I really am fatuous scum.\Li Jing...\What are you talking about?\What are you doing, Li Jing?\Get up quickly!\Yan Zhi...\I entrust my child to you. response:	You'll soon become the last royal family member of Grand Ziming Palace.
context: then I really am fatuous scum.\Li Jing...\What are you talking about?\What are you doing, Li Jing?\Get up quickly!\Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace. response:	I also entrust the Ghost Realm to you.
context: Li Jing...\What are you talking about?\What are you doing, Li Jing?\Get up quickly!\Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you. response:	What are you going to do?
context: What are you talking about?\What are you doing, Li Jing?\Get up quickly!\Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do? response:	Fiery Qilin!
context: What are you doing, Li Jing?\Get up quickly!\Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin! response:	My Lord.
context: Get up quickly!\Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin!\My Lord. response:	Lock the princess up in the Arctic Lands.
context: Yan Zhi...\I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands. response:	She is not to be let out until the Bell of the East Emperor is resealed.
context: I entrust my child to you.\You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed. response:	No! I can't leave Your Lordship!
context: You'll soon become the last royal family member of Grand Ziming Palace.\I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship! response:	Behave!
context: I also entrust the Ghost Realm to you.\What are you going to do?\Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave! response:	I can't do this!
context: What are you going to do?\Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave!\I can't do this! response:	Do you not regard me as your lord?
context: Fiery Qilin!\My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave!\I can't do this!\Do you not regard me as your lord? response:	It isn't that...
context: My Lord.\Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave!\I can't do this!\Do you not regard me as your lord?\It isn't that... response:	You grew up with me.
context: Lock the princess up in the Arctic Lands.\She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave!\I can't do this!\Do you not regard me as your lord?\It isn't that...\You grew up with me. response:	Apart from my mother, you're my closest friend.
context: She is not to be let out until the Bell of the East Emperor is resealed.\No! I can't leave Your Lordship!\Behave!\I can't do this!\Do you not regard me as your lord?\It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend. response:	I can only be at ease if I entrust Yan Zhi and my child to you.
context: No! I can't leave Your Lordship!\Behave!\I can't do this!\Do you not regard me as your lord?\It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you. response:	Do you understand?
context: Behave!\I can't do this!\Do you not regard me as your lord?\It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand? response:	My Lord, can I come looking for you
context: I can't do this!\Do you not regard me as your lord?\It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you response:	after I take the princess to the Arctic Lands?
context: Do you not regard me as your lord?\It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands? response:	No.
context: It isn't that...\You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No. response:	After my death
context: You grew up with me.\Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No.\After my death response:	you must assist Yan Zhi in becoming the next Ghost Lord.
context: Apart from my mother, you're my closest friend.\I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord. response:	You're the luckiest magic beast in the Ghost Realm.
context: I can only be at ease if I entrust Yan Zhi and my child to you.\Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm. response:	With you by her side, no one will dare harm Yan Zhi.
context: Do you understand?\My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi. response:	Without my father...
context: My Lord, can I come looking for you\after I take the princess to the Arctic Lands?\No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father... response:	Without me...
context: after I take the princess to the Arctic Lands?\No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me... response:	They will have to acknowledge Yan Zhi as the Ghost Lord.
context: No.\After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord. response:	Take the princess away now!
context: After my death\you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now! response:	- Yes. - Yes.
context: you must assist Yan Zhi in becoming the next Ghost Lord.\You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes. response:	My Lord...
context: You're the luckiest magic beast in the Ghost Realm.\With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes.\My Lord... response:	Leave!
context: With you by her side, no one will dare harm Yan Zhi.\Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes.\My Lord...\Leave! response:	Seven days...
context: Without my father...\Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes.\My Lord...\Leave!\Seven days... response:	Just give me seven days.
context: Without me...\They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes.\My Lord...\Leave!\Seven days...\Just give me seven days. response:	I can surely pull this off.
context: They will have to acknowledge Yan Zhi as the Ghost Lord.\Take the princess away now!\- Yes. - Yes.\My Lord...\Leave!\Seven days...\Just give me seven days.\I can surely pull this off. response:	Ruoshui River has been churning so fiercely these days.
context: Take the princess away now!\- Yes. - Yes.\My Lord...\Leave!\Seven days...\Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days. response:	I wonder why.
context: - Yes. - Yes.\My Lord...\Leave!\Seven days...\Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why. response:	It can't be that simple.
context: My Lord...\Leave!\Seven days...\Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple. response:	We have to stay alert.
context: Leave!\Seven days...\Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple.\We have to stay alert. response:	More visitors are here!
context: Seven days...\Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple.\We have to stay alert.\More visitors are here! response:	Serve tea!
context: Just give me seven days.\I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple.\We have to stay alert.\More visitors are here!\Serve tea! response:	Zhe Yan, quit fooling around.
context: I can surely pull this off.\Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple.\We have to stay alert.\More visitors are here!\Serve tea!\Zhe Yan, quit fooling around. response:	I want to sleep for a while.
context: Ruoshui River has been churning so fiercely these days.\I wonder why.\It can't be that simple.\We have to stay alert.\More visitors are here!\Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while. response:	I didn't sleep well last night...
context: I wonder why.\It can't be that simple.\We have to stay alert.\More visitors are here!\Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night... response:	I'm here to discuss a serious matter.
context: It can't be that simple.\We have to stay alert.\More visitors are here!\Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter. response:	What serious matter could possibly bring you to Kunlun Mountain?
context: We have to stay alert.\More visitors are here!\Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain? response:	Mo Yuan has set the date for his meditation.
context: More visitors are here!\Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation. response:	It will be in seven days.
context: Serve tea!\Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days. response:	I have to make him some elixir.
context: Zhe Yan, quit fooling around.\I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir. response:	He is take it into meditation to assist with his recuperation.
context: I want to sleep for a while.\I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation. response:	You have to be my assistant for some time.
context: I didn't sleep well last night...\I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time. response:	Master is going into meditation?
context: I'm here to discuss a serious matter.\What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation? response:	He's been back for 11 days now.
context: What serious matter could possibly bring you to Kunlun Mountain?\Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now. response:	It's about time.
context: Mo Yuan has set the date for his meditation.\It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now.\It's about time. response:	After all, Ye Hua's cultivation is only enough to keep him awake.
context: It will be in seven days.\I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake. response:	He's still very frail.
context: I have to make him some elixir.\He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail. response:	He needs to recuperate properly.
context: He is take it into meditation to assist with his recuperation.\You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly. response:	You've been in either the pharmacy or the elixir chamber recently.
context: You have to be my assistant for some time.\Master is going into meditation?\He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently. response:	You might not even have had time to have some tea to quench your thirst.
context: Master is going into meditation?\He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst. response:	If you have nothing else to do today go and visit your mentor.
context: He's been back for 11 days now.\It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor. response:	I'm afraid that once he goes into meditation
context: It's about time.\After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation response:	it will be a long while until you meet again.
context: After all, Ye Hua's cultivation is only enough to keep him awake.\He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again. response:	How long is the meditation?
context: He's still very frail.\He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation? response:	It might be for a few days or weeks, it could even be 10 years.
context: He needs to recuperate properly.\You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years. response:	I'll visit Master now.
context: You've been in either the pharmacy or the elixir chamber recently.\You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now. response:	Master likes peach blossoms the most.
context: You might not even have had time to have some tea to quench your thirst.\If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most. response:	I'll go to the back of the mountain to get him some fresh ones for his room.
context: If you have nothing else to do today go and visit your mentor.\I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room. response:	I love listening to Master play the zither.
context: I'm afraid that once he goes into meditation\it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither. response:	It always calms me down.
context: it will be a long while until you meet again.\How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down. response:	Will I be able to become a high immortal sooner
context: How long is the meditation?\It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner response:	if I listen to Master play the zither more often?
context: It might be for a few days or weeks, it could even be 10 years.\I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often? response:	Master, I'll assist Zhe Yan in making the elixir tomorrow.
context: I'll visit Master now.\Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow. response:	I won't be able to see you for a while.
context: Master likes peach blossoms the most.\I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while. response:	I'm replacing the peach blossoms in your room with fresh ones today.
context: I'll go to the back of the mountain to get him some fresh ones for his room.\I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today. response:	Peach Blossoms go bad in a day.
context: I love listening to Master play the zither.\It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day. response:	I've asked Sixteenth to replace them for you daily.
context: It always calms me down.\Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily. response:	You came here tonight just for that?
context: Will I be able to become a high immortal sooner\if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that? response:	Master, since you returned to Kunlun Mountain
context: if I listen to Master play the zither more often?\Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain response:	you've been so busy every day that I haven't had a chance to chat with you.
context: Master, I'll assist Zhe Yan in making the elixir tomorrow.\I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you. response:	I heard from Zhe Yan that you're going into meditation soon.
context: I won't be able to see you for a while.\I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon. response:	It might take you weeks or even years.
context: I'm replacing the peach blossoms in your room with fresh ones today.\Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years. response:	So, I'm here to visit you.
context: Peach Blossoms go bad in a day.\I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you. response:	Did I disturb you from playing the zither?
context: I've asked Sixteenth to replace them for you daily.\You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither? response:	No.
context: You came here tonight just for that?\Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither?\No. response:	I remember when I first came to Kunlun Mountain
context: Master, since you returned to Kunlun Mountain\you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain response:	I was still very immature then.
context: you've been so busy every day that I haven't had a chance to chat with you.\I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain\I was still very immature then. response:	When I learned that you play the zither very well
context: I heard from Zhe Yan that you're going into meditation soon.\It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well response:	I pestered you for a tune every day.
context: It might take you weeks or even years.\So, I'm here to visit you.\Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day. response:	Do you remember that?
context: So, I'm here to visit you.\Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that? response:	I do.
context: Did I disturb you from playing the zither?\No.\I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that?\I do. response:	Speaking of which, Ye Hua has never played for me.
context: No.\I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me. response:	Does Ye Hua treat you well?
