context: We're going to be third-years starting next week. response:	We're the most senior people at school.
context: Ichika.\It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though. response:	It's too bitter.
context: It's almost fishy how often I bump into you on the way to school.\Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter. response:	I-I'll have it, then.
context: Huh? Oh...\Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter.\I-I'll have it, then. response:	Yum.
context: Aren't the other girls with you?\I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter.\I-I'll have it, then.\Yum. response:	Let's go, before we're late.
context: I came to buy this. It's just a coincidence that I ran into you.\Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter.\I-I'll have it, then.\Yum.\Let's go, before we're late. response:	I blew it.
context: Oh, this is for you.\You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter.\I-I'll have it, then.\Yum.\Let's go, before we're late.\I blew it. response:	The offering plan didn't work.
context: You got it for me when you didn't know you'd run into me?\I can't drink coffee, though.\It's too bitter.\I-I'll have it, then.\Yum.\Let's go, before we're late.\I blew it.\The offering plan didn't work. response:	I could never go for a direct attack like Nino, though.
context: I can't drink coffee, though.\It's too bitter.\I-I'll have it, then.\Yum.\Let's go, before we're late.\I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though. response:	But I don't ever want to give up this position.
context: It's too bitter.\I-I'll have it, then.\Yum.\Let's go, before we're late.\I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position. response:	Did you always wear glasses?
context: I-I'll have it, then.\Yum.\Let's go, before we're late.\I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses? response:	You never noticed?
context: Yum.\Let's go, before we're late.\I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed? response:	You sure are dense.
context: Let's go, before we're late.\I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed?\You sure are dense. response:	Well?
context: I blew it.\The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed?\You sure are dense.\Well? response:	Do I look a little smarter?
context: The offering plan didn't work.\I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed?\You sure are dense.\Well?\Do I look a little smarter? response:	It's supposed to be a disguise, actually.
context: I could never go for a direct attack like Nino, though.\But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed?\You sure are dense.\Well?\Do I look a little smarter?\It's supposed to be a disguise, actually. response:	A disguise?
context: But I don't ever want to give up this position.\Did you always wear glasses?\You never noticed?\You sure are dense.\Well?\Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise? response:	There was a screening yesterday for the movie I was in.
context: Did you always wear glasses?\You never noticed?\You sure are dense.\Well?\Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in. response:	It got a decent amount of attention on TV and stuff.
context: You never noticed?\You sure are dense.\Well?\Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff. response:	Remember? It's that movie from way back.
context: You sure are dense.\Well?\Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back. response:	You were disguising yourself so people won't talk to you?
context: Well?\Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you? response:	How very Hollywood!
context: Do I look a little smarter?\It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood! response:	Hey!
context: It's supposed to be a disguise, actually.\A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey! response:	You're embarrassing me! Stop it!
context: A disguise?\There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey!\You're embarrassing me! Stop it! response:	You're all masters of disguise, aren't you?
context: There was a screening yesterday for the movie I was in.\It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you? response:	Oh, I like that.
context: It got a decent amount of attention on TV and stuff.\Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that. response:	We keep all this on us for these kinds of occasions.
context: Remember? It's that movie from way back.\You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions. response:	I could probably pull off Yotsuba or Miku right away.
context: You were disguising yourself so people won't talk to you?\How very Hollywood!\Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away. response:	Oh, I could do Nino.
context: How very Hollywood!\Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino. response:	Maybe I shouldn't. You wouldn't be able to tell me apart.
context: Hey!\You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart. response:	I wish you wouldn't underestimate me.
context: You're embarrassing me! Stop it!\You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me. response:	Just the other day, I managed to see through Miku's disguise without any hints.
context: You're all masters of disguise, aren't you?\Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints. response:	Is that...
context: Oh, I like that.\We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that... response:	Huh?
context: We keep all this on us for these kinds of occasions.\I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh? response:	Aren't they your sisters?
context: I could probably pull off Yotsuba or Miku right away.\Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh?\Aren't they your sisters? response:	I'll show you just how wrong you are.
context: Oh, I could do Nino.\Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh?\Aren't they your sisters?\I'll show you just how wrong you are. response:	Come on, Itsuki. She's eating again.
context: Maybe I shouldn't. You wouldn't be able to tell me apart.\I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh?\Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again. response:	Yotsuba's so loud.
context: I wish you wouldn't underestimate me.\Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh?\Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud. response:	Don't.
context: Just the other day, I managed to see through Miku's disguise without any hints.\Is that...\Huh?\Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't. response:	I was shocked when Nino came to work at my shop,
context: Is that...\Huh?\Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop, response:	but I was even more shocked hearing Miku is working at the bakery across the street.
context: Huh?\Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street. response:	Please, stop.
context: Aren't they your sisters?\I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop. response:	My boss was happy that our rival business had suddenly lost business.
context: I'll show you just how wrong you are.\Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business. response:	Please don't talk about the other girls.
context: Come on, Itsuki. She's eating again.\Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls. response:	Wait.
context: Yotsuba's so loud.\Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait. response:	Nobody else.
context: Don't.\I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait.\Nobody else. response:	I want you to keep your eyes on me alone.
context: I was shocked when Nino came to work at my shop,\but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait.\Nobody else.\I want you to keep your eyes on me alone. response:	Hey...
context: but I was even more shocked hearing Miku is working at the bakery across the street.\Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait.\Nobody else.\I want you to keep your eyes on me alone.\Hey... response:	Let's skip class together.
context: Please, stop.\My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait.\Nobody else.\I want you to keep your eyes on me alone.\Hey...\Let's skip class together. response:	No way.
context: My boss was happy that our rival business had suddenly lost business.\Please don't talk about the other girls.\Wait.\Nobody else.\I want you to keep your eyes on me alone.\Hey...\Let's skip class together.\No way. response:	Why not?! Just a little!
context: Please don't talk about the other girls.\Wait.\Nobody else.\I want you to keep your eyes on me alone.\Hey...\Let's skip class together.\No way.\Why not?! Just a little! response:	That's crazy!
context: Wait.\Nobody else.\I want you to keep your eyes on me alone.\Hey...\Let's skip class together.\No way.\Why not?! Just a little!\That's crazy! response:	We're going to be late thanks to your whining!
context: Nobody else.\I want you to keep your eyes on me alone.\Hey...\Let's skip class together.\No way.\Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining! response:	Jeez, you're so proper, Futaro-kun.
context: I want you to keep your eyes on me alone.\Hey...\Let's skip class together.\No way.\Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun. response:	You already skip tutoring sessions enough as it is.
context: Hey...\Let's skip class together.\No way.\Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is. response:	Get your act together!
context: Let's skip class together.\No way.\Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together! response:	Ur gh
context: No way.\Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh response:	Skip?
context: Why not?! Just a little!\That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh\Skip? response:	I've been working, you know.
context: That's crazy!\We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh\Skip?\I've been working, you know. response:	We barely made it.
context: We're going to be late thanks to your whining!\Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh\Skip?\I've been working, you know.\We barely made it. response:	Things just aren't working out.
context: Jeez, you're so proper, Futaro-kun.\You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh\Skip?\I've been working, you know.\We barely made it.\Things just aren't working out. response:	I saw the news this morning, Ichika-san!
context: You already skip tutoring sessions enough as it is.\Get your act together!\Ur gh\Skip?\I've been working, you know.\We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san! response:	Are you actually an actress?!
context: Get your act together!\Ur gh\Skip?\I've been working, you know.\We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?! response:	I'm so surprised.
context: Ur gh\Skip?\I've been working, you know.\We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised. response:	I never knew we had a star in our class.
context: Skip?\I've been working, you know.\We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class. response:	Was it such a big movie?
context: I've been working, you know.\We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie? response:	Y-Yeah.
context: We barely made it.\Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah. response:	Not that I care.
context: Things just aren't working out.\I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah.\Not that I care. response:	Good on you for clearing that audition.
context: I saw the news this morning, Ichika-san!\Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah.\Not that I care.\Good on you for clearing that audition. response:	You're a good liar now.
context: Are you actually an actress?!\I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah.\Not that I care.\Good on you for clearing that audition.\You're a good liar now. response:	Is it bad that I'm so simple?
context: I'm so surprised.\I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah.\Not that I care.\Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple? response:	You paid attention to me and remembered...
context: I never knew we had a star in our class.\Was it such a big movie?\Y-Yeah.\Not that I care.\Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered... response:	That fact alone touches me more than any of our classmates' praise.
context: Was it such a big movie?\Y-Yeah.\Not that I care.\Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise. response:	Hey, Ichika.
context: Y-Yeah.\Not that I care.\Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika. response:	I'll see you at the library.
context: Not that I care.\Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library. response:	I'm coming.
context: Good on you for clearing that audition.\You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library.\I'm coming. response:	But I want to talk to you more.
context: You're a good liar now.\Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library.\I'm coming.\But I want to talk to you more. response:	Just a little longer.
context: Is it bad that I'm so simple?\You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library.\I'm coming.\But I want to talk to you more.\Just a little longer. response:	Sorry, I have a study group.
context: You paid attention to me and remembered...\That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library.\I'm coming.\But I want to talk to you more.\Just a little longer.\Sorry, I have a study group. response:	Huh? Where did Ichika-chan go?
context: That fact alone touches me more than any of our classmates' praise.\Hey, Ichika.\I'll see you at the library.\I'm coming.\But I want to talk to you more.\Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go? response:	Sorry.
context: Hey, Ichika.\I'll see you at the library.\I'm coming.\But I want to talk to you more.\Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry. response:	You're still here?
context: I'll see you at the library.\I'm coming.\But I want to talk to you more.\Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry.\You're still here? response:	Let's go, Miku.
context: I'm coming.\But I want to talk to you more.\Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry.\You're still here?\Let's go, Miku. response:	Sorry, it's me...
context: But I want to talk to you more.\Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry.\You're still here?\Let's go, Miku.\Sorry, it's me... response:	It's already releasing, huh? Time flies.
context: Just a little longer.\Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry.\You're still here?\Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies. response:	Huh? What?
context: Sorry, I have a study group.\Huh? Where did Ichika-chan go?\Sorry.\You're still here?\Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What? response:	Ichika's movie.
context: Huh? Where did Ichika-chan go?\Sorry.\You're still here?\Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie. response:	You were the one who told me about it yesterday.
context: Sorry.\You're still here?\Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie.\You were the one who told me about it yesterday. response:	I see.
context: You're still here?\Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie.\You were the one who told me about it yesterday.\I see. response:	Miku did.
context: Let's go, Miku.\Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie.\You were the one who told me about it yesterday.\I see.\Miku did. response:	A lot's happened since then.
context: Sorry, it's me...\It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie.\You were the one who told me about it yesterday.\I see.\Miku did.\A lot's happened since then. response:	Not just with me, but probably with the others, too.
context: It's already releasing, huh? Time flies.\Huh? What?\Ichika's movie.\You were the one who told me about it yesterday.\I see.\Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too. response:	I guess I was never going to be special.
context: Huh? What?\Ichika's movie.\You were the one who told me about it yesterday.\I see.\Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special. response:	Do as you wish.
context: Ichika's movie.\You were the one who told me about it yesterday.\I see.\Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish. response:	I'm going to win.
context: You were the one who told me about it yesterday.\I see.\Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish.\I'm going to win. response:	I'd walk over them to get with him.
context: I see.\Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish.\I'm going to win.\I'd walk over them to get with him. response:	I don't want you to hold back.
context: Miku did.\A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish.\I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back. response:	I want you to do what you want to do.
context: A lot's happened since then.\Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish.\I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do. response:	Futaro-k
context: Not just with me, but probably with the others, too.\I guess I was never going to be special.\Do as you wish.\I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do.\Futaro-k response:	Futaro.
context: I guess I was never going to be special.\Do as you wish.\I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do.\Futaro-k\Futaro. response:	Yes?
context: Do as you wish.\I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do.\Futaro-k\Futaro.\Yes? response:	Futaro, can I tell you something?
context: I'm going to win.\I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do.\Futaro-k\Futaro.\Yes?\Futaro, can I tell you something? response:	Ichika likes you.
context: I'd walk over them to get with him.\I don't want you to hold back.\I want you to do what you want to do.\Futaro-k\Futaro.\Yes?\Futaro, can I tell you something?\Ichika likes you. response:	I think you'd look good together.
context: I don't want you to hold back.\I want you to do what you want to do.\Futaro-k\Futaro.\Yes?\Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together. response:	I'm rooting for you two.
context: I want you to do what you want to do.\Futaro-k\Futaro.\Yes?\Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together.\I'm rooting for you two. response:	You're not serious, right?
context: Futaro-k\Futaro.\Yes?\Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together.\I'm rooting for you two.\You're not serious, right? response:	Oh, I'm very serious.
context: Futaro.\Yes?\Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together.\I'm rooting for you two.\You're not serious, right?\Oh, I'm very serious. response:	Episode 10
context: Yes?\Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together.\I'm rooting for you two.\You're not serious, right?\Oh, I'm very serious.\Episode 10 response:	Five Cranes in Return
context: Futaro, can I tell you something?\Ichika likes you.\I think you'd look good together.\I'm rooting for you two.\You're not serious, right?\Oh, I'm very serious.\Episode 10\Five Cranes in Return response:	Five Cranes in Return!
