context: Suicide. response:	The act of taking one's own life,
context: and their daughter is giving you a word of advice.\If that doesn't spell things out clearly enough,\then you're stupid.\Doesn't doing this every day get old?\Plan on going at it again today?\Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students. response:	If that's the case, you can rest at ease!
context: If that doesn't spell things out clearly enough,\then you're stupid.\Doesn't doing this every day get old?\Plan on going at it again today?\Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease! response:	I made sure that we'd be alone.
context: then you're stupid.\Doesn't doing this every day get old?\Plan on going at it again today?\Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone. response:	Well, thanks for the consideration.
context: Doesn't doing this every day get old?\Plan on going at it again today?\Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration. response:	But I've never heard of anyone manipulating their blood
context: Plan on going at it again today?\Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood response:	and using it as a sword.
context: Why do you always stay so late after school, Senpai?\It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword. response:	Among the Exterminators,
context: It'd suck if I went home earlier\and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators, response:	we were loathed as a cursed clan.
context: and you attacked me in front of the other students.\If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan. response:	Why?
context: If that's the case, you can rest at ease!\I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan.\Why? response:	I think it's because we were too powerful.
context: I made sure that we'd be alone.\Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan.\Why?\I think it's because we were too powerful. response:	Since the Exterminators possess abnormal powers,
context: Well, thanks for the consideration.\But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan.\Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers, response:	we have a tendency to want to eliminate
context: But I've never heard of anyone manipulating their blood\and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan.\Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate response:	any who are exceedingly powerful.
context: and using it as a sword.\Among the Exterminators,\we were loathed as a cursed clan.\Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful. response:	As a result, my clan died off.
context: Among the Exterminators,\we were loathed as a cursed clan.\Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off. response:	I am the last survivor.
context: we were loathed as a cursed clan.\Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor. response:	What a tragic story.
context: Why?\I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor.\What a tragic story. response:	Is that so? I think it's...
context: I think it's because we were too powerful.\Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor.\What a tragic story.\Is that so? I think it's... response:	a rather common one.
context: Since the Exterminators possess abnormal powers,\we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor.\What a tragic story.\Is that so? I think it's...\a rather common one. response:	Let's commence the battle!
context: we have a tendency to want to eliminate\any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor.\What a tragic story.\Is that so? I think it's...\a rather common one.\Let's commence the battle! response:	Fine. But first I have something I'd like to ask.
context: any who are exceedingly powerful.\As a result, my clan died off.\I am the last survivor.\What a tragic story.\Is that so? I think it's...\a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask. response:	Why are you so hung up on me?
context: As a result, my clan died off.\I am the last survivor.\What a tragic story.\Is that so? I think it's...\a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me? response:	Oh, come on!
context: I am the last survivor.\What a tragic story.\Is that so? I think it's...\a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on! response:	Wh-Why are you running from me?!
context: What a tragic story.\Is that so? I think it's...\a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?! response:	I'm not running! This is a tactical retreat!
context: Is that so? I think it's...\a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat! response:	We've already proven time after time that I can't beat you!
context: a rather common one.\Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you! response:	I can't believe this!
context: Let's commence the battle!\Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this! response:	Wait, Senpai!
context: Fine. But first I have something I'd like to ask.\Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai! response:	Did I lose her?
context: Why are you so hung up on me?\Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai!\Did I lose her? response:	Where did you come from?!
context: Oh, come on!\Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai!\Did I lose her?\Where did you come from?! response:	Eat this!
context: Wh-Why are you running from me?!\I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai!\Did I lose her?\Where did you come from?!\Eat this! response:	Take this!
context: I'm not running! This is a tactical retreat!\We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai!\Did I lose her?\Where did you come from?!\Eat this!\Take this! response:	Hey! You made me kill the bucket!
context: We've already proven time after time that I can't beat you!\I can't believe this!\Wait, Senpai!\Did I lose her?\Where did you come from?!\Eat this!\Take this!\Hey! You made me kill the bucket! response:	Really?
context: I can't believe this!\Wait, Senpai!\Did I lose her?\Where did you come from?!\Eat this!\Take this!\Hey! You made me kill the bucket!\Really? response:	I think it's about time you called it quits.
context: Wait, Senpai!\Did I lose her?\Where did you come from?!\Eat this!\Take this!\Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits. response:	What is this, a horror movie?
context: Did I lose her?\Where did you come from?!\Eat this!\Take this!\Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits.\What is this, a horror movie? response:	I-It's dark! What did you do, Senpai?!
context: Where did you come from?!\Eat this!\Take this!\Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?! response:	It's just a bucket.
context: Eat this!\Take this!\Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket. response:	Are you hungry?
context: Take this!\Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry? response:	S-Senpai!
context: Hey! You made me kill the bucket!\Really?\I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry?\S-Senpai! response:	A demon...
context: Really?\I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry?\S-Senpai!\A demon... response:	R-Right!
context: I think it's about time you called it quits.\What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry?\S-Senpai!\A demon...\R-Right! response:	Move it!
context: What is this, a horror movie?\I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry?\S-Senpai!\A demon...\R-Right!\Move it! response:	I heard that part of our club activities includes running!
context: I-It's dark! What did you do, Senpai?!\It's just a bucket.\Are you hungry?\S-Senpai!\A demon...\R-Right!\Move it!\I heard that part of our club activities includes running! response:	Crap!
context: It's just a bucket.\Are you hungry?\S-Senpai!\A demon...\R-Right!\Move it!\I heard that part of our club activities includes running!\Crap! response:	Kanbara-kun, I'm sorry!
context: Are you hungry?\S-Senpai!\A demon...\R-Right!\Move it!\I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry! response:	Sorry for throwing this on you, but could you give the Cleaners a call?
context: S-Senpai!\A demon...\R-Right!\Move it!\I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call? response:	You were planning to anyway, weren't you?
context: A demon...\R-Right!\Move it!\I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you? response:	Later!
context: R-Right!\Move it!\I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later! response:	Who was that just now?
context: Move it!\I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later!\Who was that just now? response:	Ninomiya Shizuku.
context: I heard that part of our club activities includes running!\Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later!\Who was that just now?\Ninomiya Shizuku. response:	Nino-san for short.
context: Crap!\Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later!\Who was that just now?\Ninomiya Shizuku.\Nino-san for short. response:	She's sort of a famous Exterminator around these parts.
context: Kanbara-kun, I'm sorry!\Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later!\Who was that just now?\Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts. response:	Is that so?
context: Sorry for throwing this on you, but could you give the Cleaners a call?\You were planning to anyway, weren't you?\Later!\Who was that just now?\Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so? response:	You've never defeated a demon?
context: You were planning to anyway, weren't you?\Later!\Who was that just now?\Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon? response:	I'm not that bad.
context: Later!\Who was that just now?\Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon?\I'm not that bad. response:	But it's close to zero.
context: Who was that just now?\Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon?\I'm not that bad.\But it's close to zero. response:	Even though you're an Exterminator?
context: Ninomiya Shizuku.\Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon?\I'm not that bad.\But it's close to zero.\Even though you're an Exterminator? response:	I've already told you!
context: Nino-san for short.\She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon?\I'm not that bad.\But it's close to zero.\Even though you're an Exterminator?\I've already told you! response:	My clan is loathed because of its ability to manipulate blood.
context: She's sort of a famous Exterminator around these parts.\Is that so?\You've never defeated a demon?\I'm not that bad.\But it's close to zero.\Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood. response:	So I've been avoiding anything to do with subduing demons
context: Is that so?\You've never defeated a demon?\I'm not that bad.\But it's close to zero.\Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons response:	in order to keep my powers a secret.
context: You've never defeated a demon?\I'm not that bad.\But it's close to zero.\Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret. response:	Besides...
context: I'm not that bad.\But it's close to zero.\Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides... response:	Besides?
context: But it's close to zero.\Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides...\Besides? response:	It's nothing.
context: Even though you're an Exterminator?\I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides...\Besides?\It's nothing. response:	So you decided that I'm a demon,
context: I've already told you!\My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides...\Besides?\It's nothing.\So you decided that I'm a demon, response:	mustered up your courage, and attacked me!
context: My clan is loathed because of its ability to manipulate blood.\So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides...\Besides?\It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me! response:	And then you told me that you're immortal...
context: So I've been avoiding anything to do with subduing demons\in order to keep my powers a secret.\Besides...\Besides?\It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal... response:	That means I can stab you all I want and you won't die!
context: in order to keep my powers a secret.\Besides...\Besides?\It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die! response:	I wasn't accustomed to taking down demons, so...
context: Besides...\Besides?\It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so... response:	Wait... So you've been using me as a training dummy?
context: Besides?\It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy? response:	Why not? You've got nothing to lose!
context: It's nothing.\So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose! response:	Well, I do!
context: So you decided that I'm a demon,\mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do! response:	That crap is literally tearing up my heart!
context: mustered up your courage, and attacked me!\And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart! response:	I told you! I'm not immune to pain!
context: And then you told me that you're immortal...\That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain! response:	Do you have any idea how much that hurts?
context: That means I can stab you all I want and you won't die!\I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts? response:	If you think you can do whatever you want just because I'm immortal,
context: I wasn't accustomed to taking down demons, so...\Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal, response:	I'll cry discrimination!
context: Wait... So you've been using me as a training dummy?\Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination! response:	The other people here can hear you.
context: Why not? You've got nothing to lose!\Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you. response:	Not a problem!
context: Well, I do!\That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you.\Not a problem! response:	I've already checked to make sure no one's around.
context: That crap is literally tearing up my heart!\I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around. response:	Thank you for waiting!
context: I told you! I'm not immune to pain!\Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting! response:	Here are the additional burrito, mole poblano,
context: Do you have any idea how much that hurts?\If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano, response:	and chili con carne combos you ordered.
context: If you think you can do whatever you want just because I'm immortal,\I'll cry discrimination!\The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered. response:	Please enjoy yourselves!
context: I'll cry discrimination!\The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves! response:	You ordered more food?!
context: The other people here can hear you.\Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?! response:	You're being unpleasant.
context: Not a problem!\I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?!\You're being unpleasant. response:	I'm the one finding this unpleasant!
context: I've already checked to make sure no one's around.\Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant! response:	First you use me as a punching bag,
context: Thank you for waiting!\Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag, response:	and then you leech dinner off me!
context: Here are the additional burrito, mole poblano,\and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me! response:	Leech?
context: and chili con carne combos you ordered.\Please enjoy yourselves!\You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me!\Leech? response:	Isn't this what we agreed on?
context: Please enjoy yourselves!\You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me!\Leech?\Isn't this what we agreed on? response:	I won't challenge you to any more fights today,
context: You ordered more food?!\You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me!\Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today, response:	and in exchange, you'll treat me to dinner.
context: You're being unpleasant.\I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me!\Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner. response:	Judging by your choice of words,
context: I'm the one finding this unpleasant!\First you use me as a punching bag,\and then you leech dinner off me!\Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words, response:	is it safe to assume you'll attack me again tomorrow?
context: First you use me as a punching bag,\and then you leech dinner off me!\Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow? response:	Isn't the deal just for today?
context: and then you leech dinner off me!\Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today? response:	It's true that demons possess humans and cause casualties,
context: Leech?\Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties, response:	but for those with Exterminator powers, they aren't
context: Isn't this what we agreed on?\I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't response:	all that hard to deal with.
context: I won't challenge you to any more fights today,\and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with. response:	At the very least, they should be easier than stabbing me.
context: and in exchange, you'll treat me to dinner.\Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me. response:	I know that.
context: Judging by your choice of words,\is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that. response:	Then why don't you go after them?
context: is it safe to assume you'll attack me again tomorrow?\Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them? response:	Kuriyama-san!
context: Isn't the deal just for today?\It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them?\Kuriyama-san! response:	Thank you for dinner!
context: It's true that demons possess humans and cause casualties,\but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them?\Kuriyama-san!\Thank you for dinner! response:	I know that.
context: but for those with Exterminator powers, they aren't\all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them?\Kuriyama-san!\Thank you for dinner!\I know that. response:	I wonder what her problem is.
context: all that hard to deal with.\At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them?\Kuriyama-san!\Thank you for dinner!\I know that.\I wonder what her problem is. response:	Thank you!
context: At the very least, they should be easier than stabbing me.\I know that.\Then why don't you go after them?\Kuriyama-san!\Thank you for dinner!\I know that.\I wonder what her problem is.\Thank you! response:	Yeah! Be sure to eat up!
context: I know that.\Then why don't you go after them?\Kuriyama-san!\Thank you for dinner!\I know that.\I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up! response:	Kanbara, eating in the cafeteria?
context: Then why don't you go after them?\Kuriyama-san!\Thank you for dinner!\I know that.\I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria? response:	Yeah! I do every now and then.
context: Kuriyama-san!\Thank you for dinner!\I know that.\I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then. response:	What kind of change-of-heart
context: Thank you for dinner!\I know that.\I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart response:	made you want to meet in the cafeteria?
context: I know that.\I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria? response:	You make it sound as if I normally shut myself up in the clubroom.
context: I wonder what her problem is.\Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom. response:	So you're saying you don't?
context: Thank you!\Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't? response:	Very well! I won't deny it.
context: Yeah! Be sure to eat up!\Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it. response:	I'm leading a pathetic school life where I eat
context: Kanbara, eating in the cafeteria?\Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat response:	in the bathroom by myself and the only person
context: Yeah! I do every now and then.\What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person response:	I'm able to abuse is my childhood friend, Akihito.
context: What kind of change-of-heart\made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito. response:	Wait! Is it just me, or did you make it sound like,
context: made you want to meet in the cafeteria?\You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like, response:	between the two of us, I'm more pathetic?
context: You make it sound as if I normally shut myself up in the clubroom.\So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic? response:	Well then, it's about time we moved onto the main point.
context: So you're saying you don't?\Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point. response:	You can't get to your point without an introduction, can you?
context: Very well! I won't deny it.\I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you? response:	I won't be attending our club meeting today.
