context: Next up is the weather forecast for the Kanto Region. response:	Due to areas of low pressure coming in from the west,
context: Naive!\You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp!\From the beginning! response:	Oh, no! What is it? Tell me, tell me!
context: You're naive, Sorata!\That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me! response:	Isn't there something you want to tell us, too?
context: That's youth for you! It makes your heart race!\I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too? response:	Come on, come on. Don't be shy.
context: I'm sweating over here!\H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy. response:	Bring it on!
context: H-Hey, how long were you guys listening in?\There's something I want to tell you!\Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on! response:	Show us how you really feel!
context: There's something I want to tell you!\Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel! response:	Sorry for causing such a fuss.
context: Gasp!\From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel!\Sorry for causing such a fuss. response:	Please let me stay...
context: From the beginning!\Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay... response:	Let me stay at Sakura Hall!
context: Oh, no! What is it? Tell me, tell me!\Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall! response:	Mashiron, congratulations on your debut!
context: Isn't there something you want to tell us, too?\Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut! response:	Thank you very much.
context: Come on, come on. Don't be shy.\Bring it on!\Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much. response:	I pretended it was someone else's fault that nothing happened.
context: Bring it on!\Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened. response:	But I was wrong.
context: Show us how you really feel!\Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong. response:	If you put your mind to it,
context: Sorry for causing such a fuss.\Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it, response:	you can change the color of your world in an instant.
context: Please let me stay...\Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant. response:	Sakura Hall is a haphazard mix of all different colors.
context: Let me stay at Sakura Hall!\Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant.\Sakura Hall is a haphazard mix of all different colors. response:	I wish for Sorata's wish to come true
context: Mashiron, congratulations on your debut!\Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant.\Sakura Hall is a haphazard mix of all different colors.\I wish for Sorata's wish to come true response:	It'll probably never change...
context: Thank you very much.\I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant.\Sakura Hall is a haphazard mix of all different colors.\I wish for Sorata's wish to come true\It'll probably never change... response:	Hikari is female.
context: I pretended it was someone else's fault that nothing happened.\But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant.\Sakura Hall is a haphazard mix of all different colors.\I wish for Sorata's wish to come true\It'll probably never change...\Hikari is female. response:	Hikari says she has a hunch that...
context: But I was wrong.\If you put your mind to it,\you can change the color of your world in an instant.\Sakura Hall is a haphazard mix of all different colors.\I wish for Sorata's wish to come true\It'll probably never change...\Hikari is female.\Hikari says she has a hunch that... response:	there'll soon be more females.
