context: - What do you do on your days off? - I heard your radio show yesterday. response:	If you'd like, how about some tea later today?
context: I understand that feeling, but for yourself as well, please don't use that ability from now on.\I got it.\Thank you so much.\That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it. response:	Big Brother, you're very competent. Are you being pulled all over the place?
context: I got it.\Thank you so much.\That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place? response:	It's not that extravagant...
context: Thank you so much.\That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant... response:	Then, to my big brother who is doing his best with student council activities, I have a feast!
context: That ended peacefully.\Oh, that took so long!\Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast! response:	Chanpon noodles with lots of vegetables!
context: Oh, that took so long!\Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables! response:	It's not red... This is... doable!
context: Really. That's totally how I feel.\I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable! response:	Time to eat!
context: I'm back.\I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat! response:	Finally!
context: I didn't think the student council was something this busy... I can't help it.\Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat!\Finally! response:	How is it?
context: Big Brother, you're very competent. Are you being pulled all over the place?\It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat!\Finally!\How is it? response:	Delicious! So delicious it makes me cry!
context: It's not that extravagant...\Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat!\Finally!\How is it?\Delicious! So delicious it makes me cry! response:	Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.
context: Then, to my big brother who is doing his best with student council activities, I have a feast!\Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat!\Finally!\How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left. response:	If you can make food this delicious,
context: Chanpon noodles with lots of vegetables!\It's not red... This is... doable!\Time to eat!\Finally!\How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious, response:	you can leave the pizza sauce out of all the other food, can't you?
context: It's not red... This is... doable!\Time to eat!\Finally!\How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you? response:	The Otosaka pizza sauce is a secret recipe
context: Time to eat!\Finally!\How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe response:	that needs to be handed down to the very last generation.
context: Finally!\How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation. response:	But, when I was about to go to the supermarket,
context: How is it?\Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket, response:	the security guard stopped me for some reason, and I couldn't buy the ingredients...
context: Delicious! So delicious it makes me cry!\Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients... response:	Nice security! This is the first incident that makes me feel happy about moving here!
context: Actually, I wanted to use the pizza sauce as a secret ingredient, but I only have a tiny bit left.\If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here! response:	But this is delicious on its own, so you don't need any secret ingredients.
context: If you can make food this delicious,\you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients. response:	If you say so, that saves me a lot...
context: you can leave the pizza sauce out of all the other food, can't you?\The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot... response:	All right! In the end, I succeeded in sealing away that pizza sauce!
context: The Otosaka pizza sauce is a secret recipe\that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce! response:	You really aren't feeling well after all?
context: that needs to be handed down to the very last generation.\But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all? response:	No, no, I'm fine now!
context: But, when I was about to go to the supermarket,\the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now! response:	I had so many stories I wanted you to hear while you were gone, Big Brother Yu.
context: the security guard stopped me for some reason, and I couldn't buy the ingredients...\Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu. response:	What's up?
context: Nice security! This is the first incident that makes me feel happy about moving here!\But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up? response:	Ayu was suddenly asked out by one of the boy classmates!
context: But this is delicious on its own, so you don't need any secret ingredients.\If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates! response:	And what did you do?
context: If you say so, that saves me a lot...\All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do? response:	Let's see...
context: All right! In the end, I succeeded in sealing away that pizza sauce!\You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see... response:	Don't put on an air...
context: You really aren't feeling well after all?\No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see...\Don't put on an air... response:	I politely declined the offer!
context: No, no, I'm fine now!\I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see...\Don't put on an air...\I politely declined the offer! response:	Oh man, that could have been a pivotal moment that changes your entire life...
context: I had so many stories I wanted you to hear while you were gone, Big Brother Yu.\What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see...\Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life... response:	Big Brother Yu, you wanted Ayu to have a boyfriend or something?
context: What's up?\Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see...\Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something? response:	It depends on the guy.
context: Ayu was suddenly asked out by one of the boy classmates!\And what did you do?\Let's see...\Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy. response:	It really does have to be someone better than Big Brother Yu!
context: And what did you do?\Let's see...\Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu! response:	Someone like that doesn't come by all that often.
context: Let's see...\Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often. response:	Indeed.
context: Don't put on an air...\I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed. response:	I'm sorry.
context: I politely declined the offer!\Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed.\I'm sorry. response:	Maybe you have a cold?
context: Oh man, that could have been a pivotal moment that changes your entire life...\Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed.\I'm sorry.\Maybe you have a cold? response:	You're feverish... how's your appetite?
context: Big Brother Yu, you wanted Ayu to have a boyfriend or something?\It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed.\I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite? response:	I'm fine. I can finish eating all of this.
context: It depends on the guy.\It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed.\I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this. response:	37.8 degrees...
context: It really does have to be someone better than Big Brother Yu!\Someone like that doesn't come by all that often.\Indeed.\I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees... response:	You totally have caught a cold.
context: Someone like that doesn't come by all that often.\Indeed.\I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold. response:	After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?
context: Indeed.\I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay? response:	Roger that.
context: I'm sorry.\Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that. response:	I'm sorry.
context: Maybe you have a cold?\You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that.\I'm sorry. response:	Can you fall asleep like this?
context: You're feverish... how's your appetite?\I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that.\I'm sorry.\Can you fall asleep like this? response:	I'll be all right.
context: I'm fine. I can finish eating all of this.\37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that.\I'm sorry.\Can you fall asleep like this?\I'll be all right. response:	All right. Sleep tight. Good night!
context: 37.8 degrees...\You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that.\I'm sorry.\Can you fall asleep like this?\I'll be all right.\All right. Sleep tight. Good night! response:	Yup.
context: You totally have caught a cold.\After your body warms up by taking a bath, you need to crawl into your futon immediately. Okay?\Roger that.\I'm sorry.\Can you fall asleep like this?\I'll be all right.\All right. Sleep tight. Good night!\Yup. response:	Well... if she stays put, it should be all right.
