context: I'll ask once more. response:	Why did you call me by the name of the Jealous Witch?
context: That's why everyone wants it.\In other words, this would sell for more than a metia\Hang on, Felt! That's a dangerous way to think!\He appraised it at over twenty holy coins.\Just sell it for that! Don't ask for more!\El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that? response:	You just admitted that you're with them.
context: In other words, this would sell for more than a metia\Hang on, Felt! That's a dangerous way to think!\He appraised it at over twenty holy coins.\Just sell it for that! Don't ask for more!\El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that?\You just admitted that you're with them. response:	I don't have time... Please, Felt!
context: Hang on, Felt! That's a dangerous way to think!\He appraised it at over twenty holy coins.\Just sell it for that! Don't ask for more!\El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt! response:	Begging won't help.
context: He appraised it at over twenty holy coins.\Just sell it for that! Don't ask for more!\El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help. response:	I acknowledge you as a negotiating party.
context: Just sell it for that! Don't ask for more!\El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party. response:	But not hearing what my client says wouldn't be fair.
context: El The woman who asked you for it can't go higher than twenty, either.\She won't pay more than that!\How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair. response:	The reason I want that insignia
context: She won't pay more than that!\How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia response:	is so I can return it to its owner.
context: How do you know that?\You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner. response:	Huh?
context: You just admitted that you're with them.\I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner.\Huh? response:	I want to return it to its owner!
context: I don't have time... Please, Felt!\Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner.\Huh?\I want to return it to its owner! response:	That's why I want the insignia!
context: Begging won't help.\I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner.\Huh?\I want to return it to its owner!\That's why I want the insignia! response:	That's all! So please!
context: I acknowledge you as a negotiating party.\But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner.\Huh?\I want to return it to its owner!\That's why I want the insignia!\That's all! So please! response:	Felt, it doesn't look to me like the boy's lying.
context: But not hearing what my client says wouldn't be fair.\The reason I want that insignia\is so I can return it to its owner.\Huh?\I want to return it to its owner!\That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying. response:	Don't get taken in by him.
context: The reason I want that insignia\is so I can return it to its owner.\Huh?\I want to return it to its owner!\That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him. response:	He's obviously joking around.
context: is so I can return it to its owner.\Huh?\I want to return it to its owner!\That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around. response:	Return it to the owner? Ridiculous!
context: Huh?\I want to return it to its owner!\That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous! response:	If you're gonna lie, make it believable!
context: I want to return it to its owner!\That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable! response:	I won't be fooled!
context: That's why I want the insignia!\That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled! response:	Felt...
context: That's all! So please!\Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled!\Felt... response:	Who's that?
context: Felt, it doesn't look to me like the boy's lying.\Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled!\Felt...\Who's that? response:	It might be for me.
context: Don't get taken in by him.\He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled!\Felt...\Who's that?\It might be for me. response:	It's a little early, though.
context: He's obviously joking around.\Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled!\Felt...\Who's that?\It might be for me.\It's a little early, though. response:	Don't open it!
context: Return it to the owner? Ridiculous!\If you're gonna lie, make it believable!\I won't be fooled!\Felt...\Who's that?\It might be for me.\It's a little early, though.\Don't open it! response:	W-We'll be killed!
context: If you're gonna lie, make it believable!\I won't be fooled!\Felt...\Who's that?\It might be for me.\It's a little early, though.\Don't open it!\W-We'll be killed! response:	Kill you? I wouldn't do something so terrifying.
context: I won't be fooled!\Felt...\Who's that?\It might be for me.\It's a little early, though.\Don't open it!\W-We'll be killed!\Kill you? I wouldn't do something so terrifying. response:	Reunion with the Witch
