context: you won't be able to save the two in the basement! response:	Hey, Yu, Ayumi. It's been a while.
context: I'm sorry... this was the only thing I could do...\Let's do this...\They're not armed..?\Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap... response:	It's pointless!
context: Let's do this...\They're not armed..?\Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap...\It's pointless! response:	We made you unable to use psychic powers to travel to the past.
context: They're not armed..?\Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past. response:	So it is indeed impossible with one eye.
context: Are you satisfied now?\Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye. response:	If you use your psychic powers of collapse,
context: Where's Tomori?\Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse, response:	Dammit!
context: Right below us... both of them are in the basement.\Release both of them right away!\Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit! response:	- Hurry, hurry, hurry!
context: Release both of them right away!\Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry! response:	- Shit! That wasn't necessary!
context: Not good... I must time-leap...\It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary! response:	This isn't good! There is a collapse happening right now!
context: It's pointless!\We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now! response:	He's not using his time-leap?
context: We made you unable to use psychic powers to travel to the past.\So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap? response:	Looks it... what should we do?
context: So it is indeed impossible with one eye.\If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do? response:	Impossible...
context: If you use your psychic powers of collapse,\Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do?\Impossible... response:	Is this time to be just standing around?
context: Dammit!\- Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do?\Impossible...\Is this time to be just standing around? response:	We have to go save them!
context: - Hurry, hurry, hurry!\- Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do?\Impossible...\Is this time to be just standing around?\We have to go save them! response:	Y-Yeah...
context: - Shit! That wasn't necessary!\This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do?\Impossible...\Is this time to be just standing around?\We have to go save them!\Y-Yeah... response:	How does it look?
context: This isn't good! There is a collapse happening right now!\He's not using his time-leap?\Looks it... what should we do?\Impossible...\Is this time to be just standing around?\We have to go save them!\Y-Yeah...\How does it look? response:	It looks hopeless...
context: He's not using his time-leap?\Looks it... what should we do?\Impossible...\Is this time to be just standing around?\We have to go save them!\Y-Yeah...\How does it look?\It looks hopeless... response:	But we still have to search for them!
context: Looks it... what should we do?\Impossible...\Is this time to be just standing around?\We have to go save them!\Y-Yeah...\How does it look?\It looks hopeless...\But we still have to search for them! response:	Nao!
context: Impossible...\Is this time to be just standing around?\We have to go save them!\Y-Yeah...\How does it look?\It looks hopeless...\But we still have to search for them!\Nao! response:	Kumagami! Yu!
context: Is this time to be just standing around?\We have to go save them!\Y-Yeah...\How does it look?\It looks hopeless...\But we still have to search for them!\Nao!\Kumagami! Yu! response:	Shunsuke!
context: We have to go save them!\Y-Yeah...\How does it look?\It looks hopeless...\But we still have to search for them!\Nao!\Kumagami! Yu!\Shunsuke! response:	Are those the main culprits?
context: Y-Yeah...\How does it look?\It looks hopeless...\But we still have to search for them!\Nao!\Kumagami! Yu!\Shunsuke!\Are those the main culprits? response:	Medoki, please.
context: How does it look?\It looks hopeless...\But we still have to search for them!\Nao!\Kumagami! Yu!\Shunsuke!\Are those the main culprits?\Medoki, please. response:	Sure.
context: It looks hopeless...\But we still have to search for them!\Nao!\Kumagami! Yu!\Shunsuke!\Are those the main culprits?\Medoki, please.\Sure. response:	Found the little brother!
context: But we still have to search for them!\Nao!\Kumagami! Yu!\Shunsuke!\Are those the main culprits?\Medoki, please.\Sure.\Found the little brother! response:	He blocked it in the nick of time with telekinesis...
context: Nao!\Kumagami! Yu!\Shunsuke!\Are those the main culprits?\Medoki, please.\Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis... response:	It's all right. He's still alive. However...
context: Kumagami! Yu!\Shunsuke!\Are those the main culprits?\Medoki, please.\Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However... response:	They ruined one eye.
context: Shunsuke!\Are those the main culprits?\Medoki, please.\Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye. response:	So that's why he couldn't leap...
context: Are those the main culprits?\Medoki, please.\Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap... response:	Please take him to somewhere safe!
context: Medoki, please.\Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe! response:	Sure.
context: Sure.\Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe!\Sure. response:	Don't tell me that you alone were all right
context: Found the little brother!\He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right response:	because of your ability, but the other two are already dead...
context: He blocked it in the nick of time with telekinesis...\It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead... response:	Where are you... Kumagami... Nao...
context: It's all right. He's still alive. However...\They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao... response:	Found them! Both of them are here!
context: They ruined one eye.\So that's why he couldn't leap...\Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here! response:	Over here!
context: So that's why he couldn't leap...\Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here! response:	Kumagami!
context: Please take him to somewhere safe!\Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here!\Kumagami! response:	Kumagami, where are you? Answer me, Kumagami!
context: Sure.\Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami! response:	Kuma
context: Don't tell me that you alone were all right\because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma response:	Kumagami?
context: because of your ability, but the other two are already dead...\Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami? response:	Is that you... Shunsuke?
context: Where are you... Kumagami... Nao...\Found them! Both of them are here!\Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami?\Is that you... Shunsuke? response:	This is enough... right?
context: Found them! Both of them are here!\Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami?\Is that you... Shunsuke?\This is enough... right? response:	Kumagami! You can't!
context: Over here!\Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami?\Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't! response:	I won't allow it! You have to continue to be at my side!
context: Kumagami!\Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami?\Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side! response:	That is asking for the impossible...
context: Kumagami, where are you? Answer me, Kumagami!\Kuma\Kumagami?\Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible... response:	You can't! I won't allow it!
context: Kuma\Kumagami?\Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it! response:	Kumagami, don't go off on your own! Don't go away!
context: Kumagami?\Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it!\Kumagami, don't go off on your own! Don't go away! response:	Shunsuke...
context: Is that you... Shunsuke?\This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it!\Kumagami, don't go off on your own! Don't go away!\Shunsuke... response:	So, the nickname Pooh... was a lie after all...?
context: This is enough... right?\Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it!\Kumagami, don't go off on your own! Don't go away!\Shunsuke...\So, the nickname Pooh... was a lie after all...? response:	Kumagami?
context: Kumagami! You can't!\I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it!\Kumagami, don't go off on your own! Don't go away!\Shunsuke...\So, the nickname Pooh... was a lie after all...?\Kumagami? response:	Kumagami...
context: I won't allow it! You have to continue to be at my side!\That is asking for the impossible...\You can't! I won't allow it!\Kumagami, don't go off on your own! Don't go away!\Shunsuke...\So, the nickname Pooh... was a lie after all...?\Kumagami?\Kumagami... response:	KUMAGAMI!
