context: It's definitely here! It's right here for sure! response:	Compared to that heart, you're nothing!
context: I just saw Ko holding hands with a really pretty girl!\Huh? What does that mean? He hasn't told me anything!\Did you hear about Mr. Kira who went missing?\I did! You mean how he turned up as a faceless corpse, right?\That's so scary...\What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can response:	you kicked and got all over my manga!
context: Huh? What does that mean? He hasn't told me anything!\Did you hear about Mr. Kira who went missing?\I did! You mean how he turned up as a faceless corpse, right?\That's so scary...\What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga! response:	That's not my problem!
context: Did you hear about Mr. Kira who went missing?\I did! You mean how he turned up as a faceless corpse, right?\That's so scary...\What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem! response:	One, two, three, four, five, six, seven, eight, nine, ten.
context: I did! You mean how he turned up as a faceless corpse, right?\That's so scary...\What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten. response:	All right. Warm-up exercises done.
context: That's so scary...\What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done. response:	Shonen Jump
context: What are you gonna do about it?\Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump response:	Thanks for waiting! Serialization Returns!
context: Wha?\I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns! response:	Is it really so interesting to look at the town all the time?
context: I'm telling you that juice sprayed out from the can\you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time? response:	Nothing ever changes.
context: you kicked and got all over my manga!\That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes. response:	It is.
context: That's not my problem!\One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is. response:	This town is very interesting.
context: One, two, three, four, five, six, seven, eight, nine, ten.\All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is.\This town is very interesting. response:	And so, for most people, the summer of 1999 passed like any other summer.
context: All right. Warm-up exercises done.\Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer. response:	Hey, did you hear?
context: Shonen Jump\Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear? response:	Apparently, Rohan was caught shoplifting at Kame Yu.
context: Thanks for waiting! Serialization Returns!\Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu. response:	What?!
context: Is it really so interesting to look at the town all the time?\Nothing ever changes.\It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?! response:	That's insane if it's true.
context: Nothing ever changes.\It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true. response:	Yeah, but I'm not really sure.
context: It is.\This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true.\Yeah, but I'm not really sure. response:	You aren't even sure?
context: This town is very interesting.\And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true.\Yeah, but I'm not really sure.\You aren't even sure? response:	Jeez... Well, let's go.
context: And so, for most people, the summer of 1999 passed like any other summer.\Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true.\Yeah, but I'm not really sure.\You aren't even sure?\Jeez... Well, let's go. response:	Jojo's Bizarre Adventure
context: Hey, did you hear?\Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true.\Yeah, but I'm not really sure.\You aren't even sure?\Jeez... Well, let's go.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Apparently, Rohan was caught shoplifting at Kame Yu.\What?!\That's insane if it's true.\Yeah, but I'm not really sure.\You aren't even sure?\Jeez... Well, let's go.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	End
