context: Speak in a Confrontational Manner response:	What's this? Some kind of joke?
context: Done.\Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like...\This.\You've totally forgotten the task at hand!\You're pretty good. response:	Ren-ren, you're good!
context: Now I know what you saw.\Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like...\This.\You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good! response:	You think?
context: Do you really think Tokyo looks like that?!\Yeah, it isn't like that.\It's more like...\This.\You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good!\You think? response:	Yeah.
context: Yeah, it isn't like that.\It's more like...\This.\You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good!\You think?\Yeah. response:	You're getting further from the original objective!
context: It's more like...\This.\You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good!\You think?\Yeah.\You're getting further from the original objective! response:	There's another one.
context: This.\You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good!\You think?\Yeah.\You're getting further from the original objective!\There's another one. response:	Assignment Two What's the Antonym of Antonym?
context: You've totally forgotten the task at hand!\You're pretty good.\Ren-ren, you're good!\You think?\Yeah.\You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym? response:	Assignment Two: what's the antonym of antonym?
context: You're pretty good.\Ren-ren, you're good!\You think?\Yeah.\You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym? response:	Idiot
context: Ren-ren, you're good!\You think?\Yeah.\You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot response:	Idiot
context: You think?\Yeah.\You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot\Idiot response:	Idiot Not Participating
context: Yeah.\You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot\Idiot\Idiot Not Participating response:	Spectating
context: You're getting further from the original objective!\There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot\Idiot\Idiot Not Participating\Spectating response:	It's synonym.
context: There's another one.\Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot\Idiot\Idiot Not Participating\Spectating\It's synonym. response:	Smart
context: Assignment Two What's the Antonym of Antonym?\Assignment Two: what's the antonym of antonym?\Idiot\Idiot\Idiot Not Participating\Spectating\It's synonym.\Smart response:	Now, the prize for the quiz is a
context: Assignment Two: what's the antonym of antonym?\Idiot\Idiot\Idiot Not Participating\Spectating\It's synonym.\Smart\Now, the prize for the quiz is a response:	seven-day trip to Hawaii, with Master Kage.
context: Idiot\Idiot\Idiot Not Participating\Spectating\It's synonym.\Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage. response:	Wait, Master Kage?
context: Idiot\Idiot Not Participating\Spectating\It's synonym.\Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage? response:	Don't tell me...
context: Idiot Not Participating\Spectating\It's synonym.\Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me... response:	Wh-What's going on?
context: Spectating\It's synonym.\Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me...\Wh-What's going on? response:	That's right... It's me!
context: It's synonym.\Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me...\Wh-What's going on?\That's right... It's me! response:	Master Kage...
context: Smart\Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me...\Wh-What's going on?\That's right... It's me!\Master Kage... response:	Then, those signs...
context: Now, the prize for the quiz is a\seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me...\Wh-What's going on?\That's right... It's me!\Master Kage...\Then, those signs... response:	So you finally figured it out.
context: seven-day trip to Hawaii, with Master Kage.\Wait, Master Kage?\Don't tell me...\Wh-What's going on?\That's right... It's me!\Master Kage...\Then, those signs...\So you finally figured it out. response:	I see you're unable to hide your surprise at discovering it was me.
context: Wait, Master Kage?\Don't tell me...\Wh-What's going on?\That's right... It's me!\Master Kage...\Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me. response:	Thank you for welcoming me, my human toilets!
context: Don't tell me...\Wh-What's going on?\That's right... It's me!\Master Kage...\Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets! response:	Don't worry... It's not scary.
context: Wh-What's going on?\That's right... It's me!\Master Kage...\Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary. response:	It's Karuta Roromiya.
context: That's right... It's me!\Master Kage...\Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya. response:	Next time, on Inu X Boku Secret Service...
context: Master Kage...\Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service... response:	Hold it!
context: Then, those signs...\So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it! response:	Didn't expect me to take over your announcement, did you?
context: So you finally figured it out.\I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you? response:	I, Kagerou Shoukiin, have taken over this time slot!
context: I see you're unable to hide your surprise at discovering it was me.\Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot! response:	I am going to enjoy toying with and shaming you!
context: Thank you for welcoming me, my human toilets!\Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you! response:	Are you shivering yet, my human toilets?
context: Don't worry... It's not scary.\It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets? response:	Meat
context: It's Karuta Roromiya.\Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat response:	Oh, you're quite the sadist, trying to turn off the screen while I was talking.
context: Next time, on Inu X Boku Secret Service...\Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat\Oh, you're quite the sadist, trying to turn off the screen while I was talking. response:	You, who butted in... You, too!
context: Hold it!\Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat\Oh, you're quite the sadist, trying to turn off the screen while I was talking.\You, who butted in... You, too! response:	You, eating that rice cracker,
context: Didn't expect me to take over your announcement, did you?\I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat\Oh, you're quite the sadist, trying to turn off the screen while I was talking.\You, who butted in... You, too!\You, eating that rice cracker, response:	The Unfaithful Dog
context: I, Kagerou Shoukiin, have taken over this time slot!\I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat\Oh, you're quite the sadist, trying to turn off the screen while I was talking.\You, who butted in... You, too!\You, eating that rice cracker,\The Unfaithful Dog response:	you're a masochist disguised as a sa
context: I am going to enjoy toying with and shaming you!\Are you shivering yet, my human toilets?\Meat\Oh, you're quite the sadist, trying to turn off the screen while I was talking.\You, who butted in... You, too!\You, eating that rice cracker,\The Unfaithful Dog\you're a masochist disguised as a sa response:	Mask melon... No, maniac!
