context: Sorry to change the subject, but... response:	By the way, do you all have plans for winter vacation?
context: Amagiri Shinmei Style Grappling Skill...\Coffin Feather Drill!\Amagiri Shinmei Style...\Unbreakable Thunder!\Saya! Julis!\- Leave it to us! - Roger that.\Burst into bloom...\Hernekraume! response:	- Amaryllis! - Kaboom.
context: Coffin Feather Drill!\Amagiri Shinmei Style...\Unbreakable Thunder!\Saya! Julis!\- Leave it to us! - Roger that.\Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom. response:	Who knew?
context: Amagiri Shinmei Style...\Unbreakable Thunder!\Saya! Julis!\- Leave it to us! - Roger that.\Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom.\Who knew? response:	So even a chimera is no match for him?
context: Unbreakable Thunder!\Saya! Julis!\- Leave it to us! - Roger that.\Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him? response:	To be able to do all that without a weapon...
context: Saya! Julis!\- Leave it to us! - Roger that.\Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon... response:	he's going to be a handful.
context: - Leave it to us! - Roger that.\Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon...\he's going to be a handful. response:	I would've preferred not to get too involved on this level, but...
context: Burst into bloom...\Hernekraume!\- Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon...\he's going to be a handful.\I would've preferred not to get too involved on this level, but... response:	What do you think of my dance moves, polished by high society?
context: Hernekraume!\- Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon...\he's going to be a handful.\I would've preferred not to get too involved on this level, but...\What do you think of my dance moves, polished by high society? response:	No need to be so nervous, Ayato.
context: - Amaryllis! - Kaboom.\Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon...\he's going to be a handful.\I would've preferred not to get too involved on this level, but...\What do you think of my dance moves, polished by high society?\No need to be so nervous, Ayato. response:	Episode 23 The Lonely Strega
context: Who knew?\So even a chimera is no match for him?\To be able to do all that without a weapon...\he's going to be a handful.\I would've preferred not to get too involved on this level, but...\What do you think of my dance moves, polished by high society?\No need to be so nervous, Ayato.\Episode 23 The Lonely Strega response:	I'm going to teach you all you need to know... from A to Z!
