context: I-I can't believe this! response:	How can you not know what your boyfriend's post-graduation plans are?
context: Do you remember these?\They were the first present I ever gave you.\You got your ears pierced?\I asked Risa to take me to get them done.\But won't your grandma get mad?\It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day. response:	That way, I won't ever forget you.
context: They were the first present I ever gave you.\You got your ears pierced?\I asked Risa to take me to get them done.\But won't your grandma get mad?\It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you. response:	Nobu-chan...
context: You got your ears pierced?\I asked Risa to take me to get them done.\But won't your grandma get mad?\It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan... response:	I love you, Nobu-chan.
context: I asked Risa to take me to get them done.\But won't your grandma get mad?\It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan. response:	I love you more than anything in this world.
context: But won't your grandma get mad?\It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world. response:	I love you too.
context: It'll be all right.\But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world.\I love you too. response:	Wh-What are they saying?
context: But I won't be able to wear them until the holes close over.\Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world.\I love you too.\Wh-What are they saying? response:	This is much more embarrassing than a simple don't go.
context: Once I get there, I'll wear these every day.\That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world.\I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go. response:	So what? They're happy.
context: That way, I won't ever forget you.\Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world.\I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy. response:	Man...
context: Nobu-chan...\I love you, Nobu-chan.\I love you more than anything in this world.\I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy.\Man... response:	Nobu-chan got her happy ending,
context: I love you, Nobu-chan.\I love you more than anything in this world.\I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy.\Man...\Nobu-chan got her happy ending, response:	Fortunes
context: I love you more than anything in this world.\I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy.\Man...\Nobu-chan got her happy ending,\Fortunes response:	You there.
context: I love you too.\Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy.\Man...\Nobu-chan got her happy ending,\Fortunes\You there. response:	M-Me?
context: Wh-What are they saying?\This is much more embarrassing than a simple don't go.\So what? They're happy.\Man...\Nobu-chan got her happy ending,\Fortunes\You there.\M-Me? response:	You're going to have some woman trouble soon.
context: This is much more embarrassing than a simple don't go.\So what? They're happy.\Man...\Nobu-chan got her happy ending,\Fortunes\You there.\M-Me?\You're going to have some woman trouble soon. response:	That's what this baby here just told me.
context: So what? They're happy.\Man...\Nobu-chan got her happy ending,\Fortunes\You there.\M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me. response:	What was that?
context: Man...\Nobu-chan got her happy ending,\Fortunes\You there.\M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that? response:	Oh? What is it?
context: Nobu-chan got her happy ending,\Fortunes\You there.\M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that?\Oh? What is it? response:	One is a woman much older than you.
context: Fortunes\You there.\M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that?\Oh? What is it?\One is a woman much older than you. response:	The other is a woman over 170 cm tall,
context: You there.\M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that?\Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall, response:	You're right about the older woman...
context: M-Me?\You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that?\Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman... response:	Sorry. I've gotta get to work.
context: You're going to have some woman trouble soon.\That's what this baby here just told me.\What was that?\Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work. response:	Wait! The fortune-telling fee!
context: That's what this baby here just told me.\What was that?\Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee! response:	Sheesh. And my powers were working properly for once, too...
context: What was that?\Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too... response:	This short boy would end up having an even bigger impact on us than Nobu-chan,
context: Oh? What is it?\One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan, response:	Koizumi is cheating on me with a short guy from work?!
context: One is a woman much older than you.\The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?! response:	No, no. Who would date a guy that short if they had a choice?
context: The other is a woman over 170 cm tall,\You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice? response:	Are you making fun of me?!
context: You're right about the older woman...\Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice?\Are you making fun of me?! response:	Uh...
context: Sorry. I've gotta get to work.\Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice?\Are you making fun of me?!\Uh... response:	Lovely Complex Love Com.
context: Wait! The fortune-telling fee!\Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice?\Are you making fun of me?!\Uh...\Lovely Complex Love Com. response:	Next: Otani's Catastrophic Declaration!!
context: Sheesh. And my powers were working properly for once, too...\This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice?\Are you making fun of me?!\Uh...\Lovely Complex Love Com.\Next: Otani's Catastrophic Declaration!! response:	Otani's Catastrophic Declaration!!
context: This short boy would end up having an even bigger impact on us than Nobu-chan,\Koizumi is cheating on me with a short guy from work?!\No, no. Who would date a guy that short if they had a choice?\Are you making fun of me?!\Uh...\Lovely Complex Love Com.\Next: Otani's Catastrophic Declaration!!\Otani's Catastrophic Declaration!! response:	Be sure to watch!
