context: It's hot! It's hot! It's hot! response:	Once upon a time, there lived a grandmother and a grandfather.
context: No. Stop it, you perv!\Usui-san, what are you making Prez listen to?\She looks like she's having a nightmare.\My special folk tale.\By the way, the Moron Trio ends up as the two's dinner,\but that's a whole different story as well.\We were food until the end...\Why? response:	It's horrible.
context: Usui-san, what are you making Prez listen to?\She looks like she's having a nightmare.\My special folk tale.\By the way, the Moron Trio ends up as the two's dinner,\but that's a whole different story as well.\We were food until the end...\Why?\It's horrible. response:	Okay. Then the Trio lived safe and sound.
context: She looks like she's having a nightmare.\My special folk tale.\By the way, the Moron Trio ends up as the two's dinner,\but that's a whole different story as well.\We were food until the end...\Why?\It's horrible.\Okay. Then the Trio lived safe and sound. response:	Dog was named Pochi and became Sakura Jii-san's pet.
context: My special folk tale.\By the way, the Moron Trio ends up as the two's dinner,\but that's a whole different story as well.\We were food until the end...\Why?\It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet. response:	Pochi...
context: By the way, the Moron Trio ends up as the two's dinner,\but that's a whole different story as well.\We were food until the end...\Why?\It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi... response:	Pheasant arbitrarily ate Grandmother's starch...
context: but that's a whole different story as well.\We were food until the end...\Why?\It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch... response:	Monkey tricked the crab and snagged his rice ball...
context: We were food until the end...\Why?\It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball... response:	Don't kill us!
context: Why?\It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us! response:	All is well that ends well.
context: It's horrible.\Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well. response:	It pisses me off that Usui was controlling the dream.
context: Okay. Then the Trio lived safe and sound.\Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream. response:	You like adventures, so you enjoyed it, right?
context: Dog was named Pochi and became Sakura Jii-san's pet.\Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right? response:	When did I say I liked adventures?
context: Pochi...\Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures? response:	Misaki! Check this out!
context: Pheasant arbitrarily ate Grandmother's starch...\Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out! response:	What is it, Sakura? You're happier than ever.
context: Monkey tricked the crab and snagged his rice ball...\Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever. response:	There's a really cool band.
context: Don't kill us!\All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band. response:	You agree right, Shizuko?
context: All is well that ends well.\It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band.\You agree right, Shizuko? response:	No. Not interested.
context: It pisses me off that Usui was controlling the dream.\You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band.\You agree right, Shizuko?\No. Not interested. response:	Let's have a party!
context: You like adventures, so you enjoyed it, right?\When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band.\You agree right, Shizuko?\No. Not interested.\Let's have a party! response:	I hear we'll have a tea party with the band men.
context: When did I say I liked adventures?\Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band.\You agree right, Shizuko?\No. Not interested.\Let's have a party!\I hear we'll have a tea party with the band men. response:	What? Band men?
context: Misaki! Check this out!\What is it, Sakura? You're happier than ever.\There's a really cool band.\You agree right, Shizuko?\No. Not interested.\Let's have a party!\I hear we'll have a tea party with the band men.\What? Band men? response:	Doesn't band men sound new now since it's so old?
