context: Just now joining us, Julius? response:	Thanks for gracing us with your presence.
context: I am telling you to be strong.\Ready to go?\Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open. response:	We can get Emilia and the others in carriages,
context: Ready to go?\Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages, response:	and get them to safety in plain sight.
context: Yeah, let's go.\Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight. response:	With Emilia-sama and the others safe, we won't have to worry about them.
context: Lend me your wisdom and strength!\We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them. response:	So we can focus on subjugating the Witch's Cult.
context: We're gonna start evacuating the mansion and village!\Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult. response:	Fighting isn't easy when you know you have a weak point!
context: Don't waste a single second!\Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point! response:	You're making my ears hurt...
context: Right now,\the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt... response:	But that's exactly right.
context: the Witch's Cult hasn't noticed yet that the plain is wide open.\We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right. response:	While I'm at it, let me say one more thing.
context: We can get Emilia and the others in carriages,\and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing. response:	Subaru- kyun, you should really make up with Julius soon.
context: and get them to safety in plain sight.\With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon. response:	Soon? We already reconciled after our fight.
context: With Emilia-sama and the others safe, we won't have to worry about them.\So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight. response:	You didn't see?
context: So we can focus on subjugating the Witch's Cult.\Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see? response:	That was just for starters, wasn't it?
context: Fighting isn't easy when you know you have a weak point!\You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it? response:	You still subconsciously harbor resentment.
context: You're making my ears hurt...\But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment. response:	You can rely on Julius.
context: But that's exactly right.\While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius. response:	But I admit he is a bit unapproachable and incomprehensible.
context: While I'm at it, let me say one more thing.\Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius.\But I admit he is a bit unapproachable and incomprehensible. response:	Go on, hurry up.
context: Subaru- kyun, you should really make up with Julius soon.\Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius.\But I admit he is a bit unapproachable and incomprehensible.\Go on, hurry up. response:	Okay, fine!
context: Soon? We already reconciled after our fight.\You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius.\But I admit he is a bit unapproachable and incomprehensible.\Go on, hurry up.\Okay, fine! response:	Uh...
context: You didn't see?\That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius.\But I admit he is a bit unapproachable and incomprehensible.\Go on, hurry up.\Okay, fine!\Uh... response:	So, hey, there's something I wanted to say to you...
context: That was just for starters, wasn't it?\You still subconsciously harbor resentment.\You can rely on Julius.\But I admit he is a bit unapproachable and incomprehensible.\Go on, hurry up.\Okay, fine!\Uh...\So, hey, there's something I wanted to say to you... response:	A Flash of Sloth
