context: It's Oracion Seis vs. our Allied Forces! response:	But all of a sudden the magical bomber Christina, our trump card, was blown up!
context: I can't believe they ambushed us like this.\That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men!\And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men! response:	Seriously...
context: That's the Wizard Saint, Jura!\Defeating him would make an excellent trophy!\Men!\And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men!\Seriously... response:	This took longer than I thought.
context: Defeating him would make an excellent trophy!\Men!\And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men!\Seriously...\This took longer than I thought. response:	I couldn't get any speed with something this heavy.
context: Men!\And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men!\Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy. response:	Don't be so hard on yourself. No one is faster than you.
context: And this man as well...\Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men!\Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you. response:	That's...
context: Wait... I got separated and now I'm all alone...\So... I'm definitely not anyone suspicious...\Men!\Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's... response:	A coffin!
context: So... I'm definitely not anyone suspicious...\Men!\Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's...\A coffin! response:	Wendy... You're going to heal this man for me.
context: Men!\Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's...\A coffin!\Wendy... You're going to heal this man for me. response:	I will do no such thing!
context: Seriously...\This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's...\A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing! response:	Yes, that's right!
context: This took longer than I thought.\I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's...\A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right! response:	Oh, you will heal him.
context: I couldn't get any speed with something this heavy.\Don't be so hard on yourself. No one is faster than you.\That's...\A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right!\Oh, you will heal him. response:	You must.
context: Don't be so hard on yourself. No one is faster than you.\That's...\A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right!\Oh, you will heal him.\You must. response:	What?
context: That's...\A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right!\Oh, you will heal him.\You must.\What? response:	This is Jellal.
context: A coffin!\Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right!\Oh, you will heal him.\You must.\What?\This is Jellal. response:	He had at one time infiltrated the Council.
context: Wendy... You're going to heal this man for me.\I will do no such thing!\Yes, that's right!\Oh, you will heal him.\You must.\What?\This is Jellal.\He had at one time infiltrated the Council. response:	No...
context: I will do no such thing!\Yes, that's right!\Oh, you will heal him.\You must.\What?\This is Jellal.\He had at one time infiltrated the Council.\No... response:	No!
context: Yes, that's right!\Oh, you will heal him.\You must.\What?\This is Jellal.\He had at one time infiltrated the Council.\No...\No! response:	In other words... He's someone who knows where Nirvana is.
context: Oh, you will heal him.\You must.\What?\This is Jellal.\He had at one time infiltrated the Council.\No...\No!\In other words... He's someone who knows where Nirvana is. response:	Jellal?
context: You must.\What?\This is Jellal.\He had at one time infiltrated the Council.\No...\No!\In other words... He's someone who knows where Nirvana is.\Jellal? response:	But why? How can he be alive?
context: What?\This is Jellal.\He had at one time infiltrated the Council.\No...\No!\In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive? response:	Jellal...
context: This is Jellal.\He had at one time infiltrated the Council.\No...\No!\In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive?\Jellal... response:	You know him?
context: He had at one time infiltrated the Council.\No...\No!\In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive?\Jellal...\You know him? response:	He was bathed in Ethernano and became like this...
context: No...\No!\In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive?\Jellal...\You know him?\He was bathed in Ethernano and became like this... response:	But he is not actually dead, you see.
context: No!\In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive?\Jellal...\You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see. response:	You are the only one who can return him to the way he was.
context: In other words... He's someone who knows where Nirvana is.\Jellal?\But why? How can he be alive?\Jellal...\You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was. response:	This man saved your life, did he not?
context: Jellal?\But why? How can he be alive?\Jellal...\You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not? response:	Man, we've got monkeys comin' out of the woodwork!
context: But why? How can he be alive?\Jellal...\You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork! response:	Natsu, these guys are from a Dark Guild!
context: Jellal...\You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild! response:	Perfect!
context: You know him?\He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect! response:	I'll beat'em and get'em to tell us where Wendy is!
context: He was bathed in Ethernano and became like this...\But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is! response:	Hey! Don't forget about me, got it?
context: But he is not actually dead, you see.\You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is!\Hey! Don't forget about me, got it? response:	Guess it's time for a light warm up before the big boss fight!
context: You are the only one who can return him to the way he was.\This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is!\Hey! Don't forget about me, got it?\Guess it's time for a light warm up before the big boss fight! response:	Next time: The Girl and the Ghost.
context: This man saved your life, did he not?\Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is!\Hey! Don't forget about me, got it?\Guess it's time for a light warm up before the big boss fight!\Next time: The Girl and the Ghost. response:	Don't let your guard down, or you'll end up without a leg to stand on!
context: Man, we've got monkeys comin' out of the woodwork!\Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is!\Hey! Don't forget about me, got it?\Guess it's time for a light warm up before the big boss fight!\Next time: The Girl and the Ghost.\Don't let your guard down, or you'll end up without a leg to stand on! response:	Whatever, just leave it to me!
context: Natsu, these guys are from a Dark Guild!\Perfect!\I'll beat'em and get'em to tell us where Wendy is!\Hey! Don't forget about me, got it?\Guess it's time for a light warm up before the big boss fight!\Next time: The Girl and the Ghost.\Don't let your guard down, or you'll end up without a leg to stand on!\Whatever, just leave it to me! response:	He's useless... I think I'll root for Gray.
