context: Well then, let's get started. response:	Hey hey, wait a second!
context: You've done enough.\You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all...\I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru! response:	OP/ED
context: You don't have to suffer by yourself anymore.\Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all...\I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED response:	itsumo hitori de aruiteta
context: Thank you for thinking about us for so long, Onee - chan!\< Preview >\Being able to spend this time with you all...\I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta response:	furikaeru to minna wa tooku
context: < Preview >\Being able to spend this time with you all...\I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku response:	sore demo atashi wa aruita
context: Being able to spend this time with you all...\I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita response:	sore ga tsuyosa datta
context: I'm truly blessed.\Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta response:	mou nani mo kowakunai
context: Thank you so much.\Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai response:	sou tsubuyaitemiseru
context: Representative of the graduating class, Otonashi Yuzuru!\OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru response:	itsuka hito wa hitori ni natte
context: OP/ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte response:	omoide no naka ni ikiteku dake
context: itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake response:	kodoku sae aishi waratterareru you ni
context: furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni response:	atashi wa tatakaunda
context: sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda response:	namida nante misenainda
context: sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda response:	HH
context: mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH response:	I've always walked alone
context: sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone response:	When I turn around, everyone's far behind
context: itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind response:	Even so, I kept walking
context: omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking response:	That was what strength was
context: kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was response:	I'm not afraid of anything anymore,
context: atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore, response:	I try to whisper to myself
context: namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself response:	Everyone becomes alone someday
context: HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday response:	They live on only in memories
context: I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories response:	So I can laugh with my heart, even in this loneliness
context: When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness response:	I will fight
context: Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight response:	I will show no tears
context: That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears response:	TS
context: I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS response:	Anti - Angel Operations Headquarters
context: I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Anti - Angel Operations Headquarters response:	Guild Accessway B2
context: Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Anti - Angel Operations Headquarters\Guild Accessway B2 response:	First Contact Bridge
context: They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge response:	Guild Accessway B7
context: So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge\Guild Accessway B7 response:	Academy Main Dining Hall - Interior
context: I will fight\I will show no tears\TS\Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge\Guild Accessway B7\Academy Main Dining Hall - Interior response:	Old Guild
context: I will show no tears\TS\Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge\Guild Accessway B7\Academy Main Dining Hall - Interior\Old Guild response:	Guild Accessway B20
context: TS\Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge\Guild Accessway B7\Academy Main Dining Hall - Interior\Old Guild\Guild Accessway B20 response:	Second Computer Lab
context: Anti - Angel Operations Headquarters\Guild Accessway B2\First Contact Bridge\Guild Accessway B7\Academy Main Dining Hall - Interior\Old Guild\Guild Accessway B20\Second Computer Lab response:	32 of 4GB used
context: Guild Accessway B2\First Contact Bridge\Guild Accessway B7\Academy Main Dining Hall - Interior\Old Guild\Guild Accessway B20\Second Computer Lab\32 of 4GB used response:	Folder scan
