context: How do you like the pleasure of being enveloped by Junketsu? response:	I had no idea...
context: Shut up!\Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko!\Ryuko!\Matoi...\Oopsie, looks like they failed to win her over. response:	Ryuko, let's sink this tub!
context: Dummy, dummy, dummy! Fine, go ahead and kill me!\If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko!\Ryuko!\Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub! response:	What?
context: If you're so intent on staying cooped up in here,\kill me and give up on being my Ryuko!\Ryuko!\Ryuko!\Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What? response:	Give your crap a rest!
context: kill me and give up on being my Ryuko!\Ryuko!\Ryuko!\Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What?\Give your crap a rest! response:	Impossible!
context: Ryuko!\Ryuko!\Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What?\Give your crap a rest!\Impossible! response:	How dare you bastards put me into this outfit!
context: Ryuko!\Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What?\Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit! response:	Ryuko!
context: Matoi...\Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What?\Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit!\Ryuko! response:	Ryuko!
context: Oopsie, looks like they failed to win her over.\Ryuko, let's sink this tub!\What?\Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit!\Ryuko!\Ryuko! response:	I'm tired of all of this.
context: Ryuko, let's sink this tub!\What?\Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit!\Ryuko!\Ryuko!\I'm tired of all of this. response:	Ryuko!
context: What?\Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit!\Ryuko!\Ryuko!\I'm tired of all of this.\Ryuko! response:	I want it off!
context: Give your crap a rest!\Impossible!\How dare you bastards put me into this outfit!\Ryuko!\Ryuko!\I'm tired of all of this.\Ryuko!\I want it off! response:	- Matoi! - Transfer student!
context: Impossible!\How dare you bastards put me into this outfit!\Ryuko!\Ryuko!\I'm tired of all of this.\Ryuko!\I want it off!\- Matoi! - Transfer student! response:	I WANT IT OFF!
context: How dare you bastards put me into this outfit!\Ryuko!\Ryuko!\I'm tired of all of this.\Ryuko!\I want it off!\- Matoi! - Transfer student!\I WANT IT OFF! response:	Stop, Matoi! If you tear it off, you'll die!
context: Ryuko!\Ryuko!\I'm tired of all of this.\Ryuko!\I want it off!\- Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die! response:	I'd rather be dead!
context: Ryuko!\I'm tired of all of this.\Ryuko!\I want it off!\- Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead! response:	I have to take this off even if I die!
context: I'm tired of all of this.\Ryuko!\I want it off!\- Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die! response:	Because if I don't...
context: Ryuko!\I want it off!\- Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die!\Because if I don't... response:	I won't be able to wear Senketsu again!
context: I want it off!\- Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again! response:	NEXT EPISODE PREVIEW
context: - Matoi! - Transfer student!\I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW response:	Someone once said that each person's life is a tapestry.
context: I WANT IT OFF!\Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry. response:	A TAPESTRY
context: Stop, Matoi! If you tear it off, you'll die!\I'd rather be dead!\I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY response:	The time has come for two woven tapestries that
context: I'd rather be dead!\I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that response:	WOVEN
context: I have to take this off even if I die!\Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that\WOVEN response:	can never intermingle to overlap and become one.
context: Because if I don't...\I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one. response:	OVERLAP
context: I won't be able to wear Senketsu again!\NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one.\OVERLAP response:	The impetus for this... is croquettes?
context: NEXT EPISODE PREVIEW\Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one.\OVERLAP\The impetus for this... is croquettes? response:	IMPETUS
context: Someone once said that each person's life is a tapestry.\A TAPESTRY\The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one.\OVERLAP\The impetus for this... is croquettes?\IMPETUS response:	CORQUETTES!?
context: A TAPESTRY\The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one.\OVERLAP\The impetus for this... is croquettes?\IMPETUS\CORQUETTES!? response:	Next time on Kill la Kill, Tell Me How You Feel.
context: The time has come for two woven tapestries that\WOVEN\can never intermingle to overlap and become one.\OVERLAP\The impetus for this... is croquettes?\IMPETUS\CORQUETTES!?\Next time on Kill la Kill, Tell Me How You Feel. response:	TELL ME HOW YOU FEEL
context: WOVEN\can never intermingle to overlap and become one.\OVERLAP\The impetus for this... is croquettes?\IMPETUS\CORQUETTES!?\Next time on Kill la Kill, Tell Me How You Feel.\TELL ME HOW YOU FEEL response:	EPISODE 22
