context: Dungeons are places such as abandoned structures, response:	fortresses, shrines, or caves.
context: What's wrong, Miss Minori?\Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one?\Stop!\We haven't checked over there yet! response:	Five skeletons.
context: Have you fallen in love with my beautiful magic?\They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one?\Stop!\We haven't checked over there yet!\Five skeletons. response:	Tohya, fall back!
context: They're targeting you...\Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one?\Stop!\We haven't checked over there yet!\Five skeletons.\Tohya, fall back! response:	No, my health's recovered.
context: Wh-What's happening?!\Skeleton Archer Rank/ Normal\There's another one?\Stop!\We haven't checked over there yet!\Five skeletons.\Tohya, fall back!\No, my health's recovered. response:	I'll tank!
context: Skeleton Archer Rank/ Normal\There's another one?\Stop!\We haven't checked over there yet!\Five skeletons.\Tohya, fall back!\No, my health's recovered.\I'll tank! response:	They'll attack from multiple directions.
context: There's another one?\Stop!\We haven't checked over there yet!\Five skeletons.\Tohya, fall back!\No, my health's recovered.\I'll tank!\They'll attack from multiple directions. response:	At times like these, I must stay calm.
context: Stop!\We haven't checked over there yet!\Five skeletons.\Tohya, fall back!\No, my health's recovered.\I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm. response:	First, I should cast magic to protect the front row.
context: We haven't checked over there yet!\Five skeletons.\Tohya, fall back!\No, my health's recovered.\I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row. response:	No... It takes too long to cast!
context: Five skeletons.\Tohya, fall back!\No, my health's recovered.\I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast! response:	Then I'll just burn them to ash again!
context: Tohya, fall back!\No, my health's recovered.\I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again! response:	Wait!
context: No, my health's recovered.\I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait! response:	Wh-What's happening?
context: I'll tank!\They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait!\Wh-What's happening? response:	Rundel Haus's aggro exceeded Tohya's!
context: They'll attack from multiple directions.\At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's! response:	What?!
context: At times like these, I must stay calm.\First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?! response:	It's no good!
context: First, I should cast magic to protect the front row.\No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good! response:	My healing magic won't make it in time!
context: No... It takes too long to cast!\Then I'll just burn them to ash again!\Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good!\My healing magic won't make it in time! response:	Only one thing left!
context: Then I'll just burn them to ash again!\Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good!\My healing magic won't make it in time!\Only one thing left! response:	Run!
context: Wait!\Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good!\My healing magic won't make it in time!\Only one thing left!\Run! response:	This is pathetic...
context: Wh-What's happening?\Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good!\My healing magic won't make it in time!\Only one thing left!\Run!\This is pathetic... response:	This is truly pathetic!
context: Rundel Haus's aggro exceeded Tohya's!\What?!\It's no good!\My healing magic won't make it in time!\Only one thing left!\Run!\This is pathetic...\This is truly pathetic! response:	Your army must be very fortunate to have a commander like you.
context: What?!\It's no good!\My healing magic won't make it in time!\Only one thing left!\Run!\This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you. response:	Your strength rivals the Eastern Knights!
context: It's no good!\My healing magic won't make it in time!\Only one thing left!\Run!\This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights! response:	You flatter me.
context: My healing magic won't make it in time!\Only one thing left!\Run!\This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me. response:	How about it?
context: Only one thing left!\Run!\This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me.\How about it? response:	I brought some good alcohol from home.
context: Run!\This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me.\How about it?\I brought some good alcohol from home. response:	The sun's setting... Why not join me for a drink?
context: This is pathetic...\This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me.\How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink? response:	I'm sorry, Lord Kiliva...
context: This is truly pathetic!\Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me.\How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva... response:	But I have another engagement.
context: Your army must be very fortunate to have a commander like you.\Your strength rivals the Eastern Knights!\You flatter me.\How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement. response:	Another engagement?
context: Your strength rivals the Eastern Knights!\You flatter me.\How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement? response:	Oh, Princess Lenessia...
context: You flatter me.\How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, Princess Lenessia... response:	I understand.
context: How about it?\I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, Princess Lenessia...\I understand. response:	I can't interfere with that, after all.
context: I brought some good alcohol from home.\The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all. response:	A pleasure to meet you.
context: The sun's setting... Why not join me for a drink?\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all.\A pleasure to meet you. response:	I am the adventurer Crusty.
context: I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement?\Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty. response:	The winter rose of Eastal.
context: But I have another engagement.\Another engagement?\Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal. response:	Long, silvery hair,
context: Another engagement?\Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair, response:	a delicate curve to her neck,
context: Oh, Princess Lenessia...\I understand.\I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck, response:	a mysterious light in her blue-gray eyes.
context: I understand.\I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck,\a mysterious light in her blue-gray eyes. response:	Her name is Lenessia El Arte Cowen.
context: I can't interfere with that, after all.\A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck,\a mysterious light in her blue-gray eyes.\Her name is Lenessia El Arte Cowen. response:	Her dream is to lie in bed all day, in her pajamas.
context: A pleasure to meet you.\I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck,\a mysterious light in her blue-gray eyes.\Her name is Lenessia El Arte Cowen.\Her dream is to lie in bed all day, in her pajamas. response:	Shield and Freedom
context: I am the adventurer Crusty.\The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck,\a mysterious light in her blue-gray eyes.\Her name is Lenessia El Arte Cowen.\Her dream is to lie in bed all day, in her pajamas.\Shield and Freedom response:	Next time: Shield and Freedom.
context: The winter rose of Eastal.\Long, silvery hair,\a delicate curve to her neck,\a mysterious light in her blue-gray eyes.\Her name is Lenessia El Arte Cowen.\Her dream is to lie in bed all day, in her pajamas.\Shield and Freedom\Next time: Shield and Freedom. response:	Always look thirty seconds ahead.
