context: Until the competition is over, response:	there will be no practice.
context: What is that? What's that? So fast already?\So they're done already!!\Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you. response:	Wh...what is this!!
context: So they're done already!!\Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!! response:	Although it's an exaggerated copy,
context: Done already???\Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy, response:	there are some of you who won in the Oshiuri Competition,
context: Mesmerizing Cellist?\The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition, response:	so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori
context: The Orient's Bright Red Ruby?\The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori response:	Okay? I'm counting on you!
context: The Young Lord of Music! It suits him very well!\Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you! response:	Shall we practice now?
context: Japan's new-style youth perform together\An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now? response:	Yes, yes.. yes..let's practice..
context: An overnight dream for you.\Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice.. response:	Yes.. let's practice!
context: Wh...what is this!!\Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice! response:	Let's practice! Practice!
context: Although it's an exaggerated copy,\there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice! response:	Soon, it will be the opening time for the performance..
context: there are some of you who won in the Oshiuri Competition,\so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance.. response:	Here's the score.. and the baton..
context: so it has quite an influence on it! The Aloof Oboe Kuroki Yasunori\Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton.. response:	before that, I'll smoke a cigarette first.
context: Okay? I'm counting on you!\Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first. response:	It's time.. Hurry up!
context: Shall we practice now?\Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up! response:	Ah! What is it?
context: Yes, yes.. yes..let's practice..\Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it? response:	Dammit!
context: Yes.. let's practice!\Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it?\Dammit! response:	Woohh! You startled me!
context: Let's practice! Practice!\Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it?\Dammit!\Woohh! You startled me! response:	Ss-ss-senpai, ww...what's wrong with you? You look so pale.
context: Soon, it will be the opening time for the performance..\Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it?\Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale. response:	Dream That dream again..
context: Here's the score.. and the baton..\before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it?\Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again.. response:	Recently I keep having strange dreams...
context: before that, I'll smoke a cigarette first.\It's time.. Hurry up!\Ah! What is it?\Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams... response:	Strange dreams?
context: It's time.. Hurry up!\Ah! What is it?\Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams...\Strange dreams? response:	Maybe it is related to airplanes...
context: Ah! What is it?\Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes... response:	I think you already knew
context: Dammit!\Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes...\I think you already knew response:	that I can't ride on a plane..
context: Woohh! You startled me!\Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane.. response:	Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing
context: Ss-ss-senpai, ww...what's wrong with you? You look so pale.\Dream That dream again..\Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing response:	After that, I became phobic to airplanes
context: Dream That dream again..\Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes response:	Though I've forgotten that for a while...
context: Recently I keep having strange dreams...\Strange dreams?\Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while... response:	But lately.. I started to have nightmares very often
context: Strange dreams?\Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often response:	On top of that, they're not understandable at all
context: Maybe it is related to airplanes...\I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all response:	What was that I wonder...
context: I think you already knew\that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder... response:	Dammit!
context: that I can't ride on a plane..\Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder...\Dammit! response:	Senpai, is airplane phobia incurable?
context: Ten years ago, when I returned from Prague, my plane was forced to make an emergency landing\After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable? response:	Since a long time ago, I took various treatments...
context: After that, I became phobic to airplanes\Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments... response:	such as psychosomatic medicine, hypnotherapy...
context: Though I've forgotten that for a while...\But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy... response:	But they couldn't hypnotyze me
context: But lately.. I started to have nightmares very often\On top of that, they're not understandable at all\What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me response:	It seems that my guard is strong
context: On top of that, they're not understandable at all\What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong response:	I also went to faith healers and spritualistic medium,
context: What was that I wonder...\Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium, response:	I already tried everything that I thought I could rely on
context: Dammit!\Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on response:	Senpai, have you ever tried this?
context: Senpai, is airplane phobia incurable?\Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this? response:	I've seen it in movies
context: Since a long time ago, I took various treatments...\such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies response:	You're getting sleepy...
context: such as psychosomatic medicine, hypnotherapy...\But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy... response:	Silly!
context: But they couldn't hypnotyze me\It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy...\Silly! response:	That's called fixed-gaze method, I've already tried it using a pen-light.
context: It seems that my guard is strong\I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light. response:	So you've experienced it before..
context: I also went to faith healers and spritualistic medium,\I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before.. response:	But have you ever done it using a watch?
context: I already tried everything that I thought I could rely on\Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch? response:	If such a mere thing works,
context: Senpai, have you ever tried this?\I've seen it in movies\You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works, response:	up to now...
context: I've seen it in movies\You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works,\up to now... response:	Senpai? Please wake up!
context: You're getting sleepy...\Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works,\up to now...\Senpai? Please wake up! response:	What should I do
context: Silly!\That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works,\up to now...\Senpai? Please wake up!\What should I do response:	Wake up!
context: That's called fixed-gaze method, I've already tried it using a pen-light.\So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works,\up to now...\Senpai? Please wake up!\What should I do\Wake up! response:	Mooshha!!!
context: So you've experienced it before..\But have you ever done it using a watch?\If such a mere thing works,\up to now...\Senpai? Please wake up!\What should I do\Wake up!\Mooshha!!! response:	You're getting sleepy...getting sleepy...
context: But have you ever done it using a watch?\If such a mere thing works,\up to now...\Senpai? Please wake up!\What should I do\Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy... response:	Green Caterpillar Bookshop
context: If such a mere thing works,\up to now...\Senpai? Please wake up!\What should I do\Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop response:	Understand Well Hypnotism Book
context: up to now...\Senpai? Please wake up!\What should I do\Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book response:	What things are there in a phobia?
context: Senpai? Please wake up!\What should I do\Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia? response:	What is the cause of the phobia?
context: What should I do\Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia? response:	Experience in childhood
context: Wake up!\Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood response:	Listen to his story at those days, make his insecurities and worries lighter.
context: Mooshha!!!\You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter. response:	Am I still confused?
context: You're getting sleepy...getting sleepy...\Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused? response:	Do I really want to go abroad that much?
context: Green Caterpillar Bookshop\Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much? response:	I'm quite angry at myself
context: Understand Well Hypnotism Book\What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself response:	for my own mental instability
context: What things are there in a phobia?\What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability response:	I'll be alright
context: What is the cause of the phobia?\Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability\I'll be alright response:	My confusion will certainly
context: Experience in childhood\Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability\I'll be alright\My confusion will certainly response:	be resolved in this Oke!
context: Listen to his story at those days, make his insecurities and worries lighter.\Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability\I'll be alright\My confusion will certainly\be resolved in this Oke! response:	Everybody, please buy this! They start to be sold now!
context: Am I still confused?\Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability\I'll be alright\My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now! response:	Mine-san, more of Chiaki-Sama please!
context: Do I really want to go abroad that much?\I'm quite angry at myself\for my own mental instability\I'll be alright\My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please! response:	Sure!
context: I'm quite angry at myself\for my own mental instability\I'll be alright\My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure! response:	Why do we have to do such a thing like this?!
context: for my own mental instability\I'll be alright\My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?! response:	We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!
context: I'll be alright\My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star! response:	Everybody!
context: My confusion will certainly\be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody! response:	Don't forget to buy my son's Ryuutaroo T-Shirts too!
context: be resolved in this Oke!\Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too! response:	Okay?
context: Everybody, please buy this! They start to be sold now!\Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay? response:	They really did it, didn't they?!
context: Mine-san, more of Chiaki-Sama please!\Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?! response:	You mean me? Me??
context: Sure!\Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?!\You mean me? Me?? response:	Hey, you...Aren't you the boy here?
context: Why do we have to do such a thing like this?!\We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here? response:	Wow! He's the real thing!!
context: We can't help it, can we? He said that if we help him he'll give us free tickets to Rising Star!\Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!! response:	Let's do our best, Concert Master! Umm, no...
context: Everybody!\Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no... response:	My...Bright Red Ruby!
context: Don't forget to buy my son's Ryuutaroo T-Shirts too!\Okay?\They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby! response:	Ah!
context: Okay?\They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah! response:	Could it be that that is Rising S...!!
context: They really did it, didn't they?!\You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!! response:	Huh? What's wrong, Kiyora?
context: You mean me? Me??\Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora? response:	Eh? Are you going to come too, Mom?
context: Hey, you...Aren't you the boy here?\Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom? response:	Of course! It's my son's gala stage!
context: Wow! He's the real thing!!\Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage! response:	Because Saiko-chan kindly called me
context: Let's do our best, Concert Master! Umm, no...\My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me response:	I thought certainly the two of you were still dating...
context: My...Bright Red Ruby!\Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating... response:	Shinichi, is it true that you have a new girlfriend?
context: Ah!\Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend? response:	Huh?
context: Could it be that that is Rising S...!!\Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh? response:	You'll introduce her to me, won't you?
context: Huh? What's wrong, Kiyora?\Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you? response:	You don't have to come.
context: Eh? Are you going to come too, Mom?\Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you?\You don't have to come. response:	Do your best!
context: Of course! It's my son's gala stage!\Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you?\You don't have to come.\Do your best! response:	Please do your best, Shinichi.
context: Because Saiko-chan kindly called me\I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you?\You don't have to come.\Do your best!\Please do your best, Shinichi. response:	I'm fine now
context: I thought certainly the two of you were still dating...\Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you?\You don't have to come.\Do your best!\Please do your best, Shinichi.\I'm fine now response:	I have things I can do here too. (in Japan)
context: Shinichi, is it true that you have a new girlfriend?\Huh?\You'll introduce her to me, won't you?\You don't have to come.\Do your best!\Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan) response:	Really..
context: Huh?\You'll introduce her to me, won't you?\You don't have to come.\Do your best!\Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan)\Really.. response:	Nodame, wait.
context: You'll introduce her to me, won't you?\You don't have to come.\Do your best!\Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan)\Really..\Nodame, wait. response:	Here, a ticket for tomorrow.
context: You don't have to come.\Do your best!\Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan)\Really..\Nodame, wait.\Here, a ticket for tomorrow. response:	Oh, if ticket, Nodame already bought one.
context: Do your best!\Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan)\Really..\Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one. response:	Look!
context: Please do your best, Shinichi.\I'm fine now\I have things I can do here too. (in Japan)\Really..\Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look! response:	As I thought, the cheapest seat
context: I'm fine now\I have things I can do here too. (in Japan)\Really..\Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat response:	This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen
context: I have things I can do here too. (in Japan)\Really..\Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen response:	Wow!
context: Really..\Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow! response:	I'll give it to you for free. Use this one!
context: Nodame, wait.\Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one! response:	Is this Girlfriend Seat?
context: Here, a ticket for tomorrow.\Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat? response:	No
context: Oh, if ticket, Nodame already bought one.\Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No response:	Senpai, if your airplane phobia is cured, what are you going to do?
context: Look!\As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do? response:	Ha?
context: As I thought, the cheapest seat\This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha? response:	What are you going to do?
context: This is the best seat! First Floor, 13th Row, Seat 24, 5000 yen\Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do? response:	As I thought...
context: Wow!\I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do?\As I thought... response:	Anyway, listen...
context: I'll give it to you for free. Use this one!\Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do?\As I thought...\Anyway, listen... response:	to Ore-sama's music!
context: Is this Girlfriend Seat?\No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do?\As I thought...\Anyway, listen...\to Ore-sama's music! response:	Laymen must not imitate this kind of thing...
context: No\Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do?\As I thought...\Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing... response:	Kikuchi-kun is so cool, isn't he?
context: Senpai, if your airplane phobia is cured, what are you going to do?\Ha?\What are you going to do?\As I thought...\Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he? response:	The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer!
context: Ha?\What are you going to do?\As I thought...\Anyway, listen...\to Ore-sama's music!\Laymen must not imitate this kind of thing...\Kikuchi-kun is so cool, isn't he?\The most wonderful is Miki Kiyora, isn't it? Yes, she's a great newcomer! response:	By the way...this Chiaki Shinichi...who's he?
