context: And, the one-inch-boy, wearing a needle sword response:	that his grandfather made,
context: Minami-kun.\What is it?\What is it?\If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you.\You are. response:	You don't look like that when you're with Nomura-san.
context: What is it?\What is it?\If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san. response:	You were with Nomura-san this whole time?
context: What is it?\If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time? response:	Are you dating Nomura-san?
context: If you don't have anything, I'm going.\Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san? response:	What are you saying?
context: Why do you ignore me?\I'm asking, why do you ignore me?\I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying? response:	It's none of your business.
context: I'm asking, why do you ignore me?\I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying?\It's none of your business. response:	That's right.
context: I'm not ignoring you.\You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying?\It's none of your business.\That's right. response:	It's none of my business.
context: You are.\You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying?\It's none of your business.\That's right.\It's none of my business. response:	Sorry, for being abrupt.
context: You don't look like that when you're with Nomura-san.\You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying?\It's none of your business.\That's right.\It's none of my business.\Sorry, for being abrupt. response:	What is this?
context: You were with Nomura-san this whole time?\Are you dating Nomura-san?\What are you saying?\It's none of your business.\That's right.\It's none of my business.\Sorry, for being abrupt.\What is this? response:	By the way, don't show up wherever I go.
context: Are you dating Nomura-san?\What are you saying?\It's none of your business.\That's right.\It's none of my business.\Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go. response:	Me?
context: What are you saying?\It's none of your business.\That's right.\It's none of my business.\Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go.\Me? response:	You were just there.
context: It's none of your business.\That's right.\It's none of my business.\Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go.\Me?\You were just there. response:	When Nomura and I were walking.
context: That's right.\It's none of my business.\Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go.\Me?\You were just there.\When Nomura and I were walking. response:	That's not really...
context: It's none of my business.\Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go.\Me?\You were just there.\When Nomura and I were walking.\That's not really... response:	Well, I don't really care.
context: Sorry, for being abrupt.\What is this?\By the way, don't show up wherever I go.\Me?\You were just there.\When Nomura and I were walking.\That's not really...\Well, I don't really care. response:	I came out now because I had a fight with my parents.
context: What is this?\By the way, don't show up wherever I go.\Me?\You were just there.\When Nomura and I were walking.\That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents. response:	A fight?
context: By the way, don't show up wherever I go.\Me?\You were just there.\When Nomura and I were walking.\That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents.\A fight? response:	When I told them I'm not going to college,
context: Me?\You were just there.\When Nomura and I were walking.\That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college, response:	Dad and Mom got angry.
context: You were just there.\When Nomura and I were walking.\That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college,\Dad and Mom got angry. response:	You're not going to college?
context: When Nomura and I were walking.\That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college? response:	I have something I want to do.
context: That's not really...\Well, I don't really care.\I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college?\I have something I want to do. response:	But they won't even listen to me. All they say is, college, college.
context: Well, I don't really care.\I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college. response:	You are so easy going.
context: I came out now because I had a fight with my parents.\A fight?\When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going. response:	Eh?
context: A fight?\When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh? response:	You are so spoiled, and easy going.
context: When I told them I'm not going to college,\Dad and Mom got angry.\You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh?\You are so spoiled, and easy going. response:	Why?
context: Dad and Mom got angry.\You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh?\You are so spoiled, and easy going.\Why? response:	Why do you say things like that?
context: You're not going to college?\I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh?\You are so spoiled, and easy going.\Why?\Why do you say things like that? response:	You are horrible.
context: I have something I want to do.\But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh?\You are so spoiled, and easy going.\Why?\Why do you say things like that?\You are horrible. response:	We were so close before.
context: But they won't even listen to me. All they say is, college, college.\You are so easy going.\Eh?\You are so spoiled, and easy going.\Why?\Why do you say things like that?\You are horrible.\We were so close before. response:	Why?
context: You are so easy going.\Eh?\You are so spoiled, and easy going.\Why?\Why do you say things like that?\You are horrible.\We were so close before.\Why? response:	It's obvious.
context: Eh?\You are so spoiled, and easy going.\Why?\Why do you say things like that?\You are horrible.\We were so close before.\Why?\It's obvious. response:	I don't like you anymore.
context: You are so spoiled, and easy going.\Why?\Why do you say things like that?\You are horrible.\We were so close before.\Why?\It's obvious.\I don't like you anymore. response:	Hey!
context: Why?\Why do you say things like that?\You are horrible.\We were so close before.\Why?\It's obvious.\I don't like you anymore.\Hey! response:	Wait.
context: Why do you say things like that?\You are horrible.\We were so close before.\Why?\It's obvious.\I don't like you anymore.\Hey!\Wait. response:	Wait a minute.
context: You are horrible.\We were so close before.\Why?\It's obvious.\I don't like you anymore.\Hey!\Wait.\Wait a minute. response:	Umbrella... Wait!
context: We were so close before.\Why?\It's obvious.\I don't like you anymore.\Hey!\Wait.\Wait a minute.\Umbrella... Wait! response:	This is...
context: Why?\It's obvious.\I don't like you anymore.\Hey!\Wait.\Wait a minute.\Umbrella... Wait!\This is... response:	She's not back yet. She's not answering her phone, either.
context: It's obvious.\I don't like you anymore.\Hey!\Wait.\Wait a minute.\Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either. response:	It's so weird. I thought that text message made it easier for her to come back.
context: I don't like you anymore.\Hey!\Wait.\Wait a minute.\Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back. response:	Ok, I'm going to look for her.
context: Hey!\Wait.\Wait a minute.\Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her. response:	But it's raining hard.
context: Wait.\Wait a minute.\Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard. response:	That's why I'm going.
context: Wait a minute.\Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going. response:	You guys are so loud.
context: Umbrella... Wait!\This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going.\You guys are so loud. response:	It's Chiyomi! Chiyomi!
context: This is...\She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi! response:	Is Chiyomi-chan back yet?
context: She's not back yet. She's not answering her phone, either.\It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet? response:	- No. Why? - I thought so.
context: It's so weird. I thought that text message made it easier for her to come back.\Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so. response:	I just saw Chiyomi-chan by the Misaki Park.
context: Ok, I'm going to look for her.\But it's raining hard.\That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park. response:	He hit her. It's domestic violence.
context: But it's raining hard.\That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence. response:	What are you saying?
context: That's why I'm going.\You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying? response:	So, that's why she was crying.
context: You guys are so loud.\It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying. response:	Don't do that. I will arrest you.
context: It's Chiyomi! Chiyomi!\Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you. response:	Please.
context: Is Chiyomi-chan back yet?\- No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you.\Please. response:	What do you mean? What are you guys saying?
context: - No. Why? - I thought so.\I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying? response:	Take me there.
context: I just saw Chiyomi-chan by the Misaki Park.\He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying?\Take me there. response:	- Get my coat. - Okay.
context: He hit her. It's domestic violence.\What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay. response:	Dad, your shoes.
context: What are you saying?\So, that's why she was crying.\Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay.\Dad, your shoes. response:	- Here. - This way.
context: So, that's why she was crying.\Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay.\Dad, your shoes.\- Here. - This way. response:	It's not going to stop raining.
context: Don't do that. I will arrest you.\Please.\What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay.\Dad, your shoes.\- Here. - This way.\It's not going to stop raining. response:	Wait.
context: Please.\What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay.\Dad, your shoes.\- Here. - This way.\It's not going to stop raining.\Wait. response:	It's dead. What?
context: What do you mean? What are you guys saying?\Take me there.\- Get my coat. - Okay.\Dad, your shoes.\- Here. - This way.\It's not going to stop raining.\Wait.\It's dead. What? response:	Wait.
context: Take me there.\- Get my coat. - Okay.\Dad, your shoes.\- Here. - This way.\It's not going to stop raining.\Wait.\It's dead. What?\Wait. response:	- Shunichi. - Wait, wait.
context: - Get my coat. - Okay.\Dad, your shoes.\- Here. - This way.\It's not going to stop raining.\Wait.\It's dead. What?\Wait.\- Shunichi. - Wait, wait. response:	- Shunichi! - Wait.
context: Dad, your shoes.\- Here. - This way.\It's not going to stop raining.\Wait.\It's dead. What?\Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait. response:	I'm sorry.
context: - Here. - This way.\It's not going to stop raining.\Wait.\It's dead. What?\Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry. response:	You idiot!
context: It's not going to stop raining.\Wait.\It's dead. What?\Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry.\You idiot! response:	Shunichi, let's go inside.
context: Wait.\It's dead. What?\Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry.\You idiot!\Shunichi, let's go inside. response:	I'm leaving.
context: It's dead. What?\Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry.\You idiot!\Shunichi, let's go inside.\I'm leaving. response:	Good morning.
context: Wait.\- Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry.\You idiot!\Shunichi, let's go inside.\I'm leaving.\Good morning. response:	It's obvious.
context: - Shunichi. - Wait, wait.\- Shunichi! - Wait.\I'm sorry.\You idiot!\Shunichi, let's go inside.\I'm leaving.\Good morning.\It's obvious. response:	I don't like you anymore.
context: - Shunichi! - Wait.\I'm sorry.\You idiot!\Shunichi, let's go inside.\I'm leaving.\Good morning.\It's obvious.\I don't like you anymore. response:	Why are we like this now?
context: I'm sorry.\You idiot!\Shunichi, let's go inside.\I'm leaving.\Good morning.\It's obvious.\I don't like you anymore.\Why are we like this now? response:	Before, we got along so well.
context: You idiot!\Shunichi, let's go inside.\I'm leaving.\Good morning.\It's obvious.\I don't like you anymore.\Why are we like this now?\Before, we got along so well. response:	I want to get back to how we were then.
context: Shunichi, let's go inside.\I'm leaving.\Good morning.\It's obvious.\I don't like you anymore.\Why are we like this now?\Before, we got along so well.\I want to get back to how we were then. response:	I want to be small again.
context: I'm leaving.\Good morning.\It's obvious.\I don't like you anymore.\Why are we like this now?\Before, we got along so well.\I want to get back to how we were then.\I want to be small again. response:	Minami-kun...
context: Good morning.\It's obvious.\I don't like you anymore.\Why are we like this now?\Before, we got along so well.\I want to get back to how we were then.\I want to be small again.\Minami-kun... response:	Why?
context: It's obvious.\I don't like you anymore.\Why are we like this now?\Before, we got along so well.\I want to get back to how we were then.\I want to be small again.\Minami-kun...\Why? response:	Why do you say things like that? You're horrible.
context: I don't like you anymore.\Why are we like this now?\Before, we got along so well.\I want to get back to how we were then.\I want to be small again.\Minami-kun...\Why?\Why do you say things like that? You're horrible. response:	We were so close before.
context: Why are we like this now?\Before, we got along so well.\I want to get back to how we were then.\I want to be small again.\Minami-kun...\Why?\Why do you say things like that? You're horrible.\We were so close before. response:	Why?
context: Before, we got along so well.\I want to get back to how we were then.\I want to be small again.\Minami-kun...\Why?\Why do you say things like that? You're horrible.\We were so close before.\Why? response:	Eh?
context: I want to get back to how we were then.\I want to be small again.\Minami-kun...\Why?\Why do you say things like that? You're horrible.\We were so close before.\Why?\Eh? response:	Eh? Why?
context: I want to be small again.\Minami-kun...\Why?\Why do you say things like that? You're horrible.\We were so close before.\Why?\Eh?\Eh? Why? response:	Have I... become the one-inch princess?
context: Minami-kun...\Why?\Why do you say things like that? You're horrible.\We were so close before.\Why?\Eh?\Eh? Why?\Have I... become the one-inch princess? response:	No way.
context: Why?\Why do you say things like that? You're horrible.\We were so close before.\Why?\Eh?\Eh? Why?\Have I... become the one-inch princess?\No way. response:	No way!!!
context: Why do you say things like that? You're horrible.\We were so close before.\Why?\Eh?\Eh? Why?\Have I... become the one-inch princess?\No way.\No way!!! response:	N A casual N
context: We were so close before.\Why?\Eh?\Eh? Why?\Have I... become the one-inch princess?\No way.\No way!!!\N A casual N response:	N encounter N
context: Why?\Eh?\Eh? Why?\Have I... become the one-inch princess?\No way.\No way!!!\N A casual N\N encounter N response:	N gave me this great beginning N
context: Eh?\Eh? Why?\Have I... become the one-inch princess?\No way.\No way!!!\N A casual N\N encounter N\N gave me this great beginning N response:	N Everyday N
context: Eh? Why?\Have I... become the one-inch princess?\No way.\No way!!!\N A casual N\N encounter N\N gave me this great beginning N\N Everyday N response:	N I was slowly loving you N
context: Have I... become the one-inch princess?\No way.\No way!!!\N A casual N\N encounter N\N gave me this great beginning N\N Everyday N\N I was slowly loving you N response:	N more and more N
context: No way.\No way!!!\N A casual N\N encounter N\N gave me this great beginning N\N Everyday N\N I was slowly loving you N\N more and more N response:	N When we walk shoulder to shoulder N
context: No way!!!\N A casual N\N encounter N\N gave me this great beginning N\N Everyday N\N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N response:	N You are right here N N but even if I stretched my arm N
context: N A casual N\N encounter N\N gave me this great beginning N\N Everyday N\N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N response:	N I won't be able to reach you N
context: N encounter N\N gave me this great beginning N\N Everyday N\N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N response:	N I simply love you N N You are always in my heart N
context: N gave me this great beginning N\N Everyday N\N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N response:	N It almost hurts me N N Forever N
context: N Everyday N\N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N response:	N Forever and ever N N Please N
context: N I was slowly loving you N\N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N response:	N I wish our days last N
context: N more and more N\N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N response:	N Forever N
context: N When we walk shoulder to shoulder N\N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N\N Forever N response:	-Where are you, Chiyomi?
context: N You are right here N N but even if I stretched my arm N\N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N\N Forever N\-Where are you, Chiyomi? response:	I'm right here.
context: N I won't be able to reach you N\N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N\N Forever N\-Where are you, Chiyomi?\I'm right here. response:	Minami-kun!
context: N I simply love you N N You are always in my heart N\N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N\N Forever N\-Where are you, Chiyomi?\I'm right here.\Minami-kun! response:	Chiyomi-chan is missing?
context: N It almost hurts me N N Forever N\N Forever and ever N N Please N\N I wish our days last N\N Forever N\-Where are you, Chiyomi?\I'm right here.\Minami-kun!\Chiyomi-chan is missing? response:	Between you and me, I think she ran away with a boy.
context: N Forever and ever N N Please N\N I wish our days last N\N Forever N\-Where are you, Chiyomi?\I'm right here.\Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy. response:	What?
context: N I wish our days last N\N Forever N\-Where are you, Chiyomi?\I'm right here.\Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy.\What? response:	They'll think it's a kidnap, rape, murder case.
context: N Forever N\-Where are you, Chiyomi?\I'm right here.\Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy.\What?\They'll think it's a kidnap, rape, murder case. response:	- Chiyomi-chan. - Chiyomi-chan.
context: -Where are you, Chiyomi?\I'm right here.\Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy.\What?\They'll think it's a kidnap, rape, murder case.\- Chiyomi-chan. - Chiyomi-chan. response:	There is one person who seems suspicious here.
context: I'm right here.\Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy.\What?\They'll think it's a kidnap, rape, murder case.\- Chiyomi-chan. - Chiyomi-chan.\There is one person who seems suspicious here. response:	This bath is just my side.
context: Minami-kun!\Chiyomi-chan is missing?\Between you and me, I think she ran away with a boy.\What?\They'll think it's a kidnap, rape, murder case.\- Chiyomi-chan. - Chiyomi-chan.\There is one person who seems suspicious here.\This bath is just my side. response:	My Little Lover - Minami Kun No Koibito
