context: A raid is a large-scale battle response:	with many adventurers, instead of the usual party of six.
context: I knew William would be the commander,\but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right.\Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right? response:	But first, are we even functioning as a party?
context: but I didn't think we'd be walking.\I wanted to be a flying idol.\Right, right.\Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party? response:	I'm tired of walking.
context: I wanted to be a flying idol.\Right, right.\Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking. response:	Oh, well. I'll ride Naotsugu.
context: Right, right.\Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu. response:	Don't use me as a vehicle.
context: Not everyone has a griffon.\And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle. response:	You're such a tsundere. You know you love it.
context: And I think William has some kind of plan.\We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it. response:	I do not!
context: We want to learn\the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not! response:	I'm a beautiful idol. What if my feet get callused?
context: the new members' personalities and habits before we get there, right?\But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused? response:	I don't care.
context: But first, are we even functioning as a party?\I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care. response:	The whole world would be sad.
context: I'm tired of walking.\Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad. response:	The sun wouldn't rise for three days!
context: Oh, well. I'll ride Naotsugu.\Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad.\The sun wouldn't rise for three days! response:	Then turn yourself into a snowman and roll everywhere.
context: Don't use me as a vehicle.\You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere. response:	Aren't you good at getting stuck in snow?
context: You're such a tsundere. You know you love it.\I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow? response:	Now I'm mad!
context: I do not!\I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad! response:	This is so easy...
context: I'm a beautiful idol. What if my feet get callused?\I don't care.\The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy... response:	You little...
context: I don't care.\The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy...\You little... response:	That's a warrior's life!
context: The whole world would be sad.\The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy...\You little...\That's a warrior's life! response:	Wait!
context: The sun wouldn't rise for three days!\Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy...\You little...\That's a warrior's life!\Wait! response:	Hey!
context: Then turn yourself into a snowman and roll everywhere.\Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy...\You little...\That's a warrior's life!\Wait!\Hey! response:	You guys really aren't worried, are you?
context: Aren't you good at getting stuck in snow?\Now I'm mad!\This is so easy...\You little...\That's a warrior's life!\Wait!\Hey!\You guys really aren't worried, are you? response:	We're just happy-go-lucky. That's all.
context: Now I'm mad!\This is so easy...\You little...\That's a warrior's life!\Wait!\Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all. response:	Looks like he hasn't changed, though.
context: This is so easy...\You little...\That's a warrior's life!\Wait!\Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though. response:	Honestly, that worries me.
context: You little...\That's a warrior's life!\Wait!\Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me. response:	But he came to the raid.
context: That's a warrior's life!\Wait!\Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid. response:	I'm sure he'll understand.
context: Wait!\Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand. response:	The other idiots and I did.
context: Hey!\You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand.\The other idiots and I did. response:	And if he can't, he simply isn't that good.
context: You guys really aren't worried, are you?\We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good. response:	I can't wait!
context: We're just happy-go-lucky. That's all.\Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait! response:	I can't wait to rip things apart.
context: Looks like he hasn't changed, though.\Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart. response:	I hope we can finish it up this year.
context: Honestly, that worries me.\But he came to the raid.\I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year. response:	Yeah.
context: But he came to the raid.\I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah. response:	There are all kinds of events around New Year's.
context: I'm sure he'll understand.\The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's. response:	26 Days Until Christmas
context: The other idiots and I did.\And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas response:	I see.
context: And if he can't, he simply isn't that good.\I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas\I see. response:	Sounds like you're having a rough time, Naotsugu.
context: I can't wait!\I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu. response:	Yeah.
context: I can't wait to rip things apart.\I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu.\Yeah. response:	You okay?
context: I hope we can finish it up this year.\Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay? response:	That was the guy who was chasing Serara, right?
context: Yeah.\There are all kinds of events around New Year's.\26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay?\That was the guy who was chasing Serara, right? response:	That demi-glace guy.
context: There are all kinds of events around New Year's.\26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy. response:	It's Demikas.
context: 26 Days Until Christmas\I see.\Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas. response:	Well, William has an eye on him, so he'll be fine.
context: I see.\Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine. response:	And his People of the Land wife has him on a leash, too.
context: Sounds like you're having a rough time, Naotsugu.\Yeah.\You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too. response:	Really? That's hilarious.
context: Yeah.\You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious. response:	Oops.
context: You okay?\That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops. response:	How about food?
context: That was the guy who was chasing Serara, right?\That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops.\How about food? response:	Are you eating nutritious stuff?
context: That demi-glace guy.\It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops.\How about food?\Are you eating nutritious stuff? response:	You want chicken, right?
context: It's Demikas.\Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops.\How about food?\Are you eating nutritious stuff?\You want chicken, right? response:	It's crispy outside, and juicy inside!
context: Well, William has an eye on him, so he'll be fine.\And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops.\How about food?\Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside! response:	In winter, chicken is delicious!
context: And his People of the Land wife has him on a leash, too.\Really? That's hilarious.\Oops.\How about food?\Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious! response:	You're sure pushing chicken hard.
context: Really? That's hilarious.\Oops.\How about food?\Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard. response:	Well, you know...
context: Oops.\How about food?\Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know... response:	Only twenty-six days until Christmas, right?
context: How about food?\Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right? response:	Yeah.
context: Are you eating nutritious stuff?\You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right?\Yeah. response:	I just hope you can get back by then.
context: You want chicken, right?\It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then. response:	Well, you know...
context: It's crispy outside, and juicy inside!\In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then.\Well, you know... response:	I'll try my best, okay?
context: In winter, chicken is delicious!\You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then.\Well, you know...\I'll try my best, okay? response:	Bye.
context: You're sure pushing chicken hard.\Well, you know...\Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then.\Well, you know...\I'll try my best, okay?\Bye. response:	Yeah, talk to you tomorrow.
context: Well, you know...\Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then.\Well, you know...\I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow. response:	Marie!
context: Only twenty-six days until Christmas, right?\Yeah.\I just hope you can get back by then.\Well, you know...\I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow.\Marie! response:	Having a cozy telepathy chat at a time like this?
context: Yeah.\I just hope you can get back by then.\Well, you know...\I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this? response:	Are you supposed to be a drama heroine?
context: I just hope you can get back by then.\Well, you know...\I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine? response:	Are you eventually going to say, Which is more important? Me or your work?
context: Well, you know...\I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work? response:	Your imagination's a bit too active.
context: I'll try my best, okay?\Bye.\Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active. response:	We don't know where the Southern spies might be.
context: Bye.\Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be. response:	That's why we put strict rules in place
context: Yeah, talk to you tomorrow.\Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place response:	for talking with Shiroe and the others via telepathy.
context: Marie!\Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy. response:	And yet...
context: Having a cozy telepathy chat at a time like this?\Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet... response:	I know.
context: Are you supposed to be a drama heroine?\Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet...\I know. response:	That's why the two of us decided to only talk once a day, at 9:00 at night.
context: Are you eventually going to say, Which is more important? Me or your work?\Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night. response:	Huh? Huh?
context: Your imagination's a bit too active.\We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh? response:	You don't need to say Huh? twice.
context: We don't know where the Southern spies might be.\That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice. response:	We're only discussing basic stuff.
context: That's why we put strict rules in place\for talking with Shiroe and the others via telepathy.\And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff. response:	I don't even know where Naotsugu is.
context: for talking with Shiroe and the others via telepathy.\And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is. response:	So you know?
context: And yet...\I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know? response:	They're about to start a raid, right?
context: I know.\That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right? response:	It's live or die.
context: That's why the two of us decided to only talk once a day, at 9:00 at night.\Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right?\It's live or die. response:	Well, they won't die...
context: Huh? Huh?\You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right?\It's live or die.\Well, they won't die... response:	They won't die, but they need a break, right?
context: You don't need to say Huh? twice.\We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right?\It's live or die.\Well, they won't die...\They won't die, but they need a break, right? response:	I'm not going to get in their way.
context: We're only discussing basic stuff.\I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right?\It's live or die.\Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way. response:	It's also my job to be the liaison between the Crescent Moon Alliance and them.
context: I don't even know where Naotsugu is.\So you know?\They're about to start a raid, right?\It's live or die.\Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them. response:	I-It's work... Work.
context: So you know?\They're about to start a raid, right?\It's live or die.\Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work. response:	Liaison, huh? Sure.
context: They're about to start a raid, right?\It's live or die.\Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure. response:	It's fine! Right?
context: It's live or die.\Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right? response:	Really, Marie, you're so...
context: Well, they won't die...\They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so... response:	I think I'm full, too.
context: They won't die, but they need a break, right?\I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so...\I think I'm full, too. response:	I'm sure.
context: I'm not going to get in their way.\It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so...\I think I'm full, too.\I'm sure. response:	You just ate, right?
context: It's also my job to be the liaison between the Crescent Moon Alliance and them.\I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so...\I think I'm full, too.\I'm sure.\You just ate, right? response:	Why do I feel so defeated?
context: I-It's work... Work.\Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so...\I think I'm full, too.\I'm sure.\You just ate, right?\Why do I feel so defeated? response:	You stay here in Akihabara, Akatsuki.
context: Liaison, huh? Sure.\It's fine! Right?\Really, Marie, you're so...\I think I'm full, too.\I'm sure.\You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki. response:	I need to ask a favor that only you can do.
context: It's fine! Right?\Really, Marie, you're so...\I think I'm full, too.\I'm sure.\You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do. response:	I want you to protect Princess Lenessia.
context: Really, Marie, you're so...\I think I'm full, too.\I'm sure.\You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia. response:	There are Southern spies in Akihabara.
context: I think I'm full, too.\I'm sure.\You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara. response:	The princess might be in danger,
context: I'm sure.\You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger, response:	so I am to protect her.
context: You just ate, right?\Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her. response:	I understand that.
context: Why do I feel so defeated?\You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her.\I understand that. response:	But...
context: You stay here in Akihabara, Akatsuki.\I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her.\I understand that.\But... response:	I think his real goal is something else.
context: I need to ask a favor that only you can do.\I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her.\I understand that.\But...\I think his real goal is something else. response:	Um...
context: I want you to protect Princess Lenessia.\There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her.\I understand that.\But...\I think his real goal is something else.\Um... response:	What is that?
context: There are Southern spies in Akihabara.\The princess might be in danger,\so I am to protect her.\I understand that.\But...\I think his real goal is something else.\Um...\What is that? response:	A red bean bun.
context: The princess might be in danger,\so I am to protect her.\I understand that.\But...\I think his real goal is something else.\Um...\What is that?\A red bean bun. response:	Red bean bun?
context: so I am to protect her.\I understand that.\But...\I think his real goal is something else.\Um...\What is that?\A red bean bun.\Red bean bun? response:	Then, what are you drinking?
context: I understand that.\But...\I think his real goal is something else.\Um...\What is that?\A red bean bun.\Red bean bun?\Then, what are you drinking? response:	Roasted green tea.
context: But...\I think his real goal is something else.\Um...\What is that?\A red bean bun.\Red bean bun?\Then, what are you drinking?\Roasted green tea. response:	Apple tea isn't to your taste?
context: I think his real goal is something else.\Um...\What is that?\A red bean bun.\Red bean bun?\Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste? response:	Everyone knows red bean buns are best with roasted green tea.
context: Um...\What is that?\A red bean bun.\Red bean bun?\Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea. response:	Ah...
context: What is that?\A red bean bun.\Red bean bun?\Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah... response:	I don't understand.
context: A red bean bun.\Red bean bun?\Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand. response:	It's difficult, isn't it?
context: Red bean bun?\Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand.\It's difficult, isn't it? response:	It's been a long time since I came to this town.
context: Then, what are you drinking?\Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town. response:	But there are still so many things I don't understand.
context: Roasted green tea.\Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand. response:	How adventurers think, their customs...
context: Apple tea isn't to your taste?\Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs... response:	This is just my personal taste.
context: Everyone knows red bean buns are best with roasted green tea.\Ah...\I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste. response:	There's nothing wrong with apple tea.
context: Ah...\I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea. response:	Thank you for your kindness.
context: I don't understand.\It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness. response:	This is a hard job...
context: It's difficult, isn't it?\It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job... response:	Amenoma
context: It's been a long time since I came to this town.\But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job...\Amenoma response:	Powerful phantasm-level items can only be acquired through raids.
context: But there are still so many things I don't understand.\How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids. response:	Like my lord's griffon.
context: How adventurers think, their customs...\This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon. response:	They're proof that you've survived a difficult battle with your friends.
context: This is just my personal taste.\There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends. response:	Dew Blade - Byakumamaru
context: There's nothing wrong with apple tea.\Thank you for your kindness.\This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru response:	I've never done a raid.
context: Thank you for your kindness.\This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid. response:	Ringing Blade - Haganemushi
context: This is a hard job...\Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid.\Ringing Blade - Haganemushi response:	So the only weapons I can get for this class are those that I can buy.
context: Amenoma\Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid.\Ringing Blade - Haganemushi\So the only weapons I can get for this class are those that I can buy. response:	But...
context: Powerful phantasm-level items can only be acquired through raids.\Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid.\Ringing Blade - Haganemushi\So the only weapons I can get for this class are those that I can buy.\But... response:	Tadara Race/ Dwarf Samurai, Lv. 90 Amenoma
context: Like my lord's griffon.\They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid.\Ringing Blade - Haganemushi\So the only weapons I can get for this class are those that I can buy.\But...\Tadara Race/ Dwarf Samurai, Lv. 90 Amenoma response:	Just so we're clear, I don't haggle.
context: They're proof that you've survived a difficult battle with your friends.\Dew Blade - Byakumamaru\I've never done a raid.\Ringing Blade - Haganemushi\So the only weapons I can get for this class are those that I can buy.\But...\Tadara Race/ Dwarf Samurai, Lv. 90 Amenoma\Just so we're clear, I don't haggle. response:	It's a pain.
