context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: That's not very convincing, since you snore when you sleep.\I don't snore!\Well, it's not that loud.\I told you I don't snore!\All right already.\I told you I don't snore!\I told you, I got it!\What's wrong? response:	I'll leave the coming negotiations to you.
context: I don't snore!\Well, it's not that loud.\I told you I don't snore!\All right already.\I told you I don't snore!\I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you. response:	What's there?
context: Well, it's not that loud.\I told you I don't snore!\All right already.\I told you I don't snore!\I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you.\What's there? response:	The type of humans I hate.
context: I told you I don't snore!\All right already.\I told you I don't snore!\I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you.\What's there?\The type of humans I hate. response:	That magician?
context: All right already.\I told you I don't snore!\I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you.\What's there?\The type of humans I hate.\That magician? response:	Sheep?
context: I told you I don't snore!\I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you.\What's there?\The type of humans I hate.\That magician?\Sheep? response:	Is that supposed to be the magician?
context: I told you, I got it!\What's wrong?\I'll leave the coming negotiations to you.\What's there?\The type of humans I hate.\That magician?\Sheep?\Is that supposed to be the magician? response:	What was that?
context: What's wrong?\I'll leave the coming negotiations to you.\What's there?\The type of humans I hate.\That magician?\Sheep?\Is that supposed to be the magician?\What was that? response:	It's a kind of ritual for when you meet a shepherd.
context: I'll leave the coming negotiations to you.\What's there?\The type of humans I hate.\That magician?\Sheep?\Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd. response:	At the very least, she doesn't look like the magician.
context: What's there?\The type of humans I hate.\That magician?\Sheep?\Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician. response:	I'm a travelling merchant, Lawrence.
context: The type of humans I hate.\That magician?\Sheep?\Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence. response:	This is my traveling companion, Horo.
context: That magician?\Sheep?\Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo. response:	To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.
context: Sheep?\Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey. response:	With pleasure.
context: Is that supposed to be the magician?\What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure. response:	Seven apples on the witch's tree
context: What was that?\It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree response:	With seven seeds to plant inside of me
context: It's a kind of ritual for when you meet a shepherd.\At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me response:	In spring time I grew a magic song
context: At the very least, she doesn't look like the magician.\I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song response:	Then skipping along,
context: I'm a travelling merchant, Lawrence.\This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along, response:	I sang the song to everyone
context: This is my traveling companion, Horo.\To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along,\I sang the song to everyone response:	I look at the world through apple eyes
context: To the shepherd where God had guided us to meet, I hope that you pray for our safe journey.\With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along,\I sang the song to everyone\I look at the world through apple eyes response:	And cut myself a slice of sunshine pie
context: With pleasure.\Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along,\I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie response:	I danced with the peanuts for the flies
context: Seven apples on the witch's tree\With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along,\I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies response:	Till someone had told me
context: With seven seeds to plant inside of me\In spring time I grew a magic song\Then skipping along,\I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me response:	To say hello for every good-bye
context: In spring time I grew a magic song\Then skipping along,\I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye response:	Saw some sugar stars
context: Then skipping along,\I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye\Saw some sugar stars response:	I'll put them in a jar
context: I sang the song to everyone\I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar response:	And we'll wish around the world
context: I look at the world through apple eyes\And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar\And we'll wish around the world response:	Oh we'll wish around the world
context: And cut myself a slice of sunshine pie\I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world response:	I'm a little wolf inside a cart
context: I danced with the peanuts for the flies\Till someone had told me\To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart response:	You say,
context: Till someone had told me\To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart\You say, response:	And off I go from June to May
context: To say hello for every good-bye\Saw some sugar stars\I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart\You say,\And off I go from June to May response:	Oh we'll wish around the world
context: Saw some sugar stars\I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart\You say,\And off I go from June to May\Oh we'll wish around the world response:	Let's wish around the world
context: I'll put them in a jar\And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart\You say,\And off I go from June to May\Oh we'll wish around the world\Let's wish around the world response:	Next, Wolf and the Shepherd's Lambs
context: And we'll wish around the world\Oh we'll wish around the world\I'm a little wolf inside a cart\You say,\And off I go from June to May\Oh we'll wish around the world\Let's wish around the world\Next, Wolf and the Shepherd's Lambs response:	Next, Wolf and the Shepherd's Lambs
