context: Huh? response:	Mizusawa High School Athletic Festival
context: May the time spent in our one night together\bring a life of everlasting love\Both poems were written by women,\and they describe similar situations.\I find it moving that\two women separated by 200 years\would express themselves in similar ways,\but that's not important right now. response:	Chihaya-chan.
context: bring a life of everlasting love\Both poems were written by women,\and they describe similar situations.\I find it moving that\two women separated by 200 years\would express themselves in similar ways,\but that's not important right now.\Chihaya-chan. response:	You told me that the
context: Both poems were written by women,\and they describe similar situations.\I find it moving that\two women separated by 200 years\would express themselves in similar ways,\but that's not important right now.\Chihaya-chan.\You told me that the response:	Impassionate card looks bright red to you.
context: and they describe similar situations.\I find it moving that\two women separated by 200 years\would express themselves in similar ways,\but that's not important right now.\Chihaya-chan.\You told me that the\Impassionate card looks bright red to you. response:	May the time we, from the 10th century,
context: I find it moving that\two women separated by 200 years\would express themselves in similar ways,\but that's not important right now.\Chihaya-chan.\You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century, response:	refers to the withered green reeds of Naniwa Bay in winter.
context: two women separated by 200 years\would express themselves in similar ways,\but that's not important right now.\Chihaya-chan.\You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter. response:	May the time spent, from the 12th century,
context: would express themselves in similar ways,\but that's not important right now.\Chihaya-chan.\You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century, response:	refers to the new green reeds of Naniwa Bay in spring.
context: but that's not important right now.\Chihaya-chan.\You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring. response:	That's how I picture it.
context: Chihaya-chan.\You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it. response:	Or you could say that
context: You told me that the\Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that response:	the Naniwa Bay in 88 had more prostitutes at the time,
context: Impassionate card looks bright red to you.\May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time, response:	so the card should be rich green.
context: May the time we, from the 10th century,\refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green. response:	Kana-chan...
context: refers to the withered green reeds of Naniwa Bay in winter.\May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan... response:	You really love poetry.
context: May the time spent, from the 12th century,\refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan...\You really love poetry. response:	In my mind, Karuta is about the meanings of the poems.
context: refers to the new green reeds of Naniwa Bay in spring.\That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems. response:	I was sad,
context: That's how I picture it.\Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad, response:	because, for me, Karuta was about speed.
context: Or you could say that\the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed. response:	Goodbye, Ms. Miyauchi.
context: the Naniwa Bay in 88 had more prostitutes at the time,\so the card should be rich green.\Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi. response:	Yes, goodbye.
context: so the card should be rich green.\Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye. response:	What?
context: Kana-chan...\You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye.\What? response:	Ayase-san is in the library?
context: You really love poetry.\In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye.\What?\Ayase-san is in the library? response:	Do they keep manga in there?
context: In my mind, Karuta is about the meanings of the poems.\I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye.\What?\Ayase-san is in the library?\Do they keep manga in there? response:	Ayase-san, you haven't turned in your career survey yet.
context: I was sad,\because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye.\What?\Ayase-san is in the library?\Do they keep manga in there?\Ayase-san, you haven't turned in your career survey yet. response:	Hurry up and...
context: because, for me, Karuta was about speed.\Goodbye, Ms. Miyauchi.\Yes, goodbye.\What?\Ayase-san is in the library?\Do they keep manga in there?\Ayase-san, you haven't turned in your career survey yet.\Hurry up and... response:	Interpretation of Hundred Poets
context: Goodbye, Ms. Miyauchi.\Yes, goodbye.\What?\Ayase-san is in the library?\Do they keep manga in there?\Ayase-san, you haven't turned in your career survey yet.\Hurry up and...\Interpretation of Hundred Poets response:	Speed isn't enough.
context: Yes, goodbye.\What?\Ayase-san is in the library?\Do they keep manga in there?\Ayase-san, you haven't turned in your career survey yet.\Hurry up and...\Interpretation of Hundred Poets\Speed isn't enough. response:	I need to learn from Desktomu-kun.
context: What?\Ayase-san is in the library?\Do they keep manga in there?\Ayase-san, you haven't turned in your career survey yet.\Hurry up and...\Interpretation of Hundred Poets\Speed isn't enough.\I need to learn from Desktomu-kun. response:	I need to learn from Kana-chan.
