context: Yukigaoka Kitagawa Daiichi response:	My first and last official match of junior high...
context: Oh, uh, well...\Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow...\5:00 AM.\Don't be late.\You don't be late.\My bag! I forgot my bag! response:	Just as I was afraid of... it's locked.
context: Was the dean's wig undamaged?\Hey, stop talking about that!\Tomorrow...\5:00 AM.\Don't be late.\You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked. response:	Then find a window you can get in from.
context: Hey, stop talking about that!\Tomorrow...\5:00 AM.\Don't be late.\You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from. response:	We'll get in trouble if we're caught. Are you stupid?
context: Tomorrow...\5:00 AM.\Don't be late.\You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid? response:	5:00 AM sure is rough.
context: 5:00 AM.\Don't be late.\You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough. response:	Tanaka-san?
context: Don't be late.\You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san? response:	Get out of here before 7:00 AM.
context: You don't be late.\My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM. response:	Tanaka-san!
context: My bag! I forgot my bag!\Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san! response:	Thanks!
context: Just as I was afraid of... it's locked.\Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san!\Thanks! response:	What a good senpai I am. Call me Tanaka-senpai.
context: Then find a window you can get in from.\We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai. response:	Tanaka-senpai.
context: We'll get in trouble if we're caught. Are you stupid?\5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai. response:	Once again.
context: 5:00 AM sure is rough.\Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again. response:	Tanaka-senpai.
context: Tanaka-san?\Get out of here before 7:00 AM.\Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again.\Tanaka-senpai. response:	Alright. Time to practice.
context: Get out of here before 7:00 AM.\Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again.\Tanaka-senpai.\Alright. Time to practice. response:	That's true. You're stricter than usual, Daichi-san.
context: Tanaka-san!\Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again.\Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san. response:	Do you have some special reason in mind?
context: Thanks!\What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again.\Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind? response:	You guys saw their match last year.
context: What a good senpai I am. Call me Tanaka-senpai.\Tanaka-senpai.\Once again.\Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year. response:	Kageyama had outstanding ability as a junior-high student...
context: Tanaka-senpai.\Once again.\Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student... response:	But his ability hasn't yielded any results.
context: Once again.\Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results. response:	And he's self-centered, which means
context: Tanaka-senpai.\Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means response:	he'll repeat the same mistakes as in junior high.
context: Alright. Time to practice.\That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high. response:	He'll get in the way of the team for sure.
context: That's true. You're stricter than usual, Daichi-san.\Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure. response:	But what's different from junior high...
context: Do you have some special reason in mind?\You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high... response:	is that Hinata is on the same team now with Kageyama.
context: You guys saw their match last year.\Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama. response:	Hinata? Well, he's sort of a ball of athletic reflexes, but...
context: Kageyama had outstanding ability as a junior-high student...\But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but... response:	Yeah. He's far removed from his true potential,
context: But his ability hasn't yielded any results.\And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential, response:	but he has rare speed and reflexes, and his jump...
context: And he's self-centered, which means\he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump... response:	He didn't get the chance to play with a setter in junior high.
context: he'll repeat the same mistakes as in junior high.\He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high. response:	And Kageyama is seeking for a fast spiker who can hit his tosses.
context: He'll get in the way of the team for sure.\But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses. response:	Those guys are imperfect on their own...
context: But what's different from junior high...\is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own... response:	But put their abilities together...
context: is that Hinata is on the same team now with Kageyama.\Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together... response:	if we can utilize that combination...
context: Hinata? Well, he's sort of a ball of athletic reflexes, but...\Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination... response:	Karasuno will make explosive improvement.
context: Yeah. He's far removed from his true potential,\but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement. response:	Don't you agree?
context: but he has rare speed and reflexes, and his jump...\He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree? response:	Cut it out! I'm going first.
context: He didn't get the chance to play with a setter in junior high.\And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first. response:	Tanaka-san is in there. He was first.
context: And Kageyama is seeking for a fast spiker who can hit his tosses.\Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first. response:	If that's what you think, move.
context: Those guys are imperfect on their own...\But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move. response:	Hey. There's no time...
context: But put their abilities together...\if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time... response:	These bastards have more problems than teamwork...
context: if we can utilize that combination...\Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork... response:	Ah, the gymnasium.
context: Karasuno will make explosive improvement.\Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium. response:	You were here yesterday.
context: Don't you agree?\Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday. response:	The little giant practiced here, too.
context: Cut it out! I'm going first.\Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too. response:	Alright.
context: Tanaka-san is in there. He was first.\If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too.\Alright. response:	Let's do this!
context: If that's what you think, move.\Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too.\Alright.\Let's do this! response:	Preview of next episode
context: Hey. There's no time...\These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too.\Alright.\Let's do this!\Preview of next episode response:	Damn, I'm off to a terrible start because of that Hinata.
context: These bastards have more problems than teamwork...\Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too.\Alright.\Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata. response:	That's because you said you wanted to do it all by yourself.
context: Ah, the gymnasium.\You were here yesterday.\The little giant practiced here, too.\Alright.\Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself. response:	I'd rather do it alone than with you.
context: You were here yesterday.\The little giant practiced here, too.\Alright.\Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself.\I'd rather do it alone than with you. response:	That's the wrong attitude
context: The little giant practiced here, too.\Alright.\Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself.\I'd rather do it alone than with you.\That's the wrong attitude response:	Hey, you didn't get up early just to fight!
context: Alright.\Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself.\I'd rather do it alone than with you.\That's the wrong attitude\Hey, you didn't get up early just to fight! response:	Osu.
context: Let's do this!\Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself.\I'd rather do it alone than with you.\That's the wrong attitude\Hey, you didn't get up early just to fight!\Osu. response:	Next episode Haikyu! : The Formidable Ally
context: Preview of next episode\Damn, I'm off to a terrible start because of that Hinata.\That's because you said you wanted to do it all by yourself.\I'd rather do it alone than with you.\That's the wrong attitude\Hey, you didn't get up early just to fight!\Osu.\Next episode Haikyu! : The Formidable Ally response:	Episode 3 The Formidable Ally
