context: Yes, and they're the wild hunters. response:	They're all specially trained to catch all of the ghosts within twelve days.
context: Isn't it getting kinda noisy?\Hey, what the hell're those?!\Those are...\Captain, there's trouble!\What in the world is this thing?!\Got it!\Constanze! Let's do that!\Let's Metamor-formation! response:	Burning souls turned into magic power!
context: Hey, what the hell're those?!\Those are...\Captain, there's trouble!\What in the world is this thing?!\Got it!\Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power! response:	The seven shining stars of justice!
context: Those are...\Captain, there's trouble!\What in the world is this thing?!\Got it!\Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice! response:	A believing heart is our magic!
context: Captain, there's trouble!\What in the world is this thing?!\Got it!\Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic! response:	Magic Suit Grand Charion!
context: What in the world is this thing?!\Got it!\Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion! response:	On stage!
context: Got it!\Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion!\On stage! response:	What is that?
context: Constanze! Let's do that!\Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion!\On stage!\What is that? response:	Those guys are such morons.
context: Let's Metamor-formation!\Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion!\On stage!\What is that?\Those guys are such morons. response:	So cool!
context: Burning souls turned into magic power!\The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion!\On stage!\What is that?\Those guys are such morons.\So cool! response:	We nailed it!
context: The seven shining stars of justice!\A believing heart is our magic!\Magic Suit Grand Charion!\On stage!\What is that?\Those guys are such morons.\So cool!\We nailed it! response:	My idea was a perfect success!
context: A believing heart is our magic!\Magic Suit Grand Charion!\On stage!\What is that?\Those guys are such morons.\So cool!\We nailed it!\My idea was a perfect success! response:	You're a real genius, Constanze!
context: Magic Suit Grand Charion!\On stage!\What is that?\Those guys are such morons.\So cool!\We nailed it!\My idea was a perfect success!\You're a real genius, Constanze! response:	Why aren't we moving?
context: On stage!\What is that?\Those guys are such morons.\So cool!\We nailed it!\My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving? response:	We're out of magic power!
context: What is that?\Those guys are such morons.\So cool!\We nailed it!\My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power! response:	You mean we used it all up for the transformation?!
context: Those guys are such morons.\So cool!\We nailed it!\My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?! response:	But we had so much of it!
context: So cool!\We nailed it!\My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it! response:	That's it!
context: We nailed it!\My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it!\That's it! response:	Attention, hunters!
context: My idea was a perfect success!\You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it!\That's it!\Attention, hunters! response:	If this goes on, the Wild Hunt will be ruined!
context: You're a real genius, Constanze!\Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it!\That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined! response:	Please, lend them your strength!
context: Why aren't we moving?\We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it!\That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength! response:	Magic at one hundred and twenty percent!
context: We're out of magic power!\You mean we used it all up for the transformation?!\But we had so much of it!\That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent! response:	Now, Constanze!
context: You mean we used it all up for the transformation?!\But we had so much of it!\That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze! response:	Grand Charion Big Wheel!
context: But we had so much of it!\That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel! response:	Miracle Magical Shining Tornado Punch!
context: That's it!\Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch! response:	Wild Hunt rocks!
context: Attention, hunters!\If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks! response:	We did it!
context: If this goes on, the Wild Hunt will be ruined!\Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it! response:	I guessed correctly.
context: Please, lend them your strength!\Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it!\I guessed correctly. response:	What it is that you did.
context: Magic at one hundred and twenty percent!\Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it!\I guessed correctly.\What it is that you did. response:	An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.
context: Now, Constanze!\Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it!\I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit. response:	Am I wrong?
context: Grand Charion Big Wheel!\Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it!\I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong? response:	Just what are you plotting?!
context: Miracle Magical Shining Tornado Punch!\Wild Hunt rocks!\We did it!\I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?! response:	You'll find out soon enough.
context: Wild Hunt rocks!\We did it!\I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?!\You'll find out soon enough. response:	That no matter what my goals are...
context: We did it!\I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are... response:	There's not a single thing you can do to stop me.
context: I guessed correctly.\What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me. response:	For me?
context: What it is that you did.\An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me.\For me? response:	It's thanks for helping her out.
context: An experiment. You caused a panic among the people to gauge their rise in emotional energyfuel spirit.\Am I wrong?\Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out. response:	Really, you didn't need to do this.
context: Am I wrong?\Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out.\Really, you didn't need to do this. response:	So cool!
context: Just what are you plotting?!\You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out.\Really, you didn't need to do this.\So cool! response:	And slow.
context: You'll find out soon enough.\That no matter what my goals are...\There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out.\Really, you didn't need to do this.\So cool!\And slow. response:	But I'm flying on a broom!
context: That no matter what my goals are...\There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out.\Really, you didn't need to do this.\So cool!\And slow.\But I'm flying on a broom! response:	You call that flying?
context: There's not a single thing you can do to stop me.\For me?\It's thanks for helping her out.\Really, you didn't need to do this.\So cool!\And slow.\But I'm flying on a broom!\You call that flying? response:	Thanks, Constanze!
context: For me?\It's thanks for helping her out.\Really, you didn't need to do this.\So cool!\And slow.\But I'm flying on a broom!\You call that flying?\Thanks, Constanze! response:	Even though I just learned another spell
context: It's thanks for helping her out.\Really, you didn't need to do this.\So cool!\And slow.\But I'm flying on a broom!\You call that flying?\Thanks, Constanze!\Even though I just learned another spell response:	oboetate no jumon ja
context: Really, you didn't need to do this.\So cool!\And slow.\But I'm flying on a broom!\You call that flying?\Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja response:	Even though I just learned another spell
context: So cool!\And slow.\But I'm flying on a broom!\You call that flying?\Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell response:	oboetate no jumon ja
context: And slow.\But I'm flying on a broom!\You call that flying?\Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja response:	The things I want to do are still out of reach
context: But I'm flying on a broom!\You call that flying?\Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: You call that flying?\Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	The things I want to do are still out of reach
context: Thanks, Constanze!\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	My skills are no match for my fantasies
context: oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	My skills are no match for my fantasies
context: oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	I'll keep on chasing my dream to learn even more
context: akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\I'll keep on chasing my dream to learn even more response:	motto shiritai yume wo ou yo
context: I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\I'll keep on chasing my dream to learn even more\motto shiritai yume wo ou yo response:	I'll keep on chasing my dream to learn even more
context: akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\I'll keep on chasing my dream to learn even more\motto shiritai yume wo ou yo\I'll keep on chasing my dream to learn even more response:	motto shiritai yume wo ou yo
