context: I knew that Ren wanted a child. response:	I also knew that having a child wouldn't stop me from singing.
context: Hey, can you hear me?\Yes.\Nana's pregnant.\I don't know if it's yours or mine, but regardless,\if Nana wants to keep it,\I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it. response:	But I'm now able to recognize that
context: Yes.\Nana's pregnant.\I don't know if it's yours or mine, but regardless,\if Nana wants to keep it,\I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that response:	not everyone can be strong all the time.
context: Nana's pregnant.\I don't know if it's yours or mine, but regardless,\if Nana wants to keep it,\I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time. response:	Because of that,
context: I don't know if it's yours or mine, but regardless,\if Nana wants to keep it,\I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time.\Because of that, response:	I've become that much kinder than I was back then.
context: if Nana wants to keep it,\I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then. response:	I can't count how many nights
context: I intend on becoming its guardian and raising it as my own.\What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then.\I can't count how many nights response:	I wished tomorrow would never come
context: What do you think?\You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come response:	To live as I am without being fake
context: You know, Hachi. I still believe life is what we make of it.\But I'm now able to recognize that\not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake response:	What do I need
context: But I'm now able to recognize that\not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need response:	If I don't believe in myself, what can I believe in
context: not everyone can be strong all the time.\Because of that,\I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in response:	The answer is too close to see
context: Because of that,\I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see response:	Black tears are falling down
context: I've become that much kinder than I was back then.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down response:	I have nothing, only sadness
context: I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness response:	I can't put it into words
context: I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words response:	My whole body starts to ache
context: To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words\My whole body starts to ache response:	I can't stand it anymore on my own
