context: Open your mind. Open your mind. response:	Far beyond the deep blue Earth, you and I shall meet...
context: Skuld! Look, this isn't what it...\My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing! response:	Always believe in yourself and your Dreams.You have a Wing!
context: My, my! You just got home and you can't hold back your passion, can you?\Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing! response:	I love you so much it hurts...
context: Really! Keiichi pushed Belldandy down to the floor against her will, and look...\No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts... response:	And it hurts me that I can't tell you how I feel.
context: No, that's not true! It was Urd who...\KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel. response:	You and I have matching hearts...
context: KEIICHI!\You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts... response:	So we must share the same scars deep down inside.
context: You're a jerk after all, Keiichi!\You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside. response:	But now that I'm in your arms, I think I can catch...
context: You get away from my big sister right now! I hate you after all, Keiichi!\Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch... response:	Nobody else matters... All we have to do is gaze at each other.
context: Always believe in yourself and your Dreams.You have a Wing!\Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other. response:	It's all right for your heart to flutter... All we have to do is love each other.
context: Always believe in yourself and your Dreams.You have a Wing!\I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other. response:	Open your heart, and ride that favorable wind.
context: I love you so much it hurts...\And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind. response:	Don't run away from happiness.
context: And it hurts me that I can't tell you how I feel.\You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness. response:	I'll always be waiting for you.
context: You and I have matching hearts...\So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness.\I'll always be waiting for you. response:	So come rest your wings anytime.
context: So we must share the same scars deep down inside.\But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness.\I'll always be waiting for you.\So come rest your wings anytime. response:	It's all right to cry... anytime you need to.
context: But now that I'm in your arms, I think I can catch...\Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness.\I'll always be waiting for you.\So come rest your wings anytime.\It's all right to cry... anytime you need to. response:	I just want to see you again... All we have to do is love each other.
context: Nobody else matters... All we have to do is gaze at each other.\It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness.\I'll always be waiting for you.\So come rest your wings anytime.\It's all right to cry... anytime you need to.\I just want to see you again... All we have to do is love each other. response:	Open your heart, and ride that favorable wind.
context: It's all right for your heart to flutter... All we have to do is love each other.\Open your heart, and ride that favorable wind.\Don't run away from happiness.\I'll always be waiting for you.\So come rest your wings anytime.\It's all right to cry... anytime you need to.\I just want to see you again... All we have to do is love each other.\Open your heart, and ride that favorable wind. response:	I just want you to be happy.
