context: Hey, Natsu... Our guild's gained a lot of members. response:	There's Lucy... And then Gajeel and Juvia, right?
context: His attitude's totally different!\Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really? response:	Yes. I think so.
context: Falling asleep here is hurting my business! Hey, you!\Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really?\Yes. I think so. response:	You're right!
context: Get rid of all of them!\It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really?\Yes. I think so.\You're right! response:	Thank you very much!
context: It's a big job, so I'll make sure to pay you a reward.\I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really?\Yes. I think so.\You're right!\Thank you very much! response:	It's finally here! Fairy Tail's traditional road race!
context: I can't believe this was my first big job...\Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really?\Yes. I think so.\You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race! response:	Yeah! This year's finally gonna be the year I win!
context: Why not? Everyone was worried about you, but in the end you were more useful to them.\You've done a good job. You should be proud.\Really?\Yes. I think so.\You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win! response:	Natsu, have you forgotten my magic? I'll fly straight to the goal!
context: You've done a good job. You should be proud.\Really?\Yes. I think so.\You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal! response:	What are you saying? You have to run this time, Happy.
context: Really?\Yes. I think so.\You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy. response:	What? Me too?
context: Yes. I think so.\You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy.\What? Me too? response:	Next: The 24-Hour Endurance Road Race!
context: You're right!\Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy.\What? Me too?\Next: The 24-Hour Endurance Road Race! response:	But my running speed is so much slower than everyone's!
context: Thank you very much!\It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy.\What? Me too?\Next: The 24-Hour Endurance Road Race!\But my running speed is so much slower than everyone's! response:	I'm not really suited for the physical stuff...
context: It's finally here! Fairy Tail's traditional road race!\Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy.\What? Me too?\Next: The 24-Hour Endurance Road Race!\But my running speed is so much slower than everyone's!\I'm not really suited for the physical stuff... response:	Carla's running, too.
context: Yeah! This year's finally gonna be the year I win!\Natsu, have you forgotten my magic? I'll fly straight to the goal!\What are you saying? You have to run this time, Happy.\What? Me too?\Next: The 24-Hour Endurance Road Race!\But my running speed is so much slower than everyone's!\I'm not really suited for the physical stuff...\Carla's running, too. response:	I'll do it!
