context: If you're Type B, you need to take care. response:	If you continue to let it be, it could become a serious,
context: Futon?!\Oh, that's only for the babies...\All right!\Daikichi, hurry up!\Right now, I couldn't state This isn't a sacrifice\without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon response:	Let's go somewhere today
context: Oh, that's only for the babies...\All right!\Daikichi, hurry up!\Right now, I couldn't state This isn't a sacrifice\without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today response:	It's the same road I'm used to traveling
context: All right!\Daikichi, hurry up!\Right now, I couldn't state This isn't a sacrifice\without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling response:	But I can see it sparkling so bright
context: Daikichi, hurry up!\Right now, I couldn't state This isn't a sacrifice\without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright response:	With the sun shining down its warmth
context: Right now, I couldn't state This isn't a sacrifice\without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth response:	And you here by my side...
context: without having it sound like a lie...\But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side... response:	I'm already high, high, high
context: But I hope I will be able to think that way some years from now.\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high response:	I feel like dashing out
context: A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out response:	Sing, la, la, la
context: Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la response:	My voice out to forever
context: It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever response:	I'm already high, high, high
context: But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high response:	Ride the dancing wind
context: With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind response:	Sing, la, la, la
context: And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la response:	My voice springs up
context: I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up response:	Rin, you have that same thing on your hand towel and lunch box...
context: I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box... response:	What is it?
context: Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it? response:	Like a dog with huge ears...
context: My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears... response:	It's not a dog!
context: I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears...\It's not a dog! response:	It's Lop Ear!
context: Ride the dancing wind\Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears...\It's not a dog!\It's Lop Ear! response:	Lop...? What's that?
context: Sing, la, la, la\My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears...\It's not a dog!\It's Lop Ear!\Lop...? What's that? response:	A rabbit!
context: My voice springs up\Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears...\It's not a dog!\It's Lop Ear!\Lop...? What's that?\A rabbit! response:	This isn't a little dog?
context: Rin, you have that same thing on your hand towel and lunch box...\What is it?\Like a dog with huge ears...\It's not a dog!\It's Lop Ear!\Lop...? What's that?\A rabbit!\This isn't a little dog? response:	It's a rabbit!
context: What is it?\Like a dog with huge ears...\It's not a dog!\It's Lop Ear!\Lop...? What's that?\A rabbit!\This isn't a little dog?\It's a rabbit! response:	Jeez!
context: Like a dog with huge ears...\It's not a dog!\It's Lop Ear!\Lop...? What's that?\A rabbit!\This isn't a little dog?\It's a rabbit!\Jeez! response:	Rin, let's go pee.
context: It's not a dog!\It's Lop Ear!\Lop...? What's that?\A rabbit!\This isn't a little dog?\It's a rabbit!\Jeez!\Rin, let's go pee. response:	I already went!
context: It's Lop Ear!\Lop...? What's that?\A rabbit!\This isn't a little dog?\It's a rabbit!\Jeez!\Rin, let's go pee.\I already went! response:	Is that right?
