context: I must be aware... response:	of the ball,
context: In...\In?\Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow? response:	Who're you trying to look like?
context: In?\Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like? response:	Will he be all right? What do you mean?
context: Intimidated? Of course I won't be.\I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean? response:	Hinata's only experience is at that one match in junior high.
context: I'll do great. You'll see...\Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high. response:	Is that how you get dressed?
context: Hey, Hinata.\You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed? response:	No, it's not. I was daydreaming. That's all.
context: You're putting your jacket on first...\What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all. response:	I think he's really anxious and worried because of that.
context: What's that? A fashion statement?\Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that. response:	That's why I think he might be quite nervous.
context: Kageyama, is Hinata going to be all right tomorrow?\Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous. response:	But everyone feels nervous...
context: Who're you trying to look like?\Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous... response:	You make light of the anxiety we cowards feel.
context: Will he be all right? What do you mean?\Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel. response:	No matter what I say, it adds pressure.
context: Hinata's only experience is at that one match in junior high.\Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure. response:	Hinata.
context: Is that how you get dressed?\No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata. response:	Here's the key to the club room.
context: No, it's not. I was daydreaming. That's all.\I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room. response:	Don't worry. I'll bring it with me.
context: I think he's really anxious and worried because of that.\That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me. response:	I never told you where to keep it, so I brought it with me.
context: That's why I think he might be quite nervous.\But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me. response:	I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.
context: But everyone feels nervous...\You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. response:	You can't help it at first.
context: You make light of the anxiety we cowards feel.\No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first. response:	I think it's best to leave him alone.
context: No matter what I say, it adds pressure.\Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone. response:	I wonder...
context: Hinata.\Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone.\I wonder... response:	I have to do it right tomorrow...
context: Here's the key to the club room.\Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow... response:	This isn't going to be like junior high, or like the three-on-three the other day,
context: Don't worry. I'll bring it with me.\I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day, response:	because I can be replaced.
context: I never told you where to keep it, so I brought it with me.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced. response:	I don't want that. I don't want to be replaced.
context: I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.\You can't help it at first.\I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced. response:	I'm finally going to stand on the court with a full team.
context: You can't help it at first.\I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team. response:	I want to be out there'til the end.
context: I think it's best to leave him alone.\I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end. response:	I can't goof up. I can't goof up.
context: I wonder...\I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up. response:	I can't goof up.
context: I have to do it right tomorrow...\This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up. response:	Whoops, sorry. You're so small I couldn't see you.
context: This isn't going to be like junior high, or like the three-on-three the other day,\because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you. response:	I can't goof up. I can't goof up.
context: because I can be replaced.\I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up. response:	What's that all about?
context: I don't want that. I don't want to be replaced.\I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about? response:	Who knows?
context: I'm finally going to stand on the court with a full team.\I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about?\Who knows? response:	Hey, Kageyama.
context: I want to be out there'til the end.\I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about?\Who knows?\Hey, Kageyama. response:	Don't make any wisecracks that'll put more pressure on him.
context: I can't goof up. I can't goof up.\I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about?\Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him. response:	Wisecracks?
context: I can't goof up.\Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about?\Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks? response:	Have I ever made any wisecracks?
context: Whoops, sorry. You're so small I couldn't see you.\I can't goof up. I can't goof up.\What's that all about?\Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks? response:	I have no recollection whatsoever.
context: I can't goof up. I can't goof up.\What's that all about?\Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever. response:	He has no self-awareness.
context: What's that all about?\Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness. response:	Hinata.
context: Who knows?\Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness.\Hinata. response:	You're wearing my pants!
context: Hey, Kageyama.\Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness.\Hinata.\You're wearing my pants! response:	What are you doing Tanaka? You pervert!
context: Don't make any wisecracks that'll put more pressure on him.\Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness.\Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert! response:	Are you stupid? You're the worst.
context: Wisecracks?\Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness.\Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst. response:	I can't sleep.
context: Have I ever made any wisecracks?\I have no recollection whatsoever.\He has no self-awareness.\Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep. response:	I can't sleep.
context: I have no recollection whatsoever.\He has no self-awareness.\Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep.\I can't sleep. response:	Nii-chan, you're too noisy.
context: He has no self-awareness.\Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep.\I can't sleep.\Nii-chan, you're too noisy. response:	S-Sorry.
context: Hinata.\You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep.\I can't sleep.\Nii-chan, you're too noisy.\S-Sorry. response:	Kitagawa Daiichi Volleyball Club
context: You're wearing my pants!\What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep.\I can't sleep.\Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club response:	Line up.
context: What are you doing Tanaka? You pervert!\Are you stupid? You're the worst.\I can't sleep.\I can't sleep.\Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up. response:	Let's play.
context: Are you stupid? You're the worst.\I can't sleep.\I can't sleep.\Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up.\Let's play. response:	Yes.
context: I can't sleep.\I can't sleep.\Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up.\Let's play.\Yes. response:	Hey, Hinata. I'll give you something to eat.
context: I can't sleep.\Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up.\Let's play.\Yes.\Hey, Hinata. I'll give you something to eat. response:	What is that look on your face?
context: Nii-chan, you're too noisy.\S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up.\Let's play.\Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face? response:	I couldn't sleep last night...
context: S-Sorry.\Kitagawa Daiichi Volleyball Club\Line up.\Let's play.\Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night... response:	The window... can I open the window?
context: Kitagawa Daiichi Volleyball Club\Line up.\Let's play.\Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night...\The window... can I open the window? response:	Stop the bus!
context: Line up.\Let's play.\Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night...\The window... can I open the window?\Stop the bus! response:	Uh oh...
context: Let's play.\Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night...\The window... can I open the window?\Stop the bus!\Uh oh... response:	This is...
context: Yes.\Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night...\The window... can I open the window?\Stop the bus!\Uh oh...\This is... response:	Next Episode Preview
context: Hey, Hinata. I'll give you something to eat.\What is that look on your face?\I couldn't sleep last night...\The window... can I open the window?\Stop the bus!\Uh oh...\This is...\Next Episode Preview response:	Daichi, is Hinata all right?
context: What is that look on your face?\I couldn't sleep last night...\The window... can I open the window?\Stop the bus!\Uh oh...\This is...\Next Episode Preview\Daichi, is Hinata all right? response:	Y-Yeah...
context: I couldn't sleep last night...\The window... can I open the window?\Stop the bus!\Uh oh...\This is...\Next Episode Preview\Daichi, is Hinata all right?\Y-Yeah... response:	Daichi? You're looking pale...
context: The window... can I open the window?\Stop the bus!\Uh oh...\This is...\Next Episode Preview\Daichi, is Hinata all right?\Y-Yeah...\Daichi? You're looking pale... response:	The smell is... making me feel dizzy...
context: Stop the bus!\Uh oh...\This is...\Next Episode Preview\Daichi, is Hinata all right?\Y-Yeah...\Daichi? You're looking pale...\The smell is... making me feel dizzy... response:	The windows! Open all the windows!
context: Uh oh...\This is...\Next Episode Preview\Daichi, is Hinata all right?\Y-Yeah...\Daichi? You're looking pale...\The smell is... making me feel dizzy...\The windows! Open all the windows! response:	Episode 6: An Interesting Team
context: This is...\Next Episode Preview\Daichi, is Hinata all right?\Y-Yeah...\Daichi? You're looking pale...\The smell is... making me feel dizzy...\The windows! Open all the windows!\Episode 6: An Interesting Team response:	Next time on Haikyu!! An Interesting Team.
