context: I was simply entranced by that outfit's beauty. response:	This will be your wedding dress.
context: What good will knowing that do you?\I don't know!\But not knowing who did it, it just doesn't sit right!\I have nothing to say to someone as devoid of aspirations as you!\The way you talk pisses me off!\That is totally fine with me!\I'm gonna crush them.\What? response:	I don't know what you're thinking, but I'm gonna
context: I don't know!\But not knowing who did it, it just doesn't sit right!\I have nothing to say to someone as devoid of aspirations as you!\The way you talk pisses me off!\That is totally fine with me!\I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna response:	take all that lofty crap you spout about ambition and aspirations,
context: But not knowing who did it, it just doesn't sit right!\I have nothing to say to someone as devoid of aspirations as you!\The way you talk pisses me off!\That is totally fine with me!\I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations, response:	and crush every last one of'em.
context: I have nothing to say to someone as devoid of aspirations as you!\The way you talk pisses me off!\That is totally fine with me!\I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em. response:	That oughta loosen your lips a little.
context: The way you talk pisses me off!\That is totally fine with me!\I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little. response:	How amusing.
context: That is totally fine with me!\I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little.\How amusing. response:	You're going to crush my ambitions, are you?
context: I'm gonna crush them.\What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you? response:	Honnouji Academy is my kingdom!
context: What?\I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom! response:	If you say you will topple it all by yourself,
context: I don't know what you're thinking, but I'm gonna\take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself, response:	then I accept your challenge!
context: take all that lofty crap you spout about ambition and aspirations,\and crush every last one of'em.\That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge! response:	Beginning tomorrow, all clubs will be after your head!
context: and crush every last one of'em.\That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head! response:	Do you still think you can win?
context: That oughta loosen your lips a little.\How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win? response:	You bet your ass I do.
context: How amusing.\You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do. response:	As you wish.
context: You're going to crush my ambitions, are you?\Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do.\As you wish. response:	Then defeat each and every student who comes after you!
context: Honnouji Academy is my kingdom!\If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you! response:	If you do, then Junketsu and I will face you again.
context: If you say you will topple it all by yourself,\then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again. response:	And if I win, you're gonna tell me everything.
context: then I accept your challenge!\Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything. response:	We're agreed, then.
context: Beginning tomorrow, all clubs will be after your head!\Do you still think you can win?\You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then. response:	You're on.
context: Do you still think you can win?\You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then.\You're on. response:	Forcing Matoi and the students to fight?
context: You bet your ass I do.\As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then.\You're on.\Forcing Matoi and the students to fight? response:	What's that little lady thinking?
context: As you wish.\Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then.\You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking? response:	NEXT EPISODE PREVIEW
context: Then defeat each and every student who comes after you!\If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then.\You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW response:	Hey everybody, if you're watching stuff like anime this late at night,
context: If you do, then Junketsu and I will face you again.\And if I win, you're gonna tell me everything.\We're agreed, then.\You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night, response:	STUFF LIKE ANIME
context: And if I win, you're gonna tell me everything.\We're agreed, then.\You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME response:	TOMORROW MORNING
context: We're agreed, then.\You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING response:	tomorrow morning will be rough!
context: You're on.\Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough! response:	ROUGH
context: Forcing Matoi and the students to fight?\What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough!\ROUGH response:	In order not to be late tomorrow, stake your life on commuting to school.
context: What's that little lady thinking?\NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school. response:	COMMUTE
context: NEXT EPISODE PREVIEW\Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school.\COMMUTE response:	STAKE YOUR LIFE
context: Hey everybody, if you're watching stuff like anime this late at night,\STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school.\COMMUTE\STAKE YOUR LIFE response:	STAKE YOUR LIFE
context: STUFF LIKE ANIME\TOMORROW MORNING\tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school.\COMMUTE\STAKE YOUR LIFE\STAKE YOUR LIFE response:	Next time on Kill la Kill, Dawn of a Miserable Morning.
context: TOMORROW MORNING\tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school.\COMMUTE\STAKE YOUR LIFE\STAKE YOUR LIFE\Next time on Kill la Kill, Dawn of a Miserable Morning. response:	EPISODE 4 DAWN OF A MISERABLE MORNING
context: tomorrow morning will be rough!\ROUGH\In order not to be late tomorrow, stake your life on commuting to school.\COMMUTE\STAKE YOUR LIFE\STAKE YOUR LIFE\Next time on Kill la Kill, Dawn of a Miserable Morning.\EPISODE 4 DAWN OF A MISERABLE MORNING response:	EPISODE 4 DAWN OF A MISERABLE MORNING
