context: What's the matter? response:	You can't stand?
context: The Class A hero, Spring Mustachio?\I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage? response:	Oh, I'm not so sure about... that!
context: I'm flattered that you've heard of me.\You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that! response:	I have you now!
context: You must be the hero hunter I keep hearing about.\Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now! response:	Tomboy!
context: Ding, ding. For your prize, I'll crush you now, too.\His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now!\Tomboy! response:	I've... got you!
context: His right leg's been injured.\That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now!\Tomboy!\I've... got you! response:	Did you guys know that your trump cards are listed in the Hero Guide?
context: That should slow down his footwork.\I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now!\Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide? response:	Opponents with weapons are easy once you get used to them.
context: I see. Thank you for the advice.\Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now!\Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them. response:	Hey, don't get ahead of yourself.
context: Doesn't swinging that thing in a cramped place like this put you at a disadvantage?\Oh, I'm not so sure about... that!\I have you now!\Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself. response:	You can't keep doing this forever.
context: Oh, I'm not so sure about... that!\I have you now!\Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever. response:	I'm going to continue getting stronger.
context: I have you now!\Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger. response:	Just try and take me out if you can!
context: Tomboy!\I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can! response:	Until you do, I'll keep doing whatever the hell I want.
context: I've... got you!\Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want. response:	Hey, the Hero Association makes a lot of money, right?
context: Did you guys know that your trump cards are listed in the Hero Guide?\Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right? response:	Don't say things like that.
context: Opponents with weapons are easy once you get used to them.\Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that. response:	It costs a lot of money to keep the peace.
context: Hey, don't get ahead of yourself.\You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace. response:	It's not like we're loaded.
context: You can't keep doing this forever.\I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded. response:	Then why did you buy this for me?
context: I'm going to continue getting stronger.\Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me? response:	And why do you always stop by our place?
context: Just try and take me out if you can!\Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place? response:	To keep the peace, of course.
context: Until you do, I'll keep doing whatever the hell I want.\Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course. response:	For an official from the Hero Association,
context: Hey, the Hero Association makes a lot of money, right?\Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association, response:	fooling around with you two is a necessary expense.
context: Don't say things like that.\It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense. response:	As someone who fights evil on the front lines, I need a way to restore my energy.
context: It costs a lot of money to keep the peace.\It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy. response:	Letting loose, eh?
context: It's not like we're loaded.\Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh? response:	That means you're letting loose every single day.
context: Then why did you buy this for me?\And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day. response:	Oh, I know. Why don't I introduce you to Amai Mask next time?
context: And why do you always stop by our place?\To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time? response:	What? Really?
context: To keep the peace, of course.\For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really? response:	I'm a huge fan of his!
context: For an official from the Hero Association,\fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his! response:	If you give me a kiss on the cheek.
context: fooling around with you two is a necessary expense.\As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek. response:	What? I'm not sure about that...
context: As someone who fights evil on the front lines, I need a way to restore my energy.\Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that... response:	For real? Really?
context: Letting loose, eh?\That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really? response:	Let me meet him, too.
context: That means you're letting loose every single day.\Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really?\Let me meet him, too. response:	I'll gladly kiss you on the cheek.
context: Oh, I know. Why don't I introduce you to Amai Mask next time?\What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek. response:	Letting loose, letting loose.
context: What? Really?\I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose. response:	Life's so peaceful.
context: I'm a huge fan of his!\If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful. response:	I felt great after defeating those Class A heroes...
context: If you give me a kiss on the cheek.\What? I'm not sure about that...\For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes... response:	Now I feel like I just stepped in shit.
context: What? I'm not sure about that...\For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit. response:	Fighting evil on the front lines?
context: For real? Really?\Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines? response:	You make me sick.
context: Let me meet him, too.\I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick. response:	Oh, hey. I finally found you.
context: I'll gladly kiss you on the cheek.\Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you. response:	I've been looking for you.
context: Letting loose, letting loose.\Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you.\I've been looking for you. response:	Reinforcements? Is he a hero, too?
context: Life's so peaceful.\I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too? response:	I've never seen him before.
context: I felt great after defeating those Class A heroes...\Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before. response:	Must be some nameless bottom-ranker.
context: Now I feel like I just stepped in shit.\Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker. response:	He's probably trying to catch me so he can climb up the ranks.
context: Fighting evil on the front lines?\You make me sick.\Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks. response:	Well, I'll strike first!
context: You make me sick.\Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first! response:	Huh?
context: Oh, hey. I finally found you.\I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh? response:	What's the big idea?
context: I've been looking for you.\Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh?\What's the big idea? response:	Who the hell are you?
context: Reinforcements? Is he a hero, too?\I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh?\What's the big idea?\Who the hell are you? response:	You trying to rob me?
context: I've never seen him before.\Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh?\What's the big idea?\Who the hell are you?\You trying to rob me? response:	Don't interfere with my shopping.
context: Must be some nameless bottom-ranker.\He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh?\What's the big idea?\Who the hell are you?\You trying to rob me?\Don't interfere with my shopping. response:	Excuse me, could I get this?
context: He's probably trying to catch me so he can climb up the ranks.\Well, I'll strike first!\Huh?\What's the big idea?\Who the hell are you?\You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this? response:	That'll be 3,000 yen.
context: Well, I'll strike first!\Huh?\What's the big idea?\Who the hell are you?\You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen. response:	That's sorta expensive.
context: Huh?\What's the big idea?\Who the hell are you?\You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive. response:	Not bad.
context: What's the big idea?\Who the hell are you?\You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive.\Not bad. response:	Master...
context: Who the hell are you?\You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive.\Not bad.\Master... response:	It bothers you that much...
context: You trying to rob me?\Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive.\Not bad.\Master...\It bothers you that much... response:	Wait, it's not like that.
context: Don't interfere with my shopping.\Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive.\Not bad.\Master...\It bothers you that much...\Wait, it's not like that. response:	I haven't decided to wear a wig for the rest of my life or anything.
context: Excuse me, could I get this?\That'll be 3,000 yen.\That's sorta expensive.\Not bad.\Master...\It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything. response:	Doctor Kuseno, it's me, Genos.
context: That'll be 3,000 yen.\That's sorta expensive.\Not bad.\Master...\It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos. response:	There's something I'd like to discuss immediately.
context: That's sorta expensive.\Not bad.\Master...\It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately. response:	Master Saitama is in a perilous state.
context: Not bad.\Master...\It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state. response:	Those synthetic hair implants made of reinforced fiber...
context: Master...\It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber... response:	You said you could implant them into living skin, correct?
context: It bothers you that much...\Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct? response:	Yes, that's right. I believe I'll need them after all.
context: Wait, it's not like that.\I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all. response:	So black is one of the color options?
context: I haven't decided to wear a wig for the rest of my life or anything.\Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options? response:	If we decide to go forward with the operation, when will you be available?
context: Doctor Kuseno, it's me, Genos.\There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available? response:	The sooner the better?
context: There's something I'd like to discuss immediately.\Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better? response:	Next Wednesday? I see.
context: Master Saitama is in a perilous state.\Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see. response:	Yes, I'll be accompanying him.
context: Those synthetic hair implants made of reinforced fiber...\You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him. response:	Understood. Let's go with that day.
context: You said you could implant them into living skin, correct?\Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day. response:	Thank you for all of your help.
context: Yes, that's right. I believe I'll need them after all.\So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help. response:	Master Saitama! Are you free next Wednesday?
context: So black is one of the color options?\If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday? response:	Stop trying to stick reinforced fiber into my head without my permission.
context: If we decide to go forward with the operation, when will you be available?\The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission. response:	I'm going to enter a martial arts tournament wearing this.
context: The sooner the better?\Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission.\I'm going to enter a martial arts tournament wearing this. response:	As Charanko.
context: Next Wednesday? I see.\Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission.\I'm going to enter a martial arts tournament wearing this.\As Charanko. response:	It's today?
context: Yes, I'll be accompanying him.\Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission.\I'm going to enter a martial arts tournament wearing this.\As Charanko.\It's today? response:	Yup. See you later.
context: Understood. Let's go with that day.\Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission.\I'm going to enter a martial arts tournament wearing this.\As Charanko.\It's today?\Yup. See you later. response:	I'm gonna go try out this martial arts thing.
context: Thank you for all of your help.\Master Saitama! Are you free next Wednesday?\Stop trying to stick reinforced fiber into my head without my permission.\I'm going to enter a martial arts tournament wearing this.\As Charanko.\It's today?\Yup. See you later.\I'm gonna go try out this martial arts thing. response:	Metal Bat
