context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: minna de tsukutta wa wa ookiku narisugite\The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me, response:	sotto dare ka ga kureta yasashii kotoba ga
context: The circle we came together to make became too large\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga response:	But those kind words that someone once told me,
context: toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me, response:	kimi no mono da to oshietekuretanda
context: Sometimes I don't even know where you might be\toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda response:	I knew that they were yours when I heard them
context: toki ni wa kimi ga doko ni iru no kamo wakaranakunatte\Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them response:	kimi no mono da to oshietekuretanda
context: Sometimes I don't even know where you might be\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda response:	I knew that they were yours when I heard them
context: sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them response:	ude wo kaki kaze wo kire
context: But those kind words that someone once told me,\sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire response:	Swing your arms, cut through the wind,
context: sotto dare ka ga kureta yasashii kotoba ga\But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind, response:	ude wo kaki kaze wo kire
context: But those kind words that someone once told me,\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire response:	Swing your arms, cut through the wind,
context: kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind, response:	mae wo muki namida ga nijimu hodo ni
context: I knew that they were yours when I heard them\kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni response:	Face forward, and run through the sky,
context: kimi no mono da to oshietekuretanda\I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky, response:	mae wo muki namida ga nijimu hodo ni
context: I knew that they were yours when I heard them\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni response:	Face forward, and run through the sky,
context: ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky, response:	massugu kono sora wo kakenukero
context: Swing your arms, cut through the wind,\ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero response:	So straight and fast that the tears fly past
context: ude wo kaki kaze wo kire\Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past response:	massugu kono sora wo kakenukero
context: Swing your arms, cut through the wind,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero response:	So straight and fast that the tears fly past
context: mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past response:	kimi mo hitori boku mo hitori
context: Face forward, and run through the sky,\mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori response:	You're alone, I'm alone
context: mae wo muki namida ga nijimu hodo ni\Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone response:	kimi mo hitori boku mo hitori
context: Face forward, and run through the sky,\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori response:	You're alone, I'm alone
context: massugu kono sora wo kakenukero\So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone response:	minna ga kodoku de irunda
context: So straight and fast that the tears fly past\massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda response:	In the end, we're all alone
context: massugu kono sora wo kakenukero\So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone response:	minna ga kodoku de irunda
context: So straight and fast that the tears fly past\kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda response:	In the end, we're all alone
context: kimi mo hitori boku mo hitori\You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone response:	kono wa no naka de mou kidzukanai uchi ni
context: You're alone, I'm alone\kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni response:	Even in this circle, before we knew it,
context: kimi mo hitori boku mo hitori\You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it, response:	kono wa no naka de mou kidzukanai uchi ni
context: You're alone, I'm alone\minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni response:	Even in this circle, before we knew it,
context: minna ga kodoku de irunda\In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it, response:	sono ashi wa furuedasu chiisana kakoku ni mo
context: In the end, we're all alone\minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo response:	Those legs began to shake, even in the face of the least of grief
context: minna ga kodoku de irunda\In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief response:	sono ashi wa furuedasu chiisana kakoku ni mo
context: In the end, we're all alone\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo response:	Those legs began to shake, even in the face of the least of grief
context: kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief response:	bokura minna onaji yume wo miteta
context: Even in this circle, before we knew it,\kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta response:	In the end, we were all having the same dream,
context: kono wa no naka de mou kidzukanai uchi ni\Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream, response:	bokura minna onaji yume wo miteta
context: Even in this circle, before we knew it,\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta response:	In the end, we were all having the same dream,
context: sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream, response:	The best friends I've ever had
context: Those legs began to shake, even in the face of the least of grief\sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had response:	The Little Busters.
context: sono ashi wa furuedasu chiisana kakoku ni mo\Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters. response:	sugisaru ichi pe-ji no
context: Those legs began to shake, even in the face of the least of grief\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no response:	A single, passing page in life
context: bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life response:	sugisaru ichi pe-ji no
context: In the end, we were all having the same dream,\bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no response:	A single, passing page in life
context: bokura minna onaji yume wo miteta\In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life response:	koko kara wa issatsu shika motteikenai yo
context: In the end, we were all having the same dream,\The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo response:	You can only take one of them out of here with you
context: The best friends I've ever had\The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you response:	koko kara wa issatsu shika motteikenai yo
context: The Little Busters.\sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo response:	You can only take one of them out of here with you
context: sugisaru ichi pe-ji no\A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you response:	Little
context: A single, passing page in life\sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little response:	Busters
context: sugisaru ichi pe-ji no\A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little\Busters response:	All
context: A single, passing page in life\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little\Busters\All response:	Stars
context: koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little\Busters\All\Stars response:	sore de yokatta no kai?
context: You can only take one of them out of here with you\koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little\Busters\All\Stars\sore de yokatta no kai? response:	Is that really what you wanted?
context: koko kara wa issatsu shika motteikenai yo\You can only take one of them out of here with you\Little\Busters\All\Stars\sore de yokatta no kai?\Is that really what you wanted? response:	sore de yokatta no kai?
context: You can only take one of them out of here with you\Little\Busters\All\Stars\sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai? response:	Is that really what you wanted?
context: Little\Busters\All\Stars\sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted? response:	mune ni wa tsuyosa wo
context: Busters\All\Stars\sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo response:	Gather your strength in your heart,
context: All\Stars\sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart, response:	mune ni wa tsuyosa wo
context: Stars\sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo response:	Gather your strength in your heart,
context: sore de yokatta no kai?\Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart, response:	kedakaki tsuyosa wo
context: Is that really what you wanted?\sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo response:	As much heroic strength as you can
context: sore de yokatta no kai?\Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can response:	kedakaki tsuyosa wo
context: Is that really what you wanted?\mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo response:	As much heroic strength as you can
context: mune ni wa tsuyosa wo\Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can response:	Yahoo!
context: Gather your strength in your heart,\mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo! response:	hoho ni wa namida wo
context: mune ni wa tsuyosa wo\Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo!\hoho ni wa namida wo response:	On your cheek, a tear
context: Gather your strength in your heart,\kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo!\hoho ni wa namida wo\On your cheek, a tear response:	hoho ni wa namida wo
context: kedakaki tsuyosa wo\As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo!\hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo response:	On your cheek, a tear
context: As much heroic strength as you can\kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo!\hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear response:	The Little Busters are the best!
context: kedakaki tsuyosa wo\As much heroic strength as you can\Yahoo!\hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best! response:	itteki no namida wo
context: As much heroic strength as you can\Yahoo!\hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best!\itteki no namida wo response:	A single, lonely tear
context: Yahoo!\hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best!\itteki no namida wo\A single, lonely tear response:	itteki no namida wo
context: hoho ni wa namida wo\On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best!\itteki no namida wo\A single, lonely tear\itteki no namida wo response:	A single, lonely tear
context: On your cheek, a tear\hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best!\itteki no namida wo\A single, lonely tear\itteki no namida wo\A single, lonely tear response:	The best!
context: hoho ni wa namida wo\On your cheek, a tear\The Little Busters are the best!\itteki no namida wo\A single, lonely tear\itteki no namida wo\A single, lonely tear\The best! response:	We're the best!
context: On your cheek, a tear\The Little Busters are the best!\itteki no namida wo\A single, lonely tear\itteki no namida wo\A single, lonely tear\The best!\We're the best! response:	takaku tobe takaku sora he
context: The Little Busters are the best!\itteki no namida wo\A single, lonely tear\itteki no namida wo\A single, lonely tear\The best!\We're the best!\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: itteki no namida wo\A single, lonely tear\itteki no namida wo\A single, lonely tear\The best!\We're the best!\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku tobe takaku sora he
context: A single, lonely tear\itteki no namida wo\A single, lonely tear\The best!\We're the best!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: itteki no namida wo\A single, lonely tear\The best!\We're the best!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku kere takaku koe wo age
context: A single, lonely tear\The best!\We're the best!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: The best!\We're the best!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	takaku kere takaku koe wo age
context: We're the best!\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	Muscles, aw yeah!
context: I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah! response:	One, two, Little Busters!
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters! response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	sono ashi wa arukidasu
context: The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: Muscles, aw yeah!\One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	yagate kuru kakoku mo
context: One, two, Little Busters!\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
