context: Where are we going, Coach? response:	You'll know when we get there.
context: See ya.\Tempo\Veteran\Shimada Mart\Report Card\Karasuno High School\Ice\Woof response:	Oh, sorry! It might be a bit short!
context: Tempo\Veteran\Shimada Mart\Report Card\Karasuno High School\Ice\Woof\Oh, sorry! It might be a bit short! response:	That's amazing, Sho-kun! Nice cover.
context: Veteran\Shimada Mart\Report Card\Karasuno High School\Ice\Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover. response:	You used to panic so quickly, even if it was just a little off.
context: Shimada Mart\Report Card\Karasuno High School\Ice\Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off. response:	Oh, no. Oh, no.
context: Report Card\Karasuno High School\Ice\Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no. response:	Shut up!
context: Karasuno High School\Ice\Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up! response:	Up until now, I was able to hit without thinking too much
context: Ice\Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much response:	because of my amazing setter...
context: Woof\Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter... response:	But now, all of your techniques and habits are different,
context: Oh, sorry! It might be a bit short!\That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different, response:	so I have to make it work in mid-air.
context: That's amazing, Sho-kun! Nice cover.\You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air. response:	It's just a little, but I can see the ball better than before.
context: You used to panic so quickly, even if it was just a little off.\Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before. response:	Give me a hand, Shrimpo.
context: Oh, no. Oh, no.\Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo. response:	It went from Shrimpy to Shrimpo.
context: Shut up!\Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo. response:	He's been promoted!
context: Up until now, I was able to hit without thinking too much\because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted! response:	Is that really a promotion?
context: because of my amazing setter...\But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion? response:	You're going to Tokyo the day after tomorrow, aren't ya?
context: But now, all of your techniques and habits are different,\so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya? response:	Nekoma's coming, too, right?
context: so I have to make it work in mid-air.\It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right? response:	Yes.
context: It's just a little, but I can see the ball better than before.\Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes. response:	Sensei told us that Coach Nekomata's the one who invited us over.
context: Give me a hand, Shrimpo.\It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over. response:	He's hard to get along with, but his volleyball sense is second to none.
context: It went from Shrimpy to Shrimpo.\He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none. response:	The players he's leading aren't going to be easy to handle.
context: He's been promoted!\Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle. response:	Let the push you to your limits.
context: Is that really a promotion?\You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits. response:	Right!
context: You're going to Tokyo the day after tomorrow, aren't ya?\Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right! response:	First Gymnasium
context: Nekoma's coming, too, right?\Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right!\First Gymnasium response:	All right!
context: Yes.\Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right!\First Gymnasium\All right! response:	Next, please!
context: Sensei told us that Coach Nekomata's the one who invited us over.\He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right!\First Gymnasium\All right!\Next, please! response:	You got it!
context: He's hard to get along with, but his volleyball sense is second to none.\The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right!\First Gymnasium\All right!\Next, please!\You got it! response:	Now, that it's summer vacation, we can practice from morning to night.
context: The players he's leading aren't going to be easy to handle.\Let the push you to your limits.\Right!\First Gymnasium\All right!\Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night. response:	And starting tomorrow, we'll resume the Tokyo away games.
context: Let the push you to your limits.\Right!\First Gymnasium\All right!\Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games. response:	This time, we'll be there for a solid week!
context: Right!\First Gymnasium\All right!\Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week! response:	This is the first and last long-term training camp
context: First Gymnasium\All right!\Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp response:	before the spring tournament prelims.
context: All right!\Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims. response:	Let's make the most of this opportunity,
context: Next, please!\You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity, response:	so we have no regrets entering the spring tournament prelims.
context: You got it!\Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims. response:	Noya-san, you started practicing tossing?
context: Now, that it's summer vacation, we can practice from morning to night.\And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing? response:	Yep! I'm gonna do a running approach to here...
context: And starting tomorrow, we'll resume the Tokyo away games.\This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing?\Yep! I'm gonna do a running approach to here... response:	Then Jumping Thunder Toss!
context: This time, we'll be there for a solid week!\This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing?\Yep! I'm gonna do a running approach to here...\Then Jumping Thunder Toss! response:	Uh, wait. Where'd the ball go?
context: This is the first and last long-term training camp\before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing?\Yep! I'm gonna do a running approach to here...\Then Jumping Thunder Toss!\Uh, wait. Where'd the ball go? response:	How about you start by practicing normal tosses?
context: before the spring tournament prelims.\Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing?\Yep! I'm gonna do a running approach to here...\Then Jumping Thunder Toss!\Uh, wait. Where'd the ball go?\How about you start by practicing normal tosses? response:	Episode 07: Moonrise
context: Let's make the most of this opportunity,\so we have no regrets entering the spring tournament prelims.\Noya-san, you started practicing tossing?\Yep! I'm gonna do a running approach to here...\Then Jumping Thunder Toss!\Uh, wait. Where'd the ball go?\How about you start by practicing normal tosses?\Episode 07: Moonrise response:	Next time on Haikyu!! : Moonrise.
