context: Hey. Morning. response:	Hi.
context: That's self-contradictory.\Is it?\I think she's just being stubborn.\Aren't you the same way?\She's always been awkward.\I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can, response:	but there are some things that only you can do,
context: Is it?\I think she's just being stubborn.\Aren't you the same way?\She's always been awkward.\I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do, response:	so I'm counting on you.
context: I think she's just being stubborn.\Aren't you the same way?\She's always been awkward.\I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do,\so I'm counting on you. response:	Oh.
context: Aren't you the same way?\She's always been awkward.\I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do,\so I'm counting on you.\Oh. response:	You five were born at nearly the same time,
context: She's always been awkward.\I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do,\so I'm counting on you.\Oh.\You five were born at nearly the same time, response:	so I thought it didn't matter in your case...
context: I think she's just having a hard time being upfront.\I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do,\so I'm counting on you.\Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case... response:	But you actually are the oldest sister.
context: I'm sure she's hurting on her own right now.\I'll do what I can,\but there are some things that only you can do,\so I'm counting on you.\Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister. response:	What's up with the hand?
context: I'll do what I can,\but there are some things that only you can do,\so I'm counting on you.\Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand? response:	You were the one who told me to do that.
context: but there are some things that only you can do,\so I'm counting on you.\Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that. response:	It's cold. Let's go inside.
context: so I'm counting on you.\Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside. response:	Huh?
context: Oh.\You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside.\Huh? response:	Is it cold?
context: You five were born at nearly the same time,\so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside.\Huh?\Is it cold? response:	Okay, you can use my bed.
context: so I thought it didn't matter in your case...\But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside.\Huh?\Is it cold?\Okay, you can use my bed. response:	So this is what they call a bed.
context: But you actually are the oldest sister.\What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside.\Huh?\Is it cold?\Okay, you can use my bed.\So this is what they call a bed. response:	Not bad.
context: What's up with the hand?\You were the one who told me to do that.\It's cold. Let's go inside.\Huh?\Is it cold?\Okay, you can use my bed.\So this is what they call a bed.\Not bad. response:	What's wrong?
context: You were the one who told me to do that.\It's cold. Let's go inside.\Huh?\Is it cold?\Okay, you can use my bed.\So this is what they call a bed.\Not bad.\What's wrong? response:	Bathroom.
context: It's cold. Let's go inside.\Huh?\Is it cold?\Okay, you can use my bed.\So this is what they call a bed.\Not bad.\What's wrong?\Bathroom. response:	Wh-Why?!
context: Huh?\Is it cold?\Okay, you can use my bed.\So this is what they call a bed.\Not bad.\What's wrong?\Bathroom.\Wh-Why?! response:	Next Time on The Quintessential Quintuplets
context: Is it cold?\Okay, you can use my bed.\So this is what they call a bed.\Not bad.\What's wrong?\Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets response:	07 Liar McLieface
context: Okay, you can use my bed.\So this is what they call a bed.\Not bad.\What's wrong?\Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface response:	Quintuplet trivia!
context: So this is what they call a bed.\Not bad.\What's wrong?\Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia! response:	Itsuki-chan's the biggest eater of the five of us.
context: Not bad.\What's wrong?\Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia!\Itsuki-chan's the biggest eater of the five of us. response:	Why would you say that?!
context: What's wrong?\Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia!\Itsuki-chan's the biggest eater of the five of us.\Why would you say that?! response:	That's defamation!
context: Bathroom.\Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia!\Itsuki-chan's the biggest eater of the five of us.\Why would you say that?!\That's defamation! response:	All I've had today is a bowl of katsudon!
context: Wh-Why?!\Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia!\Itsuki-chan's the biggest eater of the five of us.\Why would you say that?!\That's defamation!\All I've had today is a bowl of katsudon! response:	Oh, right.
context: Next Time on The Quintessential Quintuplets\07 Liar McLieface\Quintuplet trivia!\Itsuki-chan's the biggest eater of the five of us.\Why would you say that?!\That's defamation!\All I've had today is a bowl of katsudon!\Oh, right. response:	It's only eight in the morning, though.
