context: All four of you are going to hell. response:	Nii-san's the only one that stands a chance anymore!
context: Kageyama took all the glory that night.\Yeah.\Let's do this!\Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore? response:	You awakened to psychic powers, didn't you?
context: Yeah.\Let's do this!\Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you? response:	Don't be stupid. Those were all Mob's powers.
context: Let's do this!\Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers. response:	The only thing I gained from it is the ability to see you now.
context: Yeah!\So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now. response:	Otherwise, nothing's changed.
context: So, what brings you here?\I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed. response:	So you're just a plain ol' con artist again.
context: I'm only here because Shigeo asked me to come.\He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again. response:	You're a rather rude spirit.
context: He passed out from anemia and can't help with exorcising spirits.\Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit. response:	All right. Then you help me out.
context: Actually, do you even need Shigeo anymore?\You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out. response:	Dimple, was it?
context: You awakened to psychic powers, didn't you?\Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it? response:	Huh? Why do I have to help you?
context: Don't be stupid. Those were all Mob's powers.\The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you? response:	That's why he had you come over, isn't it?
context: The only thing I gained from it is the ability to see you now.\Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it? response:	If he was just calling out, a phone call would have sufficed.
context: Otherwise, nothing's changed.\So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed. response:	S-Seriously? Who do you guys think I am?
context: So you're just a plain ol' con artist again.\You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am? response:	Spirits and Such Consultation Office
context: You're a rather rude spirit.\All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office response:	What? Aren't you Mob's errand boy?
context: All right. Then you help me out.\Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy? response:	I'm a high-level evil spirit!
context: Dimple, was it?\Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit! response:	I'm disappointed in you.
context: Huh? Why do I have to help you?\That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you. response:	You coward.
context: That's why he had you come over, isn't it?\If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you.\You coward. response:	Did I do something lame?
context: If he was just calling out, a phone call would have sufficed.\S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you.\You coward.\Did I do something lame? response:	Did I make some kind of mistake?
context: S-Seriously? Who do you guys think I am?\Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you.\You coward.\Did I do something lame?\Did I make some kind of mistake? response:	Ugh, again? I told you to fix that habit of yours.
context: Spirits and Such Consultation Office\What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you.\You coward.\Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours. response:	Shigeo's just at that age.
context: What? Aren't you Mob's errand boy?\I'm a high-level evil spirit!\I'm disappointed in you.\You coward.\Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age. response:	Let him bend all the spoons he wants.
context: I'm a high-level evil spirit!\I'm disappointed in you.\You coward.\Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants. response:	You always say that.
context: I'm disappointed in you.\You coward.\Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that. response:	Here, Nii-san. Let me see it.
context: You coward.\Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it. response:	What's with these kids?
context: Did I do something lame?\Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it.\What's with these kids? response:	Here, Nii-san.
context: Did I make some kind of mistake?\Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san. response:	Thanks, Ritsu.
context: Ugh, again? I told you to fix that habit of yours.\Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san.\Thanks, Ritsu. response:	Well, whatever.
context: Shigeo's just at that age.\Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san.\Thanks, Ritsu.\Well, whatever. response:	Oh, there it is.
context: Let him bend all the spoons he wants.\You always say that.\Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san.\Thanks, Ritsu.\Well, whatever.\Oh, there it is. response:	Hello? Oh, I'd dropped my phone.
context: You always say that.\Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san.\Thanks, Ritsu.\Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone. response:	Huh? The Seventh Division?
context: Here, Nii-san. Let me see it.\What's with these kids?\Here, Nii-san.\Thanks, Ritsu.\Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division? response:	They were crushed.
context: What's with these kids?\Here, Nii-san.\Thanks, Ritsu.\Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed. response:	Espers from outside infiltrated the place and slaughtered the upper echelon.
context: Here, Nii-san.\Thanks, Ritsu.\Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon. response:	The division leader, Ishiguro-san, was no big deal either.
context: Thanks, Ritsu.\Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either. response:	As for all of the underlings,
context: Well, whatever.\Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings, response:	the enemy totally won them over.
context: Oh, there it is.\Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over. response:	Sho, what are you talking about?
context: Hello? Oh, I'd dropped my phone.\Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about? response:	I'm asking you for a status report on the inspection.
context: Huh? The Seventh Division?\They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection. response:	The organization you're so proud of isn't the best in the world at all.
context: They were crushed.\Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all. response:	Quit messing around and come back to Japan already, you stupid father.
context: Espers from outside infiltrated the place and slaughtered the upper echelon.\The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father. response:	Making me do an annoying inspection like that...
context: The division leader, Ishiguro-san, was no big deal either.\As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that... response:	At least I got that off my chest.
context: As for all of the underlings,\the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest. response:	Yes... Very soon.
context: the enemy totally won them over.\Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon. response:	Spirits and Such Consultation Office
context: Sho, what are you talking about?\I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office response:	And now the news.
context: I'm asking you for a status report on the inspection.\The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office\And now the news. response:	We've received numerous reports of tsuchinoko sightings throughout Seasoning City.
context: The organization you're so proud of isn't the best in the world at all.\Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City. response:	Multiple Tsuchinoko Sightings Continue
context: Quit messing around and come back to Japan already, you stupid father.\Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue response:	City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko
context: Making me do an annoying inspection like that...\At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko response:	and is requesting help in capturing it.
context: At least I got that off my chest.\Yes... Very soon.\Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it. response:	Hello? Are you free right now?
context: Yes... Very soon.\Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now? response:	Meet me in 90 minutes,
context: Spirits and Such Consultation Office\And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes, response:	and wear clothes you can exercise in and don't mind getting dirty.
context: And now the news.\We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty. response:	Mob and Reigen A Giant Tsuchinoko Appears
context: We've received numerous reports of tsuchinoko sightings throughout Seasoning City.\Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears response:	We're going to capture a tsuchinoko.
context: Multiple Tsuchinoko Sightings Continue\City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko. response:	Huh?
context: City Hall, in a bid to reinvigorate the area, has put a bounty on the tsuchinoko\and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh? response:	Doesn't that excite you?
context: and is requesting help in capturing it.\Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you? response:	Isn't this private property?
context: Hello? Are you free right now?\Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you?\Isn't this private property? response:	This is the kind of place where those suckers show up.
context: Meet me in 90 minutes,\and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up. response:	Have you ever seen a tsuchinoko, Master?
context: and wear clothes you can exercise in and don't mind getting dirty.\Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master? response:	Nope. It's just a hunch.
context: Mob and Reigen A Giant Tsuchinoko Appears\We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch. response:	That's pretty random.
context: We're going to capture a tsuchinoko.\Huh?\Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random. response:	Don't you have any passion when it comes to UMAs?
context: Huh?\Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs? response:	Bigfoot, Nessie, and tsuchinoko!
context: Doesn't that excite you?\Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko! response:	I hear there's a bounty on its head.
context: Isn't this private property?\This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head. response:	Well, there's that, too.
context: This is the kind of place where those suckers show up.\Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too. response:	Master, um...
context: Have you ever seen a tsuchinoko, Master?\Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too.\Master, um... response:	What?
context: Nope. It's just a hunch.\That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too.\Master, um...\What? response:	I don't think amateurs are supposed to go this deep into the mountains.
context: That's pretty random.\Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too.\Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains. response:	Mob, we might be amateurs when it comes to hiking,
context: Don't you have any passion when it comes to UMAs?\Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too.\Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking, response:	but you have psychic powers.
context: Bigfoot, Nessie, and tsuchinoko!\I hear there's a bounty on its head.\Well, there's that, too.\Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers. response:	Add to that my ingenuity...
context: I hear there's a bounty on its head.\Well, there's that, too.\Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity... response:	Oh! Over there!
context: Well, there's that, too.\Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity...\Oh! Over there! response:	Look over there, Mob! I knew this place was the jackpot!
context: Master, um...\What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot! response:	Huh? Was there actually a tsuchinoko?
context: What?\I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko? response:	Look! Matsutake! It's huge!
context: I don't think amateurs are supposed to go this deep into the mountains.\Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge! response:	Oh... After all that talk about passion,
context: Mob, we might be amateurs when it comes to hiking,\but you have psychic powers.\Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion, response:	he's already distracted by the matsutake.
context: but you have psychic powers.\Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake. response:	What the hell is that?!
context: Add to that my ingenuity...\Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?! response:	Whatever it is, apparently it's starving!
context: Oh! Over there!\Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving! response:	We're going to exorcise it, Mob!
context: Look over there, Mob! I knew this place was the jackpot!\Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob! response:	Actually, Master, isn't that the UMA?
context: Huh? Was there actually a tsuchinoko?\Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA? response:	You idiot! Those things don't exist!
context: Look! Matsutake! It's huge!\Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist! response:	Kill it!
context: Oh... After all that talk about passion,\he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it! response:	Okay...
context: he's already distracted by the matsutake.\What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it!\Okay... response:	That's amazing.
context: What the hell is that?!\Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it!\Okay...\That's amazing. response:	It shrank so much after you exorcised it.
context: Whatever it is, apparently it's starving!\We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it!\Okay...\That's amazing.\It shrank so much after you exorcised it. response:	Er, actually, it just threw up a lot.
context: We're going to exorcise it, Mob!\Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it!\Okay...\That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot. response:	What the hell was that thing to begin with?
context: Actually, Master, isn't that the UMA?\You idiot! Those things don't exist!\Kill it!\Okay...\That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with? response:	You already picked that many?
context: You idiot! Those things don't exist!\Kill it!\Okay...\That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many? response:	Well, whatever. Let's go home.
context: Kill it!\Okay...\That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home. response:	Huh? What about the tsuchinoko?
context: Okay...\That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko? response:	What are you talking about? Those things don't exist.
context: That's amazing.\It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist. response:	I'm gonna grill up some matsutake at the office.
context: It shrank so much after you exorcised it.\Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist.\I'm gonna grill up some matsutake at the office. response:	You'll have some, right?
context: Er, actually, it just threw up a lot.\What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist.\I'm gonna grill up some matsutake at the office.\You'll have some, right? response:	Yes.
context: What the hell was that thing to begin with?\You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist.\I'm gonna grill up some matsutake at the office.\You'll have some, right?\Yes. response:	Guess we should buy some kabosu, too.
context: You already picked that many?\Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist.\I'm gonna grill up some matsutake at the office.\You'll have some, right?\Yes.\Guess we should buy some kabosu, too. response:	Yes.
context: Well, whatever. Let's go home.\Huh? What about the tsuchinoko?\What are you talking about? Those things don't exist.\I'm gonna grill up some matsutake at the office.\You'll have some, right?\Yes.\Guess we should buy some kabosu, too.\Yes. response:	Hakata Salt
