context: Budogaoka Bank response:	Great Year-End Lottery
context: That's right, it's Mr. Josuke.\But who was the one who just took back the promissory note from you?\Say his name.\O-Okuyasu...\Mr. Okuyasu!\Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million? response:	How would we split it so that no one feels slighted?
context: But who was the one who just took back the promissory note from you?\Say his name.\O-Okuyasu...\Mr. Okuyasu!\Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted? response:	H-Half is fine...
context: Say his name.\O-Okuyasu...\Mr. Okuyasu!\Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine... response:	In half?
context: O-Okuyasu...\Mr. Okuyasu!\Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine...\In half? response:	You realize now that there are three of us here, don't you?
context: Mr. Okuyasu!\Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine...\In half?\You realize now that there are three of us here, don't you? response:	So isn't half a bit off?
context: Well done. That's a good boy.\All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine...\In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off? response:	That doesn't really add up at all.
context: All right, next, let's do a little calculation.\How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine...\In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all. response:	Hello?
context: How should we split the five million?\How would we split it so that no one feels slighted?\H-Half is fine...\In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all.\Hello? response:	I-It'd be a third...
context: How would we split it so that no one feels slighted?\H-Half is fine...\In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all.\Hello?\I-It'd be a third... response:	Th-That's right...
context: H-Half is fine...\In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all.\Hello?\I-It'd be a third...\Th-That's right... response:	If it was just me, I'd only be able to gather.
context: In half?\You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all.\Hello?\I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather. response:	I-I was wrong.
context: You realize now that there are three of us here, don't you?\So isn't half a bit off?\That doesn't really add up at all.\Hello?\I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong. response:	We all found this lottery ticket.
context: So isn't half a bit off?\That doesn't really add up at all.\Hello?\I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket. response:	We wouldn't have gotten it without the three of us.
context: That doesn't really add up at all.\Hello?\I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us. response:	I realize that now. I was blinded by greed.
context: Hello?\I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed. response:	Let's split it up evenly, so no one is slighted.
context: I-It'd be a third...\Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted. response:	Yes!
context: Th-That's right...\If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes! response:	B-Bills!
context: If it was just me, I'd only be able to gather.\I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes!\B-Bills! response:	I-It's five million yen!
context: I-I was wrong.\We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes!\B-Bills!\I-It's five million yen! response:	Please consider depositing it into our Budogaoka Bank for peace of mind.
context: We all found this lottery ticket.\We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes!\B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind. response:	Of course!
context: We wouldn't have gotten it without the three of us.\I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes!\B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course! response:	We finally did it! It's like a dream!
context: I realize that now. I was blinded by greed.\Let's split it up evenly, so no one is slighted.\Yes!\B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream! response:	Wait... Splitting it up evenly so no one is slighted, huh?
context: Let's split it up evenly, so no one is slighted.\Yes!\B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh? response:	Huh? This is weird.
context: Yes!\B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird. response:	If we're going to split it up evenly,
context: B-Bills!\I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly, response:	isn't it unfair if we don't include the number of Stands we have?
context: I-It's five million yen!\Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have? response:	If we consider that my Stand, Harvest, is about 500,
context: Please consider depositing it into our Budogaoka Bank for peace of mind.\Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500, response:	then we should split it 500 to 1 and 1.
context: Of course!\We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1. response:	Don't you think so?
context: We finally did it! It's like a dream!\Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so? response:	You little bastard!
context: Wait... Splitting it up evenly so no one is slighted, huh?\Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard! response:	You're seriously going to argue about this again?
context: Huh? This is weird.\If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard!\You're seriously going to argue about this again? response:	It's never going to end, you dumbass!
context: If we're going to split it up evenly,\isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass! response:	O-One third is fine!
context: isn't it unfair if we don't include the number of Stands we have?\If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass!\O-One third is fine! response:	Josuke Higashikata Money Currently in Possession 1,666,666 yen
context: If we consider that my Stand, Harvest, is about 500,\then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass!\O-One third is fine!\Josuke Higashikata Money Currently in Possession 1,666,666 yen response:	It's a bit unforgivable for first-years in high school to have this much, but...
context: then we should split it 500 to 1 and 1.\Don't you think so?\You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass!\O-One third is fine!\Josuke Higashikata Money Currently in Possession 1,666,666 yen\It's a bit unforgivable for first-years in high school to have this much, but... response:	To be continued!
context: Don't you think so?\You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass!\O-One third is fine!\Josuke Higashikata Money Currently in Possession 1,666,666 yen\It's a bit unforgivable for first-years in high school to have this much, but...\To be continued! response:	Episode 20 Yukako Yamagishi Dreams of Cinderella
context: You little bastard!\You're seriously going to argue about this again?\It's never going to end, you dumbass!\O-One third is fine!\Josuke Higashikata Money Currently in Possession 1,666,666 yen\It's a bit unforgivable for first-years in high school to have this much, but...\To be continued!\Episode 20 Yukako Yamagishi Dreams of Cinderella response:	Episode 20 Yu ka ko Yamagishi Dreams of Cinderella
