context: I am grateful for the Institute's understanding and cooperation. response:	When receiving an order from the Palace,
context: When I was fighting Guiche...\I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit!\What?!\I can do something like this as well.\Saito!\What?! response:	Louise?
context: I am known as Mott the Surge, a Triangle-class mage.\So what?\My body is shaking... Dammit!\What?!\I can do something like this as well.\Saito!\What?!\Louise? response:	The level of conduct of the Institute's pupils has fallen so.
context: So what?\My body is shaking... Dammit!\What?!\I can do something like this as well.\Saito!\What?!\Louise?\The level of conduct of the Institute's pupils has fallen so. response:	I must impose a severe penalty on Old Osman over this.
context: My body is shaking... Dammit!\What?!\I can do something like this as well.\Saito!\What?!\Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this. response:	My apologies for entering the estate without permission,
context: What?!\I can do something like this as well.\Saito!\What?!\Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission, response:	as the situation required me to act swiftly.
context: I can do something like this as well.\Saito!\What?!\Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly. response:	And...
context: Saito!\What?!\Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And... response:	The misconduct of the familiar is the misconduct of his master,
context: What?!\Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master, response:	yours truly, Louise de la Valliere.
context: Louise?\The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere. response:	I am willing to accept any form of punishment.
context: The level of conduct of the Institute's pupils has fallen so.\I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment. response:	Louise...
context: I must impose a severe penalty on Old Osman over this.\My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise... response:	Pointing a sword at an official of the Palace is a serious crime.
context: My apologies for entering the estate without permission,\as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime. response:	Be prepared to have your entire family face the consequences.
context: as the situation required me to act swiftly.\And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences. response:	Hold on, I'm the one at fault here!
context: And...\The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here! response:	Count Mott,
context: The misconduct of the familiar is the misconduct of his master,\yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott, response:	how about we make a deal with this?
context: yours truly, Louise de la Valliere.\I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this? response:	What are you...
context: I am willing to accept any form of punishment.\Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this?\What are you... response:	I hear that you have a tremendous desire to possess this, Count.
context: Louise...\Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count. response:	Pardon my belated introduction.
context: Pointing a sword at an official of the Palace is a serious crime.\Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction. response:	My name is Kirche von Zerbst.
context: Be prepared to have your entire family face the consequences.\Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst. response:	Zerbst?
context: Hold on, I'm the one at fault here!\Count Mott,\how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst? response:	Then that is...
context: Count Mott,\how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst?\Then that is... response:	Yes, it is our family heirloom, the summoned book.
context: how about we make a deal with this?\What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book. response:	Here.
context: What are you...\I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book.\Here. response:	This is that famed book...
context: I hear that you have a tremendous desire to possess this, Count.\Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book... response:	Is it all right? It's your family heirloom, right?
context: Pardon my belated introduction.\My name is Kirche von Zerbst.\Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book...\Is it all right? It's your family heirloom, right? response:	I peeked inside it, but I don't need anything of that sort.
context: My name is Kirche von Zerbst.\Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort. response:	Unnecessary.
context: Zerbst?\Then that is...\Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary. response:	Anyway... First off, give Siesta back to us!
context: Then that is...\Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us! response:	Hand Siesta over to them.
context: Yes, it is our family heirloom, the summoned book.\Here.\This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them. response:	Yes, sir!
context: Here.\This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir! response:	It opened!
context: This is that famed book...\Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir!\It opened! response:	This is...
context: Is it all right? It's your family heirloom, right?\I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir!\It opened!\This is... response:	I don't know what language these letters are in,
context: I peeked inside it, but I don't need anything of that sort.\Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir!\It opened!\This is...\I don't know what language these letters are in, response:	but to think there was such a thing in this world...
context: Unnecessary.\Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir!\It opened!\This is...\I don't know what language these letters are in,\but to think there was such a thing in this world... response:	Erotic PUNCH April'75 issue
context: Anyway... First off, give Siesta back to us!\Hand Siesta over to them.\Yes, sir!\It opened!\This is...\I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue response:	Japanese?!
context: Hand Siesta over to them.\Yes, sir!\It opened!\This is...\I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?! response:	April'75 issue Japanese?!
context: Yes, sir!\It opened!\This is...\I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?! response:	April'75 issue
context: It opened!\This is...\I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?!\April'75 issue response:	It's an old porn magazine.
context: This is...\I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?!\April'75 issue\It's an old porn magazine. response:	Porn magazine?
context: I don't know what language these letters are in,\but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?!\April'75 issue\It's an old porn magazine.\Porn magazine? response:	Hey, you said earlier that the book was summoned?
context: but to think there was such a thing in this world...\Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?!\April'75 issue\It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned? response:	Right.
context: Erotic PUNCH April'75 issue\Japanese?!\April'75 issue Japanese?!\April'75 issue\It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned?\Right. response:	My grandfather just happened to summon that book.
context: Japanese?!\April'75 issue Japanese?!\April'75 issue\It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book. response:	Summoned...
context: April'75 issue Japanese?!\April'75 issue\It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book.\Summoned... response:	The same thing that happened to me.
context: April'75 issue\It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me. response:	That's...
context: It's an old porn magazine.\Porn magazine?\Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me.\That's... response:	The same?
context: Porn magazine?\Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me.\That's...\The same? response:	Honestly, thank you so very much.
context: Hey, you said earlier that the book was summoned?\Right.\My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me.\That's...\The same?\Honestly, thank you so very much. response:	No, in the end, it was all thanks to Kirche.
context: Right.\My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me.\That's...\The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche. response:	But it was all because you did your best, Mr. Saito.
context: My grandfather just happened to summon that book.\Summoned...\The same thing that happened to me.\That's...\The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito. response:	Besides, Louise also...
context: Summoned...\The same thing that happened to me.\That's...\The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also... response:	Good night!
context: The same thing that happened to me.\That's...\The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night! response:	Good night.
context: That's...\The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night!\Good night. response:	You know...
context: The same?\Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night!\Good night.\You know... response:	We're going back to our room.
context: Honestly, thank you so very much.\No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night!\Good night.\You know...\We're going back to our room. response:	Thanks, Louise.
context: No, in the end, it was all thanks to Kirche.\But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night!\Good night.\You know...\We're going back to our room.\Thanks, Louise. response:	I'm really sorry about this.
context: But it was all because you did your best, Mr. Saito.\Besides, Louise also...\Good night!\Good night.\You know...\We're going back to our room.\Thanks, Louise.\I'm really sorry about this. response:	You stay quiet for a bit!
context: Besides, Louise also...\Good night!\Good night.\You know...\We're going back to our room.\Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit! response:	I'm thinking about how heavily I need to punish you right now!
context: Good night!\Good night.\You know...\We're going back to our room.\Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now! response:	So there's going to be something after all?
context: Good night.\You know...\We're going back to our room.\Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all? response:	Of course!
context: You know...\We're going back to our room.\Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course! response:	A hundred lashes with the whip is too easy on you.
context: We're going back to our room.\Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you. response:	Oh! Maybe no meals until you almost die?
context: Thanks, Louise.\I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die? response:	Wait a minute, can't you show a tiny bit of mercy...
context: I'm really sorry about this.\You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy... response:	That's impossible!
context: You stay quiet for a bit!\I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible! response:	Forgive me! That's impossible!
context: I'm thinking about how heavily I need to punish you right now!\So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible! response:	Forgive me!
context: So there's going to be something after all?\Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible!\Forgive me! response:	Can't! That's impossible!
context: Of course!\A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible!\Forgive me!\Can't! That's impossible! response:	No way!
context: A hundred lashes with the whip is too easy on you.\Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible!\Forgive me!\Can't! That's impossible!\No way! response:	As if I were under a real magic spell
context: Oh! Maybe no meals until you almost die?\Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible!\Forgive me!\Can't! That's impossible!\No way!\As if I were under a real magic spell response:	A bright smile is burnt onto my heart
context: Wait a minute, can't you show a tiny bit of mercy...\That's impossible!\Forgive me! That's impossible!\Forgive me!\Can't! That's impossible!\No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart response:	But each time I see you, I give you a pointy, cold shoulder
context: That's impossible!\Forgive me! That's impossible!\Forgive me!\Can't! That's impossible!\No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder response:	Why do I act mean towards the one that I think about the most?
context: Forgive me! That's impossible!\Forgive me!\Can't! That's impossible!\No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most? response:	My true feelings, the shards of loneliness
context: Forgive me!\Can't! That's impossible!\No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness response:	In the deepest part of my heart, I'm calling for you
context: Can't! That's impossible!\No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you response:	For the day to start from zero
context: No way!\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero response:	However you look at my familiar, there's nothing good about him.
context: As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\However you look at my familiar, there's nothing good about him. response:	But we have to have the entire Institute
context: A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\However you look at my familiar, there's nothing good about him.\But we have to have the entire Institute response:	judge every one of our familiars?!
context: But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\However you look at my familiar, there's nothing good about him.\But we have to have the entire Institute\judge every one of our familiars?! response:	It's so depressing.
