context: So hot! response:	It's getting hotter by the day...
context: The girls are the stars here, so I'll keep this simple.\I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague, response:	even though I'm still a rookie, so don't hesitate to talk to me!
context: I rely on you a great deal, both as a teacher and as a succubus!\I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me! response:	I'll lend you my shoulder!
context: I have endless respect for the way you handle everything with such sincerity!\Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder! response:	I'm sure some things aren't easy to discuss in a normal setting, so...
context: Thank you for always helping me.\And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so... response:	So...
context: And I'll count on your continued guidance and encouragement.\Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So... response:	Why don't we go for drinks sometime?
context: Was that too formal?\If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime? response:	Uh, just kidding...
context: If anything ever bothers you,\I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime?\Uh, just kidding... response:	And that concludes our video letter!
context: I'd be glad to listen as a colleague,\even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter! response:	Huh? You aren't going to talk, Hikari-chan?!
context: even though I'm still a rookie, so don't hesitate to talk to me!\I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?! response:	Hikari, no fair.
context: I'll lend you my shoulder!\I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair. response:	Oh, come on!
context: I'm sure some things aren't easy to discuss in a normal setting, so...\So...\Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on! response:	The end!
context: So...\Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on!\The end! response:	Sensei!
context: Why don't we go for drinks sometime?\Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on!\The end!\Sensei! response:	H-Hikari?
context: Uh, just kidding...\And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on!\The end!\Sensei!\H-Hikari? response:	Wh-Why are you here?
context: And that concludes our video letter!\Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on!\The end!\Sensei!\H-Hikari?\Wh-Why are you here? response:	Earlier, I sent you a video, but it was huge.
context: Huh? You aren't going to talk, Hikari-chan?!\Hikari, no fair.\Oh, come on!\The end!\Sensei!\H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge. response:	So I wondered if you were able to watch it, and then I saw you here.
context: Hikari, no fair.\Oh, come on!\The end!\Sensei!\H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here. response:	From over there.
context: Oh, come on!\The end!\Sensei!\H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there. response:	From way over there?
context: The end!\Sensei!\H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there? response:	Yeah, yeah...
context: Sensei!\H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there?\Yeah, yeah... response:	'Scuse me.
context: H-Hikari?\Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there?\Yeah, yeah...\'Scuse me. response:	Did you see it?
context: Wh-Why are you here?\Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there?\Yeah, yeah...\'Scuse me.\Did you see it? response:	Yeah. Thanks.
context: Earlier, I sent you a video, but it was huge.\So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there?\Yeah, yeah...\'Scuse me.\Did you see it?\Yeah. Thanks. response:	I'll thank the others, too.
context: So I wondered if you were able to watch it, and then I saw you here.\From over there.\From way over there?\Yeah, yeah...\'Scuse me.\Did you see it?\Yeah. Thanks.\I'll thank the others, too. response:	Satakke told me what happened.
context: From over there.\From way over there?\Yeah, yeah...\'Scuse me.\Did you see it?\Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened. response:	Satakke? Oh...
context: From way over there?\Yeah, yeah...\'Scuse me.\Did you see it?\Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh... response:	So I thought you might be down.
context: Yeah, yeah...\'Scuse me.\Did you see it?\Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh...\So I thought you might be down. response:	Yeah, I guess...
context: 'Scuse me.\Did you see it?\Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh...\So I thought you might be down.\Yeah, I guess... response:	But your video made me really happy.
context: Did you see it?\Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh...\So I thought you might be down.\Yeah, I guess...\But your video made me really happy. response:	I feel better now.
context: Yeah. Thanks.\I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh...\So I thought you might be down.\Yeah, I guess...\But your video made me really happy.\I feel better now. response:	But I still think I might have gone too far.
context: I'll thank the others, too.\Satakke told me what happened.\Satakke? Oh...\So I thought you might be down.\Yeah, I guess...\But your video made me really happy.\I feel better now.\But I still think I might have gone too far. response:	And maybe I should keep pace with everyone else.
context: Satakke told me what happened.\Satakke? Oh...\So I thought you might be down.\Yeah, I guess...\But your video made me really happy.\I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else. response:	No, not at all.
context: Satakke? Oh...\So I thought you might be down.\Yeah, I guess...\But your video made me really happy.\I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all. response:	You can never take trying too far.
context: So I thought you might be down.\Yeah, I guess...\But your video made me really happy.\I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far. response:	Saying a person who tried hard to move forward went too far isn't right.
context: Yeah, I guess...\But your video made me really happy.\I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right. response:	For one who's trying hard, people can support them,
context: But your video made me really happy.\I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them, response:	so their efforts are rewarded, and show their gratitude.
context: I feel better now.\But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude. response:	If they want to keep the same pace as that person,
context: But I still think I might have gone too far.\And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person, response:	they need to try just as hard.
context: And maybe I should keep pace with everyone else.\No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard. response:	Sensei!
context: No, not at all.\You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard.\Sensei! response:	Thank you so much for always trying so hard!
context: You can never take trying too far.\Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard.\Sensei!\Thank you so much for always trying so hard! response:	When it comes to effort, I don't want to place second to you.
context: Saying a person who tried hard to move forward went too far isn't right.\For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard.\Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you. response:	So I'll also try hard, to repay all that you and everyone has done for me!
context: For one who's trying hard, people can support them,\so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard.\Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me! response:	Ta-dah! That was your surprise secret video letter!
context: so their efforts are rewarded, and show their gratitude.\If they want to keep the same pace as that person,\they need to try just as hard.\Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter! response:	There, there...
context: If they want to keep the same pace as that person,\they need to try just as hard.\Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there... response:	Stop that.
context: they need to try just as hard.\Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there...\Stop that. response:	You're gonna make me cry.
context: Sensei!\Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there...\Stop that.\You're gonna make me cry. response:	Vice Principal!
context: Thank you so much for always trying so hard!\When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there...\Stop that.\You're gonna make me cry.\Vice Principal! response:	I'd like to talk to you.
context: When it comes to effort, I don't want to place second to you.\So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there...\Stop that.\You're gonna make me cry.\Vice Principal!\I'd like to talk to you. response:	Yes, I wanted to talk to you, as well.
context: So I'll also try hard, to repay all that you and everyone has done for me!\Ta-dah! That was your surprise secret video letter!\There, there...\Stop that.\You're gonna make me cry.\Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well. response:	Before, I asked you to reconsider your contact with demi-humans.
context: Ta-dah! That was your surprise secret video letter!\There, there...\Stop that.\You're gonna make me cry.\Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans. response:	Yes, about that... I
context: There, there...\Stop that.\You're gonna make me cry.\Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I response:	Let's put that on hold.
context: Stop that.\You're gonna make me cry.\Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold. response:	Huh?
context: You're gonna make me cry.\Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold.\Huh? response:	After lecturing you as I did, forgive my saying this.
context: Vice Principal!\I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this. response:	But I'd like you to continue demonstrating
context: I'd like to talk to you.\Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating response:	the same competence you always have.
context: Yes, I wanted to talk to you, as well.\Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have. response:	Huh?
context: Before, I asked you to reconsider your contact with demi-humans.\Yes, about that... I\Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have.\Huh? response:	It's pretty heavy.
context: Yes, about that... I\Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have.\Huh?\It's pretty heavy. response:	When you're used to it, it's nothing.
context: Let's put that on hold.\Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have.\Huh?\It's pretty heavy.\When you're used to it, it's nothing. response:	I didn't know your skin was this cold.
context: Huh?\After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have.\Huh?\It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold. response:	Surprised?
context: After lecturing you as I did, forgive my saying this.\But I'd like you to continue demonstrating\the same competence you always have.\Huh?\It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised? response:	I bet summers really are tough for you.
context: But I'd like you to continue demonstrating\the same competence you always have.\Huh?\It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you. response:	How about my arm?
context: the same competence you always have.\Huh?\It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you.\How about my arm? response:	Hmm... Four points!
context: Huh?\It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you.\How about my arm?\Hmm... Four points! response:	Why?
context: It's pretty heavy.\When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you.\How about my arm?\Hmm... Four points!\Why? response:	As long as there are students who are inspired by your actions,
context: When you're used to it, it's nothing.\I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you.\How about my arm?\Hmm... Four points!\Why?\As long as there are students who are inspired by your actions, response:	disavowing your efforts would be wrong.
context: I didn't know your skin was this cold.\Surprised?\I bet summers really are tough for you.\How about my arm?\Hmm... Four points!\Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong. response:	The new life I stepped into this spring with the demi-chans
context: Surprised?\I bet summers really are tough for you.\How about my arm?\Hmm... Four points!\Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans response:	was one of stimulation and excitement.
context: I bet summers really are tough for you.\How about my arm?\Hmm... Four points!\Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement. response:	How demis live their lives, what they think,
context: How about my arm?\Hmm... Four points!\Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think, response:	how those who make contact with them think and how they change...
context: Hmm... Four points!\Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think,\how those who make contact with them think and how they change... response:	I want to consider it all much, much more!
context: Why?\As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think,\how those who make contact with them think and how they change...\I want to consider it all much, much more! response:	At last,
context: As long as there are students who are inspired by your actions,\disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think,\how those who make contact with them think and how they change...\I want to consider it all much, much more!\At last, response:	summer is upon us!
context: disavowing your efforts would be wrong.\The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think,\how those who make contact with them think and how they change...\I want to consider it all much, much more!\At last,\summer is upon us! response:	Next Time Demi-chans Want to Swim
context: The new life I stepped into this spring with the demi-chans\was one of stimulation and excitement.\How demis live their lives, what they think,\how those who make contact with them think and how they change...\I want to consider it all much, much more!\At last,\summer is upon us!\Next Time Demi-chans Want to Swim response:	Demi-chans Want to Swim.
